team_name,id,eventId,typeId,timeMin,timeSec,outcome,x,y,playerName,sequenceId,possessionId,keyPass,assist,label,date,140.0,141.0,318.0,321.0,322.0,210.0,212.0,213.0,223.0,224.0,225.0,22.0,23.0,5.0,6.0,9.0,24.0,25.0,26.0,107.0
Roskilde,2724375887,535,1,65,25,1,24.5,34.7,H. Askham,187.0,126.0,NaN,NaN,OB vs Roskilde,2024-09-22,4.4,51.0,0.00000038,NaN,NaN,NaN,23.8,2.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN
Roskilde,2724375907,536,1,65,28,1,6.9,50.7,M. Brylov,187.0,126.0,NaN,NaN,OB vs Roskilde,2024-09-22,21.4,20.2,0.00000145,NaN,NaN,NaN,25.7,5.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN
OB,2724367387,536,3,58,33,0,73.5,26.6,L. Deedson,170.0,115.0,NaN,NaN,OB vs Roskilde,2024-09-22,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN
Roskilde,2724375943,537,1,65,30,1,21.7,19.3,M. Lysholm,187.0,126.0,NaN,NaN,OB vs Roskilde,2024-09-22,33.5,3.7,0.00000391,NaN,NaN,NaN,16.3,5.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN
OB,2724367601,537,49,58,43,1,12.8,12.9,V. Myhra,173.0,117.0,NaN,NaN,OB vs Roskilde,2024-09-22,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN
OB,2724367691,538,1,58,43,1,12.7,12.9,V. Myhra,173.0,117.0,NaN,NaN,OB vs Roskilde,2024-09-22,22.3,19.8,0.00000129,NaN,NaN,NaN,11.1,0.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN
Roskilde,2724375971,538,1,65,33,1,33.5,3.7,M. Juhl,187.0,126.0,NaN,NaN,OB vs Roskilde,2024-09-22,55.3,27.2,0.00013391,NaN,NaN,NaN,27.9,0.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN
Roskilde,2724376089,539,1,65,35,1,55.3,27.2,A. Jensen,187.0,126.0,NaN,NaN,OB vs Roskilde,2024-09-22,54.0,13.6,0.00009391,NaN,NaN,NaN,9.3,4.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN
OB,2724367827,539,1,58,46,1,26.5,27.1,B. Paulsen,173.0,117.0,NaN,NaN,OB vs Roskilde,2024-09-22,31.0,12.2,0.00000401,NaN,NaN,NaN,11.2,5.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN
Roskilde,2724376105,540,1,65,42,1,78.2,24.8,A. Taranis,187.0,126.0,NaN,NaN,OB vs Roskilde,2024-09-22,88.4,12.8,0.00249017,NaN,NaN,NaN,13.5,5.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN
OB,2724367863,540,1,58,53,1,39.7,24.7,T. Trybull,173.0,117.0,NaN,NaN,OB vs Roskilde,2024-09-22,55.4,29.4,0.00015058,NaN,NaN,NaN,16.8,0.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN
OB,2724367873,541,1,58,54,1,55.4,29.4,M. Fenger,173.0,117.0,NaN,NaN,OB vs Roskilde,2024-09-22,43.8,23.4,0.00004472,NaN,NaN,NaN,12.8,3.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN
Roskilde,2724376115,541,1,65,43,0,88.4,12.8,M. Juhl,187.0,126.0,NaN,NaN,OB vs Roskilde,2024-09-22,85.1,41.9,NaN,NaN,NaN,NaN,20.1,1.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN
Roskilde,2724376289,542,4,65,54,0,42.6,80.6,O. Skolnik,NaN,NaN,NaN,NaN,OB vs Roskilde,2024-09-22,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN
