contestantId,team_name,id,eventId,typeId,periodId,timeMin,timeSec,outcome,x,y,playerId,playerName,possessionValue.pvValue,possessionValue.pvAdded,assist,keyPass,label,match_id,date
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2701842157,42,49,1,3,48,1,38.9,86.6,9nafz0c0x2qvmo5ldm0djmcq1,M. Kaastrup,0.0031211,0.0022663,NaN,NaN,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2701842167,43,1,1,3,50,1,33.3,84.8,9nafz0c0x2qvmo5ldm0djmcq1,M. Kaastrup,0.0013101,-0.001811,NaN,NaN,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2701842183,44,1,1,3,52,1,41.2,77.3,7j35sfip0xb51mpa91wzikrh0,O. Øhlenschlæger,0.001352,4.19e-05,NaN,NaN,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2701842205,45,2,1,3,55,1,46.0,70.3,11cna826ls27ahux2w0ckapqt,K. Kusk,0.007897,-0.001352,NaN,NaN,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2701842309,46,49,1,4,23,1,59.1,83.0,7j35sfip0xb51mpa91wzikrh0,O. Øhlenschlæger,0.0043835,0.0043835,NaN,NaN,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2701842339,47,1,1,4,24,1,61.0,82.6,7j35sfip0xb51mpa91wzikrh0,O. Øhlenschlæger,0.0083183,0.0039348,NaN,NaN,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2701842357,48,1,1,4,29,1,83.6,85.9,4csz412vb3lquessbnf999ct0,A. Ahmad,0.053736,0.0454177,NaN,NaN,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2701842363,49,1,1,4,31,0,96.5,72.9,7j35sfip0xb51mpa91wzikrh0,O. Øhlenschlæger,0.0110548,-0.0426812,NaN,NaN,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2701842373,50,6,1,4,34,1,100.0,64.0,7j35sfip0xb51mpa91wzikrh0,O. Øhlenschlæger,NaN,NaN,NaN,NaN,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2701842479,51,1,1,5,2,1,99.5,99.5,11cna826ls27ahux2w0ckapqt,K. Kusk,0.0,-0.029296,NaN,NaN,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2701842483,52,1,1,5,5,0,85.7,41.2,a7eramyy1bd8msxmg84ctc8ut,A. Simon Okosun,0.014831,-0.0403731,NaN,NaN,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2701842643,53,12,1,5,16,1,15.7,32.8,7j35sfip0xb51mpa91wzikrh0,O. Øhlenschlæger,NaN,NaN,NaN,NaN,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2701842649,54,74,1,5,23,1,13.5,35.8,7j35sfip0xb51mpa91wzikrh0,O. Øhlenschlæger,0.01035,0.01035,NaN,NaN,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2701842661,55,49,1,5,25,1,23.2,40.1,a7eramyy1bd8msxmg84ctc8ut,A. Simon Okosun,0.0009275,0.0,NaN,NaN,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2701842685,56,1,1,5,25,1,23.2,40.1,a7eramyy1bd8msxmg84ctc8ut,A. Simon Okosun,0.0002736,-0.0006539,NaN,NaN,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2701842703,57,1,1,5,27,0,12.8,44.4,ef7l91pb4w6yk7lijxjxlievp,M. Greve,0.0011978,-0.0002736,NaN,NaN,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2701842729,58,1,1,5,32,0,28.4,39.1,7j35sfip0xb51mpa91wzikrh0,O. Øhlenschlæger,0.0012713,-0.0,NaN,NaN,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2701842881,59,49,1,6,4,1,2.4,70.9,18vvlxsaoloypja4fdddj687o,O. Jebali,0.0104052,0.0104052,NaN,NaN,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2701842909,60,1,1,6,7,0,3.4,79.6,18vvlxsaoloypja4fdddj687o,O. Jebali,0.0003527,-0.0100525,NaN,NaN,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2701842935,61,83,1,6,12,0,29.2,79.4,9nafz0c0x2qvmo5ldm0djmcq1,M. Kaastrup,NaN,NaN,NaN,NaN,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2701842943,62,49,1,6,14,1,26.4,91.1,7j35sfip0xb51mpa91wzikrh0,O. Øhlenschlæger,0.0104052,0.0104052,NaN,NaN,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2701842957,63,1,1,6,15,1,26.4,91.1,7j35sfip0xb51mpa91wzikrh0,O. Øhlenschlæger,0.0005943,-0.0098109,NaN,NaN,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2701842961,64,3,1,6,15,0,35.4,91.4,4csz412vb3lquessbnf999ct0,A. Ahmad,0.001522,-0.0005943,NaN,NaN,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2702803503,888,61,1,6,16,1,26.5,94.2,4csz412vb3lquessbnf999ct0,A. Ahmad,NaN,NaN,NaN,NaN,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2701843075,68,83,1,6,17,0,41.7,93.3,4csz412vb3lquessbnf999ct0,A. Ahmad,NaN,NaN,NaN,NaN,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2701842971,65,43,1,6,18,1,0.0,0.0,4csz412vb3lquessbnf999ct0,A. Ahmad,NaN,NaN,NaN,NaN,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2701842979,66,49,1,6,19,1,37.4,95.6,4csz412vb3lquessbnf999ct0,A. Ahmad,0.0019707,0.0019707,NaN,NaN,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2701842989,67,50,1,6,21,1,43.1,92.8,4csz412vb3lquessbnf999ct0,A. Ahmad,0.0,-0.0019707,NaN,NaN,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2701843143,69,1,1,6,51,1,66.0,82.6,9nafz0c0x2qvmo5ldm0djmcq1,M. Kaastrup,0.0082816,0.0082816,NaN,NaN,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2701843147,70,1,1,6,52,1,68.7,57.9,11cna826ls27ahux2w0ckapqt,K. Kusk,0.0103095,0.0020279,NaN,NaN,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2701843155,71,49,1,6,53,1,90.3,85.4,9nafz0c0x2qvmo5ldm0djmcq1,M. Kaastrup,0.0417881,0.0314786,NaN,NaN,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2701843177,72,1,1,6,54,0,92.2,84.5,9nafz0c0x2qvmo5ldm0djmcq1,M. Kaastrup,0.0076662,-0.0341219,NaN,NaN,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2701843217,73,1,1,7,1,1,66.4,32.1,a7eramyy1bd8msxmg84ctc8ut,A. Simon Okosun,0.0056157,0.0056157,NaN,NaN,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2701843231,74,1,1,7,3,1,65.1,52.7,7j35sfip0xb51mpa91wzikrh0,O. Øhlenschlæger,0.0040313,-0.0015844,NaN,NaN,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2701843245,75,1,1,7,7,1,57.3,43.4,ef7l91pb4w6yk7lijxjxlievp,M. Greve,0.0011372,-0.0040313,NaN,NaN,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2702804031,889,61,1,7,8,1,71.9,95.4,9nafz0c0x2qvmo5ldm0djmcq1,M. Kaastrup,NaN,NaN,NaN,NaN,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2701843247,76,5,1,7,9,0,75.0,101.7,ef7l91pb4w6yk7lijxjxlievp,M. Greve,NaN,NaN,NaN,NaN,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2702804243,890,61,1,7,29,1,69.3,95.4,11cna826ls27ahux2w0ckapqt,K. Kusk,NaN,NaN,NaN,NaN,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2701843379,78,55,1,7,31,1,32.7,68.1,ef7l91pb4w6yk7lijxjxlievp,M. Greve,NaN,NaN,NaN,NaN,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2701843363,77,43,1,7,31,1,0.0,0.0,11cna826ls27ahux2w0ckapqt,K. Kusk,NaN,NaN,NaN,NaN,Vendsyssel vs Roskilde,5v3djdmu6nvwdt4167su2gkk4,2024-07-19
