contestantId,team_name,id,eventId,typeId,periodId,timeMin,timeSec,playerName,playerId,outcome,x,y,timeStamp,lastModified,assist,qualifier,match_id,label,date,15,17,18,19,20,21,22,23,24,25,29,56,60,63,64,72,73,74,75,76,77,78,80,81,82,83,102,103,108,114,136,146,147,153,154,160,214,215,230,231,233,276,321,322,323,326,327,328,338,374,375,391,395,396,458,sequenceId,possessionId,keyPass,140,141,318,210,6,9,26,107,16,62,84,85,87,100,138,139,216,217,274,324
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2703629897,279,15,1,31,53,L. Steffensen,9l89n30nejpn2u22ygvchwnze,1,87.8,48.6,2024-07-27T12:32:51.553,2024-07-27T13:20:47,1.0,"{""id"": 5119143035, ""qualifierId"": 326, ""value"": ""2""}",5ypehb9knyvb5m38jkw0q7m6s,Fredericia vs Vendsyssel,2024-07-27,NaN,true,NaN,,true,NaN,true,NaN,,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,true,,48.4,19,NaN,,,90.2,48.6,NaN,true,NaN,NaN,NaN,98.1,49.6,291,,0.14378385245800018,NaN,NaN,2,2,true,NaN,NaN,NaN,,,,NaN,,,,,,,,,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6wwwud48qahpwrfxs20334qk5,Fredericia,2703630005,296,15,1,32,36,A. Dahl,65g5cfsdr10378yvmkpm19444,1,80.8,34.6,2024-07-27T12:33:35.190,2024-07-27T12:36:21,1.0,"{""id"": 5119143505, ""qualifierId"": 56, ""value"": ""Center""}",5ypehb9knyvb5m38jkw0q7m6s,Fredericia vs Vendsyssel,2024-07-27,NaN,NaN,true,,true,NaN,NaN,true,,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,true,,50.1,19,NaN,,,87.6,40.1,NaN,NaN,NaN,NaN,true,95.6,46.9,284,,0.06180957704782486,NaN,NaN,2,2,NaN,NaN,NaN,NaN,,,,NaN,,,,,,,,,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6wwwud48qahpwrfxs20334qk5,Fredericia,2703630017,297,15,1,32,37,G. Marcussen,ayxi2m0g0pm6rl1ba5pto66z9,1,86.9,58.8,2024-07-27T12:33:35.837,2024-07-27T15:17:44,NaN,"{""id"": 5119143585, ""qualifierId"": 17}",5ypehb9knyvb5m38jkw0q7m6s,Fredericia vs Vendsyssel,2024-07-27,NaN,true,NaN,,NaN,NaN,NaN,true,,NaN,NaN,Center,NaN,NaN,NaN,true,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,,53.6,10.1,NaN,,,98.4,52.0,NaN,NaN,NaN,NaN,true,NaN,NaN,285,,0.18631573021411896,0.2281,NaN,2,2,NaN,NaN,NaN,NaN,,,,true,,,,,,,,,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6wwwud48qahpwrfxs20334qk5,Fredericia,2703630043,299,16,1,32,41,O. Buch,y4dl1rer075c9wz6zhx7skbt,1,96.8,52.4,2024-07-27T12:33:40.400,2024-07-27T15:17:40,1.0,"{""id"": 5119143731, ""qualifierId"": 56, ""value"": ""Center""}",5ypehb9knyvb5m38jkw0q7m6s,Fredericia vs Vendsyssel,2024-07-27,NaN,NaN,NaN,,NaN,NaN,NaN,true,,NaN,true,Center,NaN,NaN,NaN,true,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,,52.5,15.2,NaN,,,NaN,NaN,NaN,true,NaN,true,NaN,99.1,58.1,NaN,,0.7916911244392395,0.982,true,2,2,true,297,2024-07-27 13:33:39.780,32:41.547,,,,NaN,,,,,,,,,,NaN,,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2703631513,351,13,1,39,55,M. Greve,ef7l91pb4w6yk7lijxjxlievp,1,94.8,38.3,2024-07-27T12:40:53.369,2024-07-27T13:22:38,1.0,"{""id"": 5119217331, ""qualifierId"": 154}",5ypehb9knyvb5m38jkw0q7m6s,Fredericia vs Vendsyssel,2024-07-27,true,NaN,NaN,,NaN,NaN,NaN,NaN,,true,true,Center,true,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,70.4,12.5,NaN,,,97.5,46.2,true,true,NaN,NaN,NaN,99.7,47.3,NaN,,0.0379176139831543,NaN,NaN,2,2,true,NaN,NaN,NaN,,,,NaN,,,,,,,,,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2703632263,375,16,1,42,31,L. Steffensen,9l89n30nejpn2u22ygvchwnze,1,85.8,54.0,2024-07-27T12:43:29.979,2024-07-27T15:17:52,1.0,"{""id"": 5119158869, ""qualifierId"": 217}",5ypehb9knyvb5m38jkw0q7m6s,Fredericia vs Vendsyssel,2024-07-27,NaN,true,NaN,,true,NaN,true,NaN,,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,,52.7,8.9,true,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,98.4,49.3,NaN,,0.07414188235998154,0.1242,NaN,2,2,true,NaN,2024-07-27 13:43:29.070,42:30.837,,,,NaN,,,,,,,,,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,373,true,true,NaN
6wwwud48qahpwrfxs20334qk5,Fredericia,2703632957,384,16,1,45,6,O. Buch,y4dl1rer075c9wz6zhx7skbt,1,93.7,53.6,2024-07-27T12:46:04.942,2024-07-27T12:49:58,1.0,"{""id"": 5119160245, ""qualifierId"": 327, ""value"": ""2""}",5ypehb9knyvb5m38jkw0q7m6s,Fredericia vs Vendsyssel,2024-07-27,NaN,true,NaN,,true,NaN,NaN,true,,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,,46.8,19.6,NaN,,,NaN,NaN,NaN,true,NaN,true,NaN,96.9,47.1,NaN,,0.4724447429180145,0.9832,NaN,2,2,true,NaN,2024-07-27 13:46:04.519,45:06.286,,,,NaN,,,,,,,,,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,382,true,NaN,NaN
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2703633717,406,13,1,39,56,O. Jebali,18vvlxsaoloypja4fdddj687o,1,95.4,47.6,2024-07-27T12:40:54.233,2024-07-27T13:23:30,1.0,"{""id"": 5119217753, ""qualifierId"": 231, ""value"": ""47.7""}",5ypehb9knyvb5m38jkw0q7m6s,Fredericia vs Vendsyssel,2024-07-27,NaN,NaN,NaN,,true,NaN,NaN,NaN,,true,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,41.2,5.6,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,99.1,47.7,NaN,,0.25608667731285095,NaN,NaN,3,2,true,NaN,NaN,NaN,,,,NaN,,,,,,,,,,NaN,,true,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2703637277,436,15,2,46,39,M. Kaastrup,9nafz0c0x2qvmo5ldm0djmcq1,1,74.9,55.8,2024-07-27T13:06:18.309,2024-07-27T15:18:02,1.0,"{""id"": 5119185069, ""qualifierId"": 147, ""value"": ""50.9""}",5ypehb9knyvb5m38jkw0q7m6s,Fredericia vs Vendsyssel,2024-07-27,NaN,NaN,true,,NaN,NaN,true,NaN,,NaN,true,Center,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,,52.3,24.1,NaN,,,98.4,50.9,NaN,NaN,NaN,NaN,true,NaN,NaN,414,,0.026233620941638947,0.1349,NaN,2,2,NaN,NaN,NaN,NaN,,,,NaN,,,,,,,,,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7gkglopz9cjsysn2u6sbhuvc5,Vendsyssel,2703638027,454,16,2,48,42,O. Øhlenschlæger,7j35sfip0xb51mpa91wzikrh0,1,87.5,62.6,2024-07-27T13:08:21.460,2024-07-27T13:11:55,NaN,"{""id"": 5119189879, ""qualifierId"": 231, ""value"": ""51.4""}",5ypehb9knyvb5m38jkw0q7m6s,Fredericia vs Vendsyssel,2024-07-27,NaN,true,NaN,,true,NaN,true,NaN,,NaN,NaN,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,,53.5,7.6,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,98.6,51.4,NaN,,0.06987325847148895,0.1652,NaN,2,2,true,NaN,2024-07-27 14:08:20.520,48:41.809,,,,true,,,,,,,,,,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
