contestantId,team_name,id,eventId,typeId,periodId,timeMin,timeSec,playerName,playerId,outcome,x,y,timeStamp,lastModified,qualifier,assist,match_id,label,date,9,15,17,18,20,22,23,25,26,29,56,60,62,63,64,68,72,73,74,75,76,77,78,80,81,82,83,84,100,101,102,103,108,120,139,146,147,153,154,214,215,230,231,233,280,281,282,321,322,324,326,327,328,353,374,375,390,391,395,396,458,472,sequenceId,possessionId,keyPass,140,141,318,210,6,24,107,16,66,79,160
8gxd9ry2580pu1b1dd5ny9ymy,Hvidovre,2701875991,785,16,2,81,52,L. Qamili,3ejggtt1du1cui3wc1f8oqx62,1,88.5,50.0,2024-07-19T18:40:08.614,2024-07-19T18:41:19,"{""id"": 5109270719, ""qualifierId"": 353, ""value"": ""596""}",NaN,5un12m65p2ujmjb0seb0fxxck,Hvidovre vs HB Køge,2024-07-19,true,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Center,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,51.4,1.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,99.5,50,NaN,PENALTY_WON,212394,2397,0.7884,0.9593,NaN,1,1,NaN,596,2024-07-19 19:40:07.890,81:52.223,544836,NaN,0.5,52.2,true,783,,,,,,,,,,,,,,
8gxd9ry2580pu1b1dd5ny9ymy,Hvidovre,2701881229,855,15,2,91,46,M. Andreasen,21i8eq6dgpzydeyrame6xp05w,1,89.6,40.5,2024-07-19T18:50:01.835,2024-07-20T21:29:17,"{""id"": 5109299755, ""qualifierId"": 102, ""value"": ""51.5""}",1.0,5un12m65p2ujmjb0seb0fxxck,Hvidovre vs HB Køge,2024-07-19,NaN,NaN,true,NaN,NaN,NaN,true,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,true,NaN,NaN,NaN,NaN,51.5,19,NaN,NaN,NaN,93.3,44.4,NaN,true,NaN,NaN,99.0,48.0,678,NaN,NaN,NaN,0.2245177924633026,NaN,NaN,1,2,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,
b8oqgvx1ijeyn6y1cn6929ix4,Kolding,2703403355,30,15,1,2,26,A. Leifsson,dqssvdpt2iwg8qn9wto3miind,1,94.3,51.4,2024-07-26T17:03:09.601,2024-07-26T17:05:09,"{""id"": 5117896089, ""qualifierId"": 154}",1.0,5xyyhocfe3g0cljxlc1ksh9g4,Kolding vs Hvidovre,2024-07-26,,true,NaN,NaN,NaN,NaN,,true,NaN,true,Center,,,,,,NaN,,NaN,NaN,,NaN,NaN,true,NaN,true,NaN,NaN,true,true,47.0,19,,,,98.9,47.8,,true,NaN,NaN,99.3,50.5,21,,,,0.14756396412849426,NaN,NaN,3,3,true,,,,,,,,NaN,,,,,,,,,,NaN,,true,NaN,NaN,NaN
b8oqgvx1ijeyn6y1cn6929ix4,Kolding,2703403379,34,13,1,2,40,C. Jørgensen,9fvf8z6p8ok0n5vu999ysfywa,1,81.5,28.4,2024-07-26T17:03:23.738,2024-07-26T17:04:53,"{""id"": 5117949829, ""qualifierId"": 324}",1.0,5xyyhocfe3g0cljxlc1ksh9g4,Kolding vs Hvidovre,2024-07-26,,NaN,NaN,true,NaN,true,,NaN,NaN,true,Center,,,,,,true,,NaN,NaN,,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60.2,62.5,,,,NaN,NaN,,NaN,NaN,true,99.4,48.2,NaN,,,,0.02303954027593136,NaN,true,2,2,NaN,,,,,,,,NaN,,,,,,,,,,NaN,,NaN,NaN,NaN,NaN
8gxd9ry2580pu1b1dd5ny9ymy,Hvidovre,2703404563,66,13,1,6,37,A. Smed,dncrhma6gwcn6pxiu7hfc6qz8,1,74.6,66.4,2024-07-26T17:07:20.979,2024-07-26T17:08:32,"{""id"": 5117902081, ""qualifierId"": 22}",1.0,5xyyhocfe3g0cljxlc1ksh9g4,Kolding vs Hvidovre,2024-07-26,,NaN,NaN,true,true,true,,NaN,NaN,true,Center,,,,,,NaN,,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,58.7,2.8,,,,NaN,NaN,,NaN,NaN,true,98.5,50.9,NaN,,,,0.01704072393476963,NaN,NaN,3,2,NaN,,,,,,,,NaN,,,,,,,,,,NaN,,NaN,NaN,NaN,NaN
b8oqgvx1ijeyn6y1cn6929ix4,Kolding,2703406025,106,13,1,11,37,A. Beck,dyzzo6n83rg4fpvmqqa69moes,1,85.8,55.4,2024-07-26T17:12:20.855,2024-07-26T17:13:36,"{""id"": 5117910419, ""qualifierId"": 22}",NaN,5xyyhocfe3g0cljxlc1ksh9g4,Kolding vs Hvidovre,2024-07-26,,NaN,true,NaN,true,true,,NaN,NaN,NaN,Center,,,,,,NaN,,true,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,55.8,62.5,,,,NaN,NaN,,NaN,true,NaN,99.8,49.8,NaN,,,,0.12513065338134766,NaN,NaN,2,2,NaN,,,,,,,,true,,,,,,,,,,NaN,,NaN,NaN,NaN,NaN
b8oqgvx1ijeyn6y1cn6929ix4,Kolding,2703407585,174,15,1,1,45,I. Tånnander,6bajck5osvj7trnwt2a5mc3dg,1,91.3,49.8,2024-07-26T17:02:28.570,2024-07-26T17:30:15,"{""id"": 5117936087, ""qualifierId"": 56, ""value"": ""Center""}",1.0,5xyyhocfe3g0cljxlc1ksh9g4,Kolding vs Hvidovre,2024-07-26,,true,true,NaN,NaN,NaN,,NaN,NaN,true,Center,,,,,,NaN,,NaN,NaN,,NaN,true,NaN,NaN,true,NaN,NaN,true,NaN,51.0,19,,,,95.4,50.4,,true,NaN,NaN,99.4,50.2,19,,,,0.07344634085893631,NaN,NaN,3,2,true,,,,,,,,NaN,,,,,,,,,,NaN,,NaN,NaN,NaN,true
b8oqgvx1ijeyn6y1cn6929ix4,Kolding,2703410241,255,15,1,26,57,M. Vestergård,f58yr2jmfp8kpgprfxbokt1t6,1,75.3,50.7,2024-07-26T17:27:40.672,2024-07-26T17:28:56,"{""id"": 5117934427, ""qualifierId"": 322, ""value"": ""0.0393""}",1.0,5xyyhocfe3g0cljxlc1ksh9g4,Kolding vs Hvidovre,2024-07-26,,NaN,NaN,true,NaN,true,,NaN,NaN,true,Center,,,,,,true,,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50.9,20.9,,,,99.5,49.3,,NaN,NaN,true,NaN,NaN,254,,,,0.028355250135064125,0.0393,NaN,2,2,NaN,,,,,,,,NaN,,,,,,,,,,NaN,,NaN,NaN,true,NaN
8gxd9ry2580pu1b1dd5ny9ymy,Hvidovre,2703411349,294,13,1,30,43,M. Kiilerich,630daj1ef34rczbhng0eoncvd,1,89.5,40.5,2024-07-26T17:31:27.310,2024-07-26T18:00:41,"{""id"": 5117940701, ""qualifierId"": 17}",1.0,5xyyhocfe3g0cljxlc1ksh9g4,Kolding vs Hvidovre,2024-07-26,,NaN,true,NaN,true,NaN,,true,NaN,true,Center,,,,,,NaN,,NaN,NaN,,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,43.9,70.8,,,,NaN,NaN,,NaN,NaN,NaN,98.8,48.7,NaN,,,,0.03134619817137718,NaN,NaN,3,3,true,,,,,,,,NaN,,,,,,,,,,NaN,,NaN,NaN,NaN,NaN
8gxd9ry2580pu1b1dd5ny9ymy,Hvidovre,2703413913,360,15,1,38,8,L. Qamili,3ejggtt1du1cui3wc1f8oqx62,1,84.3,17.3,2024-07-26T17:38:52.195,2024-07-26T17:40:18,"{""id"": 5117955009, ""qualifierId"": 66}",NaN,5xyyhocfe3g0cljxlc1ksh9g4,Kolding vs Hvidovre,2024-07-26,,NaN,NaN,NaN,NaN,NaN,,NaN,true,NaN,Right,,,,,,true,,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,49.9,28.5,,,,98.9,48.7,,NaN,NaN,NaN,NaN,NaN,308,,,,0.04095379263162613,0.0388,NaN,1,3,NaN,,,,,,,,true,,,,,,,,,,NaN,,NaN,true,true,NaN
