sequence_id,receiver_Uuid,receiver_name,receiver_position,game_id,match_id,team_name,period,poss_player_Uuid,poss_player_name,poss_player_position,deep_run_opportunity,deep_run,pass_received,Low base,High base,Width,Pocket,num_teammates_in_box,poss_in_assist_zone,option_between_lines,time_on_ball,gameclock_first,gameclock_last,timemin_first,timemin_last,timesec_first,timesec_last,possessor_x,possessor_y,receiver_x,receiver_y,local_date,description
3,ef7l91pb4w6yk7lijxjxlievp,M. Greve,CB,0b6c3865-f705-4818-ac4f-4adbb3a1afce,bt425ex9tsvly0uo72zljc74k,MID,1,3yt6hqo1ayr093vpohg4kwufo,J. Villemoes,RCM,False,False,False,False,False,False,False,0,False,False,False,18.4,18.76,0,0,18,18,-1.58,22.79,1.8,19.18,2025-07-19,Hillerød vs Middelfart
4,19gornjqd7f2ugeg8mg0gs4q,J. Linnet,RB,0b6c3865-f705-4818-ac4f-4adbb3a1afce,bt425ex9tsvly0uo72zljc74k,MID,1,1id5av4i7p6tmhf1vuigvlmvo,J. Wielzen,RM,False,False,False,True,False,False,False,0,False,False,True,19.32,19.88,0,0,19,19,4.0,25.02,6.21,31.39,2025-07-19,Hillerød vs Middelfart
4,1znq0m3xloag4frfu715yy8lw,M. Kristensen,RCB,0b6c3865-f705-4818-ac4f-4adbb3a1afce,bt425ex9tsvly0uo72zljc74k,MID,1,1id5av4i7p6tmhf1vuigvlmvo,J. Wielzen,RM,False,False,True,True,False,False,False,0,False,False,True,19.32,19.88,0,0,19,19,4.0,25.02,10.54,22.93,2025-07-19,Hillerød vs Middelfart
4,3yt6hqo1ayr093vpohg4kwufo,J. Villemoes,RCM,0b6c3865-f705-4818-ac4f-4adbb3a1afce,bt425ex9tsvly0uo72zljc74k,MID,1,1id5av4i7p6tmhf1vuigvlmvo,J. Wielzen,RM,False,False,False,True,False,False,False,0,False,False,True,19.32,19.88,0,0,19,19,4.0,25.02,-0.62,23.54,2025-07-19,Hillerød vs Middelfart
4,4bkqvwlmbwul0s8lbbq6mifp,S. Reese,LCB,0b6c3865-f705-4818-ac4f-4adbb3a1afce,bt425ex9tsvly0uo72zljc74k,MID,1,1id5av4i7p6tmhf1vuigvlmvo,J. Wielzen,RM,False,False,False,True,False,False,False,0,False,False,True,19.32,19.88,0,0,19,19,4.0,25.02,14.39,13.05,2025-07-19,Hillerød vs Middelfart
4,6j52ab9vnkhef31151cmjywnp,M. Boesen,ST,0b6c3865-f705-4818-ac4f-4adbb3a1afce,bt425ex9tsvly0uo72zljc74k,MID,1,1id5av4i7p6tmhf1vuigvlmvo,J. Wielzen,RM,False,False,False,True,False,False,False,0,False,False,True,19.32,19.88,0,0,19,19,4.0,25.02,-11.51,21.88,2025-07-19,Hillerød vs Middelfart
4,846p691upy8hsw0pgteb6ktuc,N. Rasmussen,LB,0b6c3865-f705-4818-ac4f-4adbb3a1afce,bt425ex9tsvly0uo72zljc74k,MID,1,1id5av4i7p6tmhf1vuigvlmvo,J. Wielzen,RM,False,False,False,True,False,False,False,0,False,False,True,19.32,19.88,0,0,19,19,4.0,25.02,10.62,-2.0,2025-07-19,Hillerød vs Middelfart
4,8i16xur310p25unjt0zjrluj9,C. Radza,GK,0b6c3865-f705-4818-ac4f-4adbb3a1afce,bt425ex9tsvly0uo72zljc74k,MID,1,1id5av4i7p6tmhf1vuigvlmvo,J. Wielzen,RM,False,False,False,True,False,False,False,0,False,False,True,19.32,19.88,0,0,19,19,4.0,25.02,38.75,5.32,2025-07-19,Hillerød vs Middelfart
4,8pit4oud8sym57oc8m0f3j8ix,R. Kakeeto,LCM,0b6c3865-f705-4818-ac4f-4adbb3a1afce,bt425ex9tsvly0uo72zljc74k,MID,1,1id5av4i7p6tmhf1vuigvlmvo,J. Wielzen,RM,False,False,False,True,False,False,False,0,False,False,True,19.32,19.88,0,0,19,19,4.0,25.02,-1.49,16.17,2025-07-19,Hillerød vs Middelfart
4,a5ah5r5vl0pjgt655lc5qqvop,B. Bytyqi,LM,0b6c3865-f705-4818-ac4f-4adbb3a1afce,bt425ex9tsvly0uo72zljc74k,MID,1,1id5av4i7p6tmhf1vuigvlmvo,J. Wielzen,RM,False,False,False,True,False,False,False,0,False,False,True,19.32,19.88,0,0,19,19,4.0,25.02,0.37,25.17,2025-07-19,Hillerød vs Middelfart
4,ef7l91pb4w6yk7lijxjxlievp,M. Greve,CB,0b6c3865-f705-4818-ac4f-4adbb3a1afce,bt425ex9tsvly0uo72zljc74k,MID,1,1id5av4i7p6tmhf1vuigvlmvo,J. Wielzen,RM,False,False,False,True,False,False,False,0,False,True,True,19.32,19.88,0,0,19,19,4.0,25.02,2.49,18.06,2025-07-19,Hillerød vs Middelfart
5,19gornjqd7f2ugeg8mg0gs4q,J. Linnet,RB,0b6c3865-f705-4818-ac4f-4adbb3a1afce,bt425ex9tsvly0uo72zljc74k,MID,1,1znq0m3xloag4frfu715yy8lw,M. Kristensen,RCB,False,False,False,True,False,False,False,0,False,True,True,20.6,22.28,0,0,20,22,13.57,23.29,7.64,31.35,2025-07-19,Hillerød vs Middelfart
5,1id5av4i7p6tmhf1vuigvlmvo,J. Wielzen,RM,0b6c3865-f705-4818-ac4f-4adbb3a1afce,bt425ex9tsvly0uo72zljc74k,MID,1,1znq0m3xloag4frfu715yy8lw,M. Kristensen,RCB,False,False,False,True,False,False,False,0,False,True,True,20.6,22.28,0,0,20,22,13.57,23.29,4.45,24.23,2025-07-19,Hillerød vs Middelfart
5,3yt6hqo1ayr093vpohg4kwufo,J. Villemoes,RCM,0b6c3865-f705-4818-ac4f-4adbb3a1afce,bt425ex9tsvly0uo72zljc74k,MID,1,1znq0m3xloag4frfu715yy8lw,M. Kristensen,RCB,False,False,False,True,False,False,False,0,False,False,True,20.6,22.28,0,0,20,22,13.57,23.29,0.16,23.3,2025-07-19,Hillerød vs Middelfart
5,4bkqvwlmbwul0s8lbbq6mifp,S. Reese,LCB,0b6c3865-f705-4818-ac4f-4adbb3a1afce,bt425ex9tsvly0uo72zljc74k,MID,1,1znq0m3xloag4frfu715yy8lw,M. Kristensen,RCB,False,False,False,True,False,False,False,0,False,False,True,20.6,22.28,0,0,20,22,13.57,23.29,14.92,10.87,2025-07-19,Hillerød vs Middelfart
