contestantId,team_name,id,eventId,typeId,periodId,timeMin,timeSec,playerName,playerId,outcome,x,y,timeStamp,lastModified,assist,qualifier,match_id,label,league_name,date,country,15,17,18,20,22,24,25,26,29,56,60,61,63,64,65,72,73,74,75,76,77,78,80,81,82,83,100,102,103,108,114,133,139,146,147,153,154,214,215,230,231,233,254,321,322,324,326,327,328,374,375,391,395,396,458,sequenceId,possessionId,keyPass,140,141,318,210,23,6,9,107,16,28,79,89,101,138,273,280,281,282,323,338,472,62,86,160,468,85,120,216,217,276,121,84,87,68,21,300,136,274,19,122,275,353,390
6wwwud48qahpwrfxs20334qk5,Fredericia,2781530773,206,13,1,21,25,F. Winther,7rt4wpc0qphwnvhn8jeazesfe,1,86.8,56.4,2025-02-27T18:21:55.880,2025-02-27T18:23:02,1.0,"{""id"": 5544989057, ""qualifierId"": 87}",73obbnfl78mmdblsynyyjwjkk,Hvidovre vs Fredericia,1_Division,2025-02-27,DNK,NaN,true,NaN,true,true,NaN,NaN,,true,Center,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,,42.5,47.2,NaN,,,,NaN,NaN,NaN,true,NaN,NaN,98.0,51.4,NaN,,0.0786646157503128,0.0,NaN,3,2,NaN,NaN,NaN,,NaN,NaN,NaN,,,,,,,,NaN,,,,,,NaN,,,,,,,,NaN,NaN,,NaN,,NaN,NaN,,,,,,NaN,NaN,true,,,,,,,,,,
8gxd9ry2580pu1b1dd5ny9ymy,Hvidovre,2781530243,209,13,1,18,40,F. Høgh,9tt9eo9bsff7dp7aqjal1obo4,1,72.9,40.7,2025-02-27T18:19:11.139,2025-02-27T18:20:29,1.0,"{""id"": 5544475779, ""qualifierId"": 153}",73obbnfl78mmdblsynyyjwjkk,Hvidovre vs Fredericia,1_Division,2025-02-27,DNK,NaN,NaN,true,true,true,NaN,NaN,,true,Center,NaN,,,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,,60.8,2.8,NaN,,,,95.8,54.5,true,NaN,NaN,true,98.8,56.3,NaN,,0.11615955084562302,0.0,NaN,1,2,NaN,NaN,NaN,,NaN,NaN,NaN,,,,,,,,NaN,,,,,,NaN,,,,,,,,NaN,NaN,,NaN,,NaN,NaN,,,,,,NaN,NaN,NaN,,,,,,,,,,
8gxd9ry2580pu1b1dd5ny9ymy,Hvidovre,2781530881,230,13,1,22,7,A. Smed,dncrhma6gwcn6pxiu7hfc6qz8,1,84.0,65.6,2025-02-27T18:22:38.216,2025-02-27T18:23:47,NaN,"{""id"": 5544479957, ""qualifierId"": 103, ""value"": ""86.1""}",73obbnfl78mmdblsynyyjwjkk,Hvidovre vs Fredericia,1_Division,2025-02-27,DNK,NaN,NaN,NaN,true,true,NaN,NaN,,NaN,Center,NaN,,,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,true,NaN,,,43.5,86.1,NaN,,,,NaN,NaN,NaN,NaN,NaN,true,98.2,52.9,NaN,,0.07600042223930359,0.0,NaN,1,2,NaN,NaN,NaN,,NaN,NaN,true,,,,,,,,NaN,,,,,,NaN,,,,,,,,NaN,NaN,,NaN,,NaN,NaN,,,,,,NaN,NaN,NaN,,,,,,,,,,
8gxd9ry2580pu1b1dd5ny9ymy,Hvidovre,2781531517,269,15,1,25,37,J. Adjei-Broni,1cumsropo1r0msfzxxteml1w,1,81.3,43.2,2025-02-27T18:26:07.804,2025-02-27T18:27:20,NaN,"{""id"": 5544483881, ""qualifierId"": 56, ""value"": ""Center""}",73obbnfl78mmdblsynyyjwjkk,Hvidovre vs Fredericia,1_Division,2025-02-27,DNK,NaN,NaN,true,NaN,NaN,NaN,true,,NaN,Center,NaN,,,NaN,NaN,true,NaN,NaN,NaN,true,NaN,NaN,,NaN,true,,,52.4,19,NaN,,,,89.3,47.1,NaN,NaN,NaN,NaN,97.1,49.3,222,,0.04622138664126396,0.0,NaN,1,3,true,NaN,NaN,,NaN,NaN,true,,,,,,,,NaN,,,,,,NaN,,,,,,,,NaN,NaN,,NaN,,NaN,NaN,,,,,,NaN,NaN,NaN,,,,,,,,,,
8gxd9ry2580pu1b1dd5ny9ymy,Hvidovre,2781531535,270,13,1,25,41,M. Fredslund,45dqseup0cmujyl4nprr29y0a,1,90.8,44.0,2025-02-27T18:26:11.887,2025-02-27T18:27:36,NaN,"{""id"": 5544483933, ""qualifierId"": 17}",73obbnfl78mmdblsynyyjwjkk,Hvidovre vs Fredericia,1_Division,2025-02-27,DNK,NaN,true,NaN,true,NaN,NaN,true,,NaN,Center,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,,42.2,27.8,NaN,,,,NaN,NaN,NaN,NaN,true,NaN,96.9,47.5,NaN,,0.14934691786766052,0.0,NaN,1,2,true,NaN,NaN,,NaN,NaN,true,,,,,,,,NaN,,,,,,NaN,,,,,,,,NaN,NaN,,NaN,,NaN,NaN,,,,,,NaN,true,NaN,,,,,,,,,,
6wwwud48qahpwrfxs20334qk5,Fredericia,2781532681,311,15,1,35,1,J. Lindekilde,23sc7wc7my7wes6cuaxw1v0no,1,91.7,45.6,2025-02-27T18:35:32,2025-02-27T18:36:39,1.0,"{""id"": 5544491483, ""qualifierId"": 102, ""value"": ""49.8""}",73obbnfl78mmdblsynyyjwjkk,Hvidovre vs Fredericia,1_Division,2025-02-27,DNK,NaN,true,NaN,true,true,NaN,NaN,,true,Center,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,,NaN,true,,,49.8,19,NaN,,,,92.9,46.2,NaN,true,NaN,NaN,98.6,46.2,342,,0.11779630184173584,0.0,NaN,3,3,true,NaN,NaN,,NaN,NaN,NaN,,,,,,,,NaN,,,,,,NaN,,,,,,,,NaN,NaN,,NaN,,NaN,NaN,,,,,,NaN,NaN,NaN,,,,,,,,,,
8gxd9ry2580pu1b1dd5ny9ymy,Hvidovre,2781532297,317,15,1,31,48,A. Smed,dncrhma6gwcn6pxiu7hfc6qz8,1,87.8,73.0,2025-02-27T18:32:18.995,2025-02-27T18:33:30,1.0,"{""id"": 5544489027, ""qualifierId"": 327, ""value"": ""2""}",73obbnfl78mmdblsynyyjwjkk,Hvidovre vs Fredericia,1_Division,2025-02-27,DNK,NaN,NaN,NaN,true,true,NaN,NaN,,true,Center,NaN,,,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,,NaN,true,,,51.7,19,NaN,,,,90.3,68.6,NaN,true,NaN,NaN,97.8,54.9,280,,0.0507766529917717,0.0,NaN,1,2,NaN,NaN,NaN,,NaN,NaN,NaN,,,,,,,,NaN,,,,,,NaN,,,,,,,,NaN,NaN,,NaN,,NaN,902,,,,,,NaN,NaN,NaN,,,,,,,,,,
8gxd9ry2580pu1b1dd5ny9ymy,Hvidovre,2781533681,399,15,1,40,15,F. Høgh,9tt9eo9bsff7dp7aqjal1obo4,1,91.1,48.5,2025-02-27T18:40:45.598,2025-03-01T12:29:06,1.0,"{""id"": 5544497609, ""qualifierId"": 103, ""value"": ""23.4""}",73obbnfl78mmdblsynyyjwjkk,Hvidovre vs Fredericia,1_Division,2025-02-27,DNK,NaN,true,NaN,true,true,NaN,NaN,,true,Center,NaN,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,true,NaN,,,47.7,23.4,NaN,,,,98.5,48.7,NaN,true,true,NaN,NaN,NaN,348,,0.26509806513786316,0.5831093192100525,NaN,3,1,true,NaN,NaN,,NaN,NaN,NaN,,,,,,,,NaN,,,,,,NaN,,,,,,,,NaN,NaN,,NaN,,NaN,NaN,,,,,,NaN,NaN,NaN,,,,,,,,,,
8gxd9ry2580pu1b1dd5ny9ymy,Hvidovre,2781533687,400,13,1,40,17,F. Høgh,9tt9eo9bsff7dp7aqjal1obo4,1,98.0,40.7,2025-02-27T18:40:48.047,2025-02-27T18:42:07,NaN,"{""id"": 5544497683, ""qualifierId"": 20}",73obbnfl78mmdblsynyyjwjkk,Hvidovre vs Fredericia,1_Division,2025-02-27,DNK,NaN,NaN,NaN,true,true,NaN,NaN,,NaN,Center,true,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,,43.2,1.4,NaN,,,,NaN,NaN,NaN,NaN,NaN,NaN,99.3,45.7,NaN,,0.18427886068820953,0.0,NaN,1,1,true,NaN,NaN,,NaN,NaN,true,,,,,,,,NaN,,,,,,NaN,,,,,,,,true,399,,NaN,,NaN,NaN,,,,,,NaN,true,NaN,,,,,,,,,,
6wwwud48qahpwrfxs20334qk5,Fredericia,2781537769,489,15,2,51,52,O. Buch,y4dl1rer075c9wz6zhx7skbt,1,87.8,47.4,2025-02-27T19:07:59.614,2025-03-01T12:29:08,1.0,"{""id"": 5544521859, ""qualifierId"": 56, ""value"": ""Center""}",73obbnfl78mmdblsynyyjwjkk,Hvidovre vs Fredericia,1_Division,2025-02-27,DNK,NaN,true,NaN,NaN,NaN,NaN,NaN,,true,Center,NaN,,,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,true,,NaN,NaN,,,51.8,3.8,NaN,,,,98.4,49.8,NaN,true,NaN,NaN,NaN,NaN,502,,0.18894469738006592,0.26908078789711,true,2,2,NaN,NaN,NaN,,NaN,NaN,NaN,,,,,,,,NaN,,,,,,NaN,,,,,,,,NaN,NaN,,NaN,,true,NaN,,,,,,NaN,NaN,NaN,,,,,,,,,,
