contestantId,team_name,id,eventId,typeId,periodId,timeMin,timeSec,playerName,playerId,outcome,x,y,timeStamp,lastModified,qualifier,assist,match_id,label,league_name,date,country,15,16,17,18,20,22,24,25,29,56,61,62,64,72,73,76,77,78,79,80,81,82,83,84,85,100,102,103,108,113,114,133,136,146,147,154,160,214,215,216,217,230,231,233,321,322,324,326,327,328,374,375,395,396,458,sequenceId,possessionId,keyPass,140,141,318,210,23,6,9,26,107,63,74,75,87,121,468
ajtb177oqwawkdwbqhldmq6mx,B 93,2827665299,530,15,2,62,25,A. Ahmad,4csz412vb3lquessbnf999ct0,1,98.2,35.2,2025-07-18T18:19:40.927,2025-07-21T12:29:28,"{""id"": 5804268319, ""qualifierId"": 324}",1.0,bsnoje72zc76mcdjiutfqzthw,Hvidovre vs B 93,USL_Championship,2025-07-18,USA,NaN,NaN,NaN,NaN,true,true,NaN,NaN,true,Center,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,45.3,18.4,NaN,NaN,NaN,NaN,NaN,99.5,44.8,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,562,0.06028673052787781,0.22793832421302795,true,2,2,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,
8gxd9ry2580pu1b1dd5ny9ymy,Hvidovre,2827665079,554,15,2,61,14,Z. Aliji,aajgld24isoem1ycoysyxxp1w,1,75.3,58.1,2025-07-18T18:18:30.361,2025-07-21T12:20:21,"{""id"": 5799183719, ""qualifierId"": 326, ""value"": ""1""}",NaN,bsnoje72zc76mcdjiutfqzthw,Hvidovre vs B 93,USL_Championship,2025-07-18,USA,NaN,NaN,NaN,true,NaN,true,NaN,NaN,NaN,Center,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,46.6,7.6,true,NaN,true,NaN,NaN,98.2,51.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,516,0.01706995815038681,0.1262691766023636,NaN,1,3,true,NaN,NaN,NaN,NaN,true,,,,,,,,,,,,,,,,,,
8gxd9ry2580pu1b1dd5ny9ymy,Hvidovre,2827665813,588,15,2,65,2,F. Høgh,9tt9eo9bsff7dp7aqjal1obo4,1,90.8,43.0,2025-07-18T18:22:18.100,2025-07-21T12:29:25,"{""id"": 5804269173, ""qualifierId"": 17}",1.0,bsnoje72zc76mcdjiutfqzthw,Hvidovre vs B 93,USL_Championship,2025-07-18,USA,true,NaN,true,NaN,NaN,true,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,51.0,21.5,NaN,NaN,NaN,true,NaN,98.8,48.2,true,NaN,NaN,NaN,NaN,NaN,98.4,49.1,552,0.03792315348982811,0.15680502355098724,NaN,3,2,true,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,
ajtb177oqwawkdwbqhldmq6mx,B 93,2827666537,601,15,2,71,5,N. Mouritsen,eyvv6b94feknnp1uew6n0ytat,1,89.9,68.3,2025-07-18T18:28:21.094,2025-07-21T13:19:00,"{""id"": 5799201513, ""qualifierId"": 29}",1.0,bsnoje72zc76mcdjiutfqzthw,Hvidovre vs B 93,USL_Championship,2025-07-18,USA,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,true,Center,NaN,NaN,true,true,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,51.2,25.9,NaN,true,NaN,NaN,NaN,98.5,54.0,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,623,0.08571875095367432,0.10159469395875931,NaN,1,2,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,
ajtb177oqwawkdwbqhldmq6mx,B 93,2827667275,652,15,2,77,38,M. Wohlgemuth,e8vt8711wb40afht2v13omket,1,81.2,55.2,2025-07-18T18:34:53.805,2025-07-18T18:50:29,"{""id"": 4611686018471100957, ""qualifierId"": 322, ""value"": ""0.0""}",1.0,bsnoje72zc76mcdjiutfqzthw,Hvidovre vs B 93,USL_Championship,2025-07-18,USA,NaN,NaN,NaN,true,NaN,true,NaN,NaN,true,Center,NaN,NaN,NaN,true,NaN,NaN,NaN,true,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,50.9,19,NaN,NaN,NaN,NaN,NaN,85.0,54.3,true,NaN,NaN,NaN,NaN,NaN,98.4,50.2,666,0.06121066212654114,0.0,NaN,2,3,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,
8gxd9ry2580pu1b1dd5ny9ymy,Hvidovre,2827666947,654,15,2,74,56,M. Egho,4m9sp9mxlsjk6fv7v218yqfv9,1,87.7,43.6,2025-07-18T18:32:11.959,2025-07-18T18:33:18,"{""id"": 4611686018471100889, ""qualifierId"": 322, ""value"": ""0.0""}",1.0,bsnoje72zc76mcdjiutfqzthw,Hvidovre vs B 93,USL_Championship,2025-07-18,USA,NaN,NaN,true,NaN,true,true,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,50.2,19,NaN,NaN,NaN,NaN,NaN,91.2,45.5,NaN,NaN,true,true,NaN,NaN,96.2,47.8,639,0.17644469439983368,0.0,NaN,2,2,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,
8gxd9ry2580pu1b1dd5ny9ymy,Hvidovre,2827667703,696,15,2,81,1,A. Smed,dncrhma6gwcn6pxiu7hfc6qz8,1,77.2,36.0,2025-07-18T18:38:16.510,2025-07-21T13:18:59,"{""id"": 5799199063, ""qualifierId"": 147, ""value"": ""47.5""}",NaN,bsnoje72zc76mcdjiutfqzthw,Hvidovre vs B 93,USL_Championship,2025-07-18,USA,NaN,NaN,NaN,true,true,NaN,NaN,NaN,NaN,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,51.0,31.0,NaN,NaN,NaN,NaN,NaN,95.9,47.5,NaN,true,NaN,true,NaN,NaN,NaN,NaN,690,0.03019922785460949,0.06146598979830742,NaN,1,3,true,NaN,NaN,NaN,NaN,true,,,,,,,,,,,,,,,,,,
ajtb177oqwawkdwbqhldmq6mx,B 93,2827668119,723,13,2,83,34,M. Wohlgemuth,e8vt8711wb40afht2v13omket,1,77.7,48.9,2025-07-18T18:40:50.067,2025-07-18T18:43:44,"{""id"": 5799209077, ""qualifierId"": 230, ""value"": ""98.6""}",1.0,bsnoje72zc76mcdjiutfqzthw,Hvidovre vs B 93,USL_Championship,2025-07-18,USA,NaN,NaN,NaN,true,true,true,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,41.3,8.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,98.6,50.5,NaN,0.05906030163168907,0.0,NaN,1,3,true,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,
8gxd9ry2580pu1b1dd5ny9ymy,Hvidovre,2827668893,745,13,2,88,11,F. Krogstad,dm6xpphbyyooqriwaambi7njd,1,73.5,41.9,2025-07-18T18:45:26.971,2025-07-18T18:46:35,"{""id"": 5804277513, ""qualifierId"": 215}",NaN,bsnoje72zc76mcdjiutfqzthw,Hvidovre vs B 93,USL_Championship,2025-07-18,USA,NaN,NaN,NaN,true,NaN,NaN,true,NaN,NaN,Center,NaN,NaN,NaN,true,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70.8,8.3,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,98.9,48.2,NaN,0.012222574092447758,0.0,NaN,1,3,true,NaN,NaN,NaN,NaN,true,,,,,,,,,,,,,,,,,,
8gxd9ry2580pu1b1dd5ny9ymy,Hvidovre,2827669177,761,15,2,89,46,M. Egho,4m9sp9mxlsjk6fv7v218yqfv9,1,78.4,62.2,2025-07-18T18:47:02.115,2025-07-18T18:48:20,"{""id"": 5799207667, ""qualifierId"": 103, ""value"": ""19""}",1.0,bsnoje72zc76mcdjiutfqzthw,Hvidovre vs B 93,USL_Championship,2025-07-18,USA,NaN,NaN,NaN,true,NaN,true,NaN,NaN,true,Center,NaN,NaN,NaN,true,NaN,NaN,NaN,true,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,49.4,19,NaN,NaN,NaN,NaN,NaN,81.6,60.3,NaN,NaN,NaN,true,NaN,NaN,97.8,51.6,766,0.03389573097229004,0.0,NaN,2,2,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,,,,,,,,,
