contestantId,team_name,id,eventId,typeId,periodId,timeMin,timeSec,playerName,playerId,outcome,x,y,timeStamp,lastModified,assist,qualifier,match_id,label,league_name,date,country,15,16,17,18,19,20,22,23,24,25,29,56,60,72,73,74,76,77,78,80,81,82,83,84,87,100,101,102,103,108,120,133,139,146,147,153,154,214,215,230,231,233,300,321,322,323,326,327,328,338,374,375,391,395,396,458,sequenceId,possessionId,keyPass,140,141,318,210,6,9,26,107,63,64,75,79,136,160,280,281,282,324,468,472,86,121,61,65,114,85,353,390,276,89
a9vw7ikerpr4cuweeeka5aneg,Horsens,2829181941,794,15,2,96,11,S. Doua,6qko3f8w2ap9ynbuq2g55i5n8,1,87.0,29.9,2025-07-25T18:55:52.774,2025-07-25T18:56:45,1.0,"{""id"": 5807671429, ""qualifierId"": 63}",busfsm4t1ka6tafil06i8jfo4,Horsens vs Kolding,1_Division,2025-07-25,DNK,NaN,NaN,NaN,NaN,,true,NaN,true,NaN,NaN,true,Center,,NaN,NaN,NaN,NaN,,NaN,true,NaN,true,,,,,,47.7,19,NaN,,,,89.1,32.8,,NaN,NaN,true,98.1,47.8,848,NaN,0.03127894923090935,0.0,NaN,3,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,NaN,,true,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,,,,,,,,,
8cfkisxf1fkxdqtt6tx1tup48,HB Køge,2845122229,76,15,1,6,50,S. Larsen,4m7gr5z6b40dj02yrmlwgeluc,1,91.3,46.7,2025-09-13T11:07:06.451,2025-09-13T11:08:15,1.0,"{""id"": 5896848793, ""qualifierId"": 17}",carrjufmn9zqdvrj4u0eis2l0,HB Køge vs Horsens,1_Division,2025-09-13,DNK,true,NaN,true,NaN,,NaN,NaN,NaN,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,52.0,25.3,NaN,,,,99.1,50.2,NaN,true,NaN,NaN,NaN,NaN,69,,0.15983228385448456,0.19879204034805298,,1,1,true,,NaN,NaN,,,,NaN,,,,,,,,,,NaN,,NaN,NaN,NaN,NaN,,true,,,,NaN,,,NaN,NaN,NaN,,,,,,,
a9vw7ikerpr4cuweeeka5aneg,Horsens,2845123357,94,15,1,8,41,S. Pingel,3epwf56ozg73hueacwmckk0r9,1,95.4,38.5,2025-09-13T11:08:58.023,2025-09-13T11:10:17,1.0,"{""id"": 5896855909, ""qualifierId"": 154}",carrjufmn9zqdvrj4u0eis2l0,HB Køge vs Horsens,1_Division,2025-09-13,DNK,NaN,NaN,NaN,NaN,,true,NaN,NaN,NaN,true,true,Center,true,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,true,NaN,NaN,,true,NaN,49.0,19,true,,,,96.4,40.8,NaN,true,NaN,NaN,99.4,45.5,81,,0.04297643527388573,0.0,,3,3,true,,NaN,NaN,,,,NaN,,,,,,,,,,NaN,,NaN,NaN,NaN,NaN,,NaN,,,,NaN,,,NaN,NaN,NaN,,,,,,,
8cfkisxf1fkxdqtt6tx1tup48,HB Køge,2845125437,107,13,1,11,59,Mohamad Al Naser,abhfq12njxxutqjtb9zvcusyc,1,91.0,52.9,2025-09-13T11:12:15.464,2025-09-13T11:13:28,1.0,"{""id"": 5896866967, ""qualifierId"": 29}",carrjufmn9zqdvrj4u0eis2l0,HB Køge vs Horsens,1_Division,2025-09-13,DNK,true,NaN,true,NaN,,NaN,NaN,NaN,true,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,,NaN,NaN,41.2,69.4,NaN,,,,NaN,NaN,NaN,true,NaN,NaN,98.2,50.4,NaN,,0.10043774545192719,0.0,,2,2,true,,NaN,NaN,,,,NaN,,,,,,,,,,NaN,,NaN,NaN,NaN,NaN,,NaN,,,,NaN,,,NaN,NaN,NaN,,,,,,,
8cfkisxf1fkxdqtt6tx1tup48,HB Køge,2845127609,127,13,1,15,25,Mohamad Al Naser,abhfq12njxxutqjtb9zvcusyc,1,87.2,51.0,2025-09-13T11:15:42.166,2025-09-13T11:16:51,1.0,"{""id"": 5896877973, ""qualifierId"": 321, ""value"": ""0.032080162316560745""}",carrjufmn9zqdvrj4u0eis2l0,HB Køge vs Horsens,1_Division,2025-09-13,DNK,true,NaN,true,NaN,,NaN,true,NaN,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,24.7,1.4,NaN,,,,NaN,NaN,NaN,true,NaN,NaN,99.0,50,NaN,,0.032080162316560745,0.0,,2,2,true,,NaN,NaN,,,,NaN,,,,,,,,,,NaN,,NaN,NaN,true,NaN,,NaN,,,,NaN,,,NaN,NaN,NaN,,,,,,,
a9vw7ikerpr4cuweeeka5aneg,Horsens,2845129561,191,15,1,18,33,K. Kirkegaard,3ylgelxr6ssp42hidfnchqp2i,1,85.2,68.4,2025-09-13T11:18:49.486,2025-09-13T11:19:57,1.0,"{""id"": 5896889067, ""qualifierId"": 321, ""value"": ""0.02272055111825466""}",carrjufmn9zqdvrj4u0eis2l0,HB Køge vs Horsens,1_Division,2025-09-13,DNK,NaN,NaN,NaN,NaN,,true,true,NaN,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,true,NaN,NaN,,NaN,NaN,53.2,19,NaN,,,,86.9,66.6,NaN,true,NaN,NaN,98.5,51.3,160,,0.02272055111825466,0.0,,3,2,NaN,,NaN,NaN,,,,NaN,,,,,,,,,,NaN,,NaN,true,NaN,NaN,,NaN,,,,NaN,,,NaN,NaN,NaN,,,,,,,
a9vw7ikerpr4cuweeeka5aneg,Horsens,2845130831,237,13,1,20,32,P. Olsen,8jotzm26md7pzdy2gn474chqt,1,79.3,36.1,2025-09-13T11:20:48.686,2025-09-13T11:21:57,1.0,"{""id"": 5896895969, ""qualifierId"": 56, ""value"": ""Center""}",carrjufmn9zqdvrj4u0eis2l0,HB Køge vs Horsens,1_Division,2025-09-13,DNK,NaN,NaN,NaN,true,,true,true,NaN,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,,NaN,NaN,57.8,4.2,NaN,,,,NaN,NaN,NaN,true,NaN,true,98.9,48.4,NaN,,0.04111398011445999,0.0,,1,2,true,,NaN,NaN,,,,NaN,,,,,,,,,,NaN,,NaN,NaN,NaN,NaN,,NaN,,,,NaN,,,NaN,NaN,NaN,,,,,,,
8cfkisxf1fkxdqtt6tx1tup48,HB Køge,2845135823,246,13,1,28,56,M. Westergren,7al9w77ailhli8g487tkl32tw,1,72.2,48.7,2025-09-13T11:29:13.050,2025-09-13T11:30:22,NaN,"{""id"": 5896924731, ""qualifierId"": 458}",carrjufmn9zqdvrj4u0eis2l0,HB Køge vs Horsens,1_Division,2025-09-13,DNK,NaN,NaN,NaN,true,,true,NaN,NaN,NaN,NaN,NaN,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,,NaN,NaN,41.3,9.7,NaN,,,,NaN,NaN,NaN,NaN,NaN,NaN,99.3,49.6,NaN,,0.044330962002277374,0.0,,1,2,NaN,,NaN,NaN,,,,true,,,,,,,,,,true,,NaN,NaN,NaN,NaN,,NaN,,,,NaN,,,NaN,NaN,NaN,,,,,,,
8cfkisxf1fkxdqtt6tx1tup48,HB Køge,2845138515,263,13,1,31,44,S. Larsen,4m7gr5z6b40dj02yrmlwgeluc,1,93.2,50.2,2025-09-13T11:32:00.377,2025-09-13T11:33:11,1.0,"{""id"": 5896939673, ""qualifierId"": 74}",carrjufmn9zqdvrj4u0eis2l0,HB Køge vs Horsens,1_Division,2025-09-13,DNK,true,NaN,true,NaN,,NaN,NaN,NaN,NaN,true,true,Center,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,54.3,68.1,NaN,,,,NaN,NaN,NaN,true,NaN,NaN,98.8,50.7,NaN,,0.13821890950202942,0.0,,3,2,true,,NaN,NaN,,,,NaN,,,,,,,,,,NaN,,NaN,NaN,NaN,NaN,,NaN,,,,NaN,,,NaN,NaN,NaN,,,,,,,
8cfkisxf1fkxdqtt6tx1tup48,HB Køge,2845141821,288,13,1,34,51,C. Tue Jensen,74m58jsznzu8l89b8h7rkh1bd,1,80.0,43.0,2025-09-13T11:35:07.319,2025-09-13T11:37:48,1.0,"{""id"": 5896965771, ""qualifierId"": 73}",carrjufmn9zqdvrj4u0eis2l0,HB Køge vs Horsens,1_Division,2025-09-13,DNK,NaN,NaN,NaN,true,,true,NaN,NaN,NaN,true,true,Center,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,60.2,18.1,NaN,,,,91.9,51.3,true,true,NaN,NaN,99.1,49.3,NaN,,0.041890162974596024,0.0,,1,3,true,,NaN,NaN,,,,NaN,,,,,,,,,,NaN,,NaN,NaN,NaN,NaN,,NaN,,,,NaN,,,NaN,NaN,NaN,,,,,,,
