competition,season,team,ID,player_name,number,position,Distance_per90,Walking_per90,Jogging_per90,Running_per90,High Speed Running_per90,Sprinting_per90,No. of High Intensity Runs_per90,Sprint Distance TIP_per90,No. of High Intensity Runs TIP_per90,Distance OTIP_per90,HSR Distance OTIP_per90,Sprint Distance OTIP_per90,No. of High Intensity Runs OTIP_per90,Distance BOP_per90,HSR Distance BOP_per90,Sprint Distance BOP_per90,No. of High Intensity Runs BOP_per90,games
1.Div,2025,HIK,600815,Theo Hansen,26,RCM,10639.20463882733,2678.9992538157812,5452.484287213621,1534.8520887305701,598.3302933235533,374.53871574380423,95.7878144703165,233.4656433375991,46.031177820088644,4653.084517799176,330.78922002777955,132.34585102066296,44.66395374243087,1990.5316030963231,30.854225841188587,8.72722138554217,5.092682907796991,10
1.Div,2025,HIK,600815,Theo Hansen,26,RM,10463.753779697623,2495.9838012958962,5389.182505399567,1782.8309935205186,581.505939524838,214.23596112311012,86.01511879049676,190.2100431965443,58.31533477321815,3495.1441684665224,181.40442764578836,21.110151187904968,23.326133909287254,2404.210043196544,32.977321814254864,2.9157667386609067,4.373650107991361,10
1.Div,2025,HIK,600815,Theo Hansen,26,SUB,11722.61914460285,2505.8199592668025,6265.154786150713,1977.466802443992,725.0077393075358,249.16985743380857,97.8818737270876,130.0949083503055,40.69246435845214,5631.3201629327905,459.34093686354385,91.14012219959268,54.989816700611,1916.0431771894096,20.819144602851324,27.92382892057027,2.19959266802444,10
1.Div,2025,HIK,613589,Mikkel Kannegaard,5,LCB,9503.042008368202,2718.102426778243,4626.828451882845,1410.136569037657,605.2699581589958,142.70460251046026,89.47280334728033,43.4892050209205,25.305439330543933,4221.308786610879,398.92217573221757,77.70577405857742,58.744769874476994,1981.253221757322,21.229456066945605,21.518661087866107,5.422594142259415,1
1.Div,2025,HIK,623308,Max Nielsen,22,LB,9809.67663704478,2895.6140439170467,4274.169890487456,1436.749642241374,750.6751758556838,452.469756618103,126.3110912745941,246.95227303886207,62.189196245600314,4159.063569591235,382.5691485154207,181.57518766792492,57.601423147774256,2033.5491997903846,30.22061617074717,23.940458551669938,6.520471881219538,15
1.Div,2025,HIK,623308,Max Nielsen,22,LWB,11118.875648535564,2660.270460251046,4862.693221757322,1988.6008368200837,966.1526359832636,641.1584937238493,175.3305439330544,345.7626778242678,73.2050209205021,4806.054225941423,454.8471966527197,255.2324686192469,86.76150627615064,2460.93589958159,83.30008368200838,40.15430962343096,15.364016736401675,15
1.Div,2025,HIK,623308,Max Nielsen,22,RB,10410.619461046574,2951.2492156777753,4837.94866670826,1582.0732542056558,737.915208806659,301.43311564822363,103.53027541445562,172.40557122879795,53.6688378562528,4283.9361463207015,352.65020961469617,117.7934597760861,46.12251939236396,1979.5126340914094,26.237435809891718,11.234084643339616,3.7389181658388644,15
1.Div,2025,HIK,623308,Max Nielsen,22,RWB,10091.830765054348,3043.783819084718,4437.776086200112,1585.3664738669204,654.7290591089114,370.1815155816871,103.87660908620758,193.46718260808515,46.522077726086366,3697.715520891055,322.8707574630491,130.5616227423043,47.779153832019325,2350.5620030421765,67.781233755658,46.14962275273845,9.575377528101882,15
1.Div,2025,HIK,647806,Marco Bruhn,23,CF,9813.807391304346,2567.770434782609,4757.341304347826,1493.3817391304347,666.2895652173913,329.01260869565215,135.0,184.24565217391302,65.73913043478261,4256.620434782609,301.9421739130434,137.04260869565215,61.04347826086956,2063.3986956521735,73.62782608695652,7.724347826086956,8.217391304347826,7
1.Div,2025,HIK,647806,Marco Bruhn,23,LF,9691.127348332762,3398.117238234776,4398.370270254303,1139.1802542504875,533.4515965377726,222.00798905542356,79.78818233861048,163.48265641162132,47.34919973333092,3585.7653368046185,243.74559922984974,53.929924167279836,29.73658725377078,2008.7120613070629,28.056716872949877,4.589962732270686,2.702395351508779,7
