team,ID,player_name,number,position,ssiId_player,optaUuid_player,Minutes_seconds,Distance,Walking,Jogging,Running,High Speed Running,Sprinting,No. of High Intensity Runs,Sprint Distance TIP,No. of High Intensity Runs TIP,Distance OTIP,HSR Distance OTIP,Sprint Distance OTIP,No. of High Intensity Runs OTIP,Distance BOP,HSR Distance BOP,Sprint Distance BOP,No. of High Intensity Runs BOP,Distance_per90,Walking_per90,Jogging_per90,Running_per90,High Speed Running_per90,Sprinting_per90,No. of High Intensity Runs_per90,Sprint Distance TIP_per90,No. of High Intensity Runs TIP_per90,Distance OTIP_per90,HSR Distance OTIP_per90,Sprint Distance OTIP_per90,No. of High Intensity Runs OTIP_per90,Distance BOP_per90,HSR Distance BOP_per90,Sprint Distance BOP_per90,No. of High Intensity Runs BOP_per90,game_id,match_description,season,competition,Minutes
HVI,544962,Magnus Fredslund,30.0,RB,47e2d1f1-8443-41d5-aa9d-f2f473ab865a,45dqseup0cmujyl4nprr29y0a,3792,6702.98,2327.25,2937.32,919.87,401.47,117.06,52,28.96,13,2433.0,290.93,83.54,37,1752.31,9.96,4.56,2,9545.382911392404,3314.121835443038,4182.892405063291,1309.9414556962026,571.7136075949367,166.69936708860757,74.0506329113924,41.24050632911393,18.5126582278481,3464.715189873418,414.2990506329114,118.96518987341771,52.68987341772152,2495.378164556962,14.183544303797468,6.493670886075949,2.8481012658227844,ab72dc7d-891a-4cc7-86ee-74a00e9b5a28,HVI - HBK : 2024-7-19,2024,1.Div,63.2
HVI,544965,Filip Djukic,1.0,GK,570ea515-3774-45bb-b07a-618d6a17b106,d9hh01mit4geyadol3gmzco9,5657,5280.13,4062.46,1060.06,112.44,36.73,8.44,5,0.0,0,1624.46,32.9,8.44,5,1650.84,0.0,0.0,0,5040.25136998409,3877.9006540569208,1011.9010076012021,107.33180130811384,35.061339932826584,8.0565670850274,4.772847799186848,0.0,0.0,1550.6600671734134,31.40533851864946,8.0565670850274,4.772847799186848,1575.8416121619234,0.0,0.0,0.0,ab72dc7d-891a-4cc7-86ee-74a00e9b5a28,HVI - HBK : 2024-7-19,2024,1.Div,94.28333333333333
ROS,147581,Lasse Emil Nielsen,7.0,CAM,372df9ab-cd52-4469-aa5f-c59c4b1527a9,7pnxa8wzxx5qxevcckxdd62tx,4176,8864.11,2142.03,4340.83,1439.69,637.31,304.24,100,157.74,53,3807.54,273.02,119.4,40,1816.4,34.72,27.11,7,11462.211206896553,2769.8663793103456,5613.142241379311,1861.668103448276,824.1077586206898,393.4137931034483,129.31034482758622,203.9741379310345,68.5344827586207,4923.543103448276,353.0431034482759,154.39655172413794,51.72413793103449,2348.7931034482763,44.896551724137936,35.05603448275862,9.051724137931034,b1aae451-aa19-496b-9e69-0c70ea677d93,VFN - ROS : 2024-7-19,2024,1.Div,69.6
ROS,205922,Nicklas Halse,6.0,RDM,11c27412-5237-4bcb-b3cd-05450f7d83d6,bwozpgcm48s08t1glxfgjajmd,5709,11004.91,3112.75,5045.94,1723.44,901.45,221.31,127,42.14,29,4959.2,657.98,164.97,88,2525.17,59.53,14.2,10,10409.26852338413,2944.272201786652,4772.828166053599,1630.158696794535,852.6589595375723,209.3315817130846,120.12611665790855,39.8591697320021,27.430373095112977,4690.782974251182,622.366789280084,156.0409879138203,83.23699421965318,2388.495007882291,56.30793483972674,13.431424067262215,9.458749343142406,b1aae451-aa19-496b-9e69-0c70ea677d93,VFN - ROS : 2024-7-19,2024,1.Div,95.15
ROS,512220,Roni Arabaci,10.0,LW,844eeea8-2fe6-40e1-bf7a-64817baf03a1,7h02v4ymnko5fh01iylbh34es,5709,11358.81,2881.2,5574.34,1956.34,694.97,251.95,104,127.6,44,4915.77,461.78,122.03,60,2349.04,7.29,2.32,0,10744.013662637939,2725.25486074619,5272.628481345245,1850.4529689963215,657.3547031003678,238.3131897004729,98.37099316868104,120.69364161849708,41.61849710982659,4649.703625853915,436.78612716763,115.42511823436678,56.75249605885443,2221.898055701524,6.895428271150815,2.194429847609038,0.0,b1aae451-aa19-496b-9e69-0c70ea677d93,VFN - ROS : 2024-7-19,2024,1.Div,95.15
ROS,544948,Marco Brylov,1.0,GK,6cb8f84e-677d-4fd5-9a6a-b6b436b3adf0,8r9iqig43yjty7l1oq6yg73mc,5709,5185.32,3412.62,1561.23,145.21,53.63,12.63,8,6.34,3,1946.65,26.79,6.29,4,1519.85,12.22,0.0,1,4904.664214398318,3227.9117183394637,1476.728323699422,137.35049921177088,50.72727272727273,11.94640042038886,7.566999474513925,5.996847083552286,2.8376248029427216,1841.2874408828168,25.33998949027851,5.949553336836574,3.7834997372569625,1437.5880189174984,11.55859169732002,0.0,0.9458749343142406,b1aae451-aa19-496b-9e69-0c70ea677d93,VFN - ROS : 2024-7-19,2024,1.Div,95.15
ROS,545110,Mikkel Juhl Aagaard Andersen,2.0,RB,640d9e73-8c80-4eb5-a50a-028af490b9fa,duvhbifjh37mvlm46akiy431m,4650,9491.78,2860.43,3682.03,1665.69,867.97,415.66,132,137.84,49,3920.0,480.91,239.52,76,2256.64,53.07,38.3,7,11022.712258064517,3321.7896774193546,4275.905806451613,1934.349677419355,1007.9651612903226,482.701935483871,153.29032258064515,160.07225806451615,56.90322580645161,4552.258064516129,558.4761290322581,278.1522580645161,88.25806451612902,2620.614193548387,61.629677419354834,44.4774193548387,8.129032258064516,b1aae451-aa19-496b-9e69-0c70ea677d93,VFN - ROS : 2024-7-19,2024,1.Div,77.5
ROS,552843,Oliver Skolnik,4.0,LCB,4b3c66b4-e5e8-4a32-aec3-7349fa4386cd,81c40rn7lrb39qu0sam8kv6dw,5709,9799.29,3257.09,4558.57,1285.91,491.69,206.03,74,47.04,19,4239.43,331.47,146.39,47,2253.64,48.9,12.59,8,9268.902785076196,3080.79978980557,4311.837099316868,1216.3100367840252,465.07724645296895,194.878612716763,69.9947451392538,44.493956910141875,17.971623751970572,4009.9705727798214,313.52916447714136,138.4666316342617,44.456121912769305,2131.661586967945,46.253284287966366,11.90856542301629,7.566999474513925,b1aae451-aa19-496b-9e69-0c70ea677d93,VFN - ROS : 2024-7-19,2024,1.Div,95.15
ROS,599121,Kasper Nyegaard,14.0,LDM,6934032e-a399-4ab2-a166-160fcd01a664,4rhxehi019n7z1z1m7a39w1sk,3767,8236.57,2019.82,3856.37,1604.76,603.31,152.31,83,49.06,29,3773.19,401.13,93.74,48,1631.86,31.01,9.51,6,11807.13512078577,2895.414919033714,5528.112025484471,2300.425803026281,864.8457658614282,218.3366073798779,118.98062118396604,70.32758162994426,41.57154234138572,5408.873374037696,575.0204406689674,134.37642686487922,68.80807008229361,2339.2736925935756,44.452880276081764,13.63259888505442,8.601008760286701,b1aae451-aa19-496b-9e69-0c70ea677d93,VFN - ROS : 2024-7-19,2024,1.Div,62.78333333333333
ROS,599148,Andreas Maarup Hansen,18.0,RW,ab554a9f-7b65-471a-bbb1-b08968ce6468,cf6zq49y8v1ekw07e7yi3uac,5709,10573.31,3506.88,4868.51,1398.76,534.74,264.42,86,169.26,39,4483.67,344.44,87.68,46,2676.64,12.7,7.49,1,10001.028901734102,3317.0698896479244,4605.001576458224,1323.0520231213873,505.79716237519705,250.1082501313715,81.34524435102469,160.09879138202837,36.889122438255384,4240.991066736731,325.79716237519705,82.93431424067262,43.510246978455065,2531.766684182869,12.012611665790855,7.084603258013662,0.9458749343142406,b1aae451-aa19-496b-9e69-0c70ea677d93,VFN - ROS : 2024-7-19,2024,1.Div,95.15
