contestantId,team_name,id,eventId,typeId,periodId,timeMin,timeSec,playerName,playerId,outcome,x,y,timeStamp,lastModified,assist,qualifier,match_id,label,date,15,16,17,18,20,22,23,24,25,26,28,29,56,62,63,64,72,73,74,75,76,78,79,80,81,82,83,84,100,101,102,103,108,113,122,146,147,153,154,160,214,215,230,231,233,280,281,282,321,322,323,324,326,327,328,338,362,374,375,391,395,396,458,468,472,sequenceId,possessionId,keyPass,140,141,318,210,6,9,107
b2vft81kyjurzbmekvgrqwr64,Hobro,2702497101,421,13,2,46,19,O. Overgaard,1f510mbuc4i1mmshqlgim5u6s,1,82.2,39.1,2024-07-21T15:09:29.710,2024-07-23T16:29:26,1.0,"{""id"": 5112797349, ""qualifierId"": 154}",5wg9cdczccjfgs2hctntatt04,Hillerød vs Hobro,2024-07-21,NaN,NaN,NaN,true,true,true,NaN,NaN,NaN,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,42.4,13.9,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,true,94.1,45.8,NaN,NaN,NaN,NaN,0.09777816385030746,NaN,NaN,NaN,2,1,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,
aqtkb4mgrz8c6iqfufj6qjbv9,Hillerød,2702488037,471,16,1,42,16,A. Justinussen,uiyol728wan4mxco2foplknp,1,68.5,49.4,2024-07-21T14:45:12.838,2024-07-23T16:30:15,NaN,"{""id"": 5112752905, ""qualifierId"": 230, ""value"": ""99.5""}",5wg9cdczccjfgs2hctntatt04,Hillerød vs Hobro,2024-07-21,NaN,NaN,NaN,true,true,NaN,NaN,NaN,NaN,true,NaN,NaN,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,46.1,24.1,NaN,true,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,99.5,50.7,NaN,FREE_KICK_WON,582625,6463,0.027546226978302002,0.4028,NaN,NaN,1,3,NaN,NaN,1,2024-07-21 15:45:10.853,42:14.244,NaN,99.4,47.3,true,NaN,470,,,,,,,,,,
aqtkb4mgrz8c6iqfufj6qjbv9,Hillerød,2702499513,574,15,2,51,31,M. Bay,bop31qof3lon7u6rvmb68ktzp,1,76.8,54.8,2024-07-21T15:14:41.395,2024-07-23T17:29:59,NaN,"{""id"": 5112810499, ""qualifierId"": 103, ""value"": ""17.1""}",5wg9cdczccjfgs2hctntatt04,Hillerød vs Hobro,2024-07-21,NaN,NaN,NaN,true,true,true,NaN,NaN,NaN,NaN,NaN,NaN,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,54.4,17.1,NaN,NaN,NaN,98.6,50.2,NaN,NaN,NaN,NaN,true,NaN,NaN,488,NaN,NaN,NaN,0.035301800817251205,0.3427,NaN,NaN,2,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,,,,,,,,,,
b2vft81kyjurzbmekvgrqwr64,Hobro,2702504893,624,13,2,70,22,F. Dietz,ebd3uvtt54wkdsahc2127j02c,1,91.3,44.9,2024-07-21T15:33:31.783,2024-07-23T17:29:46,1.0,"{""id"": 5112841765, ""qualifierId"": 230, ""value"": ""99.0""}",5wg9cdczccjfgs2hctntatt04,Hillerød vs Hobro,2024-07-21,true,NaN,true,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,42.4,22.2,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,99.0,50.2,NaN,NaN,NaN,NaN,0.04637812077999115,NaN,NaN,NaN,3,2,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,
aqtkb4mgrz8c6iqfufj6qjbv9,Hillerød,2702501649,638,15,2,57,51,A. Justinussen,uiyol728wan4mxco2foplknp,1,86.2,57.9,2024-07-21T15:21:01.256,2024-07-23T17:29:55,1.0,"{""id"": 5112824393, ""qualifierId"": 231, ""value"": ""49.8""}",5wg9cdczccjfgs2hctntatt04,Hillerød vs Hobro,2024-07-21,NaN,NaN,true,NaN,true,true,NaN,NaN,NaN,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,54.7,19,true,NaN,NaN,88.4,57.4,NaN,true,NaN,NaN,NaN,99.1,49.8,537,NaN,NaN,NaN,0.041606102138757706,NaN,NaN,NaN,3,2,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,
b2vft81kyjurzbmekvgrqwr64,Hobro,2702506809,657,13,2,74,34,F. Mortensen,1xcf8y3egy8j0g2c6xkcx6o6h,1,95.3,27.4,2024-07-21T15:37:44.406,2024-07-23T17:29:53,1.0,"{""id"": 5112853817, ""qualifierId"": 62}",5wg9cdczccjfgs2hctntatt04,Hillerød vs Hobro,2024-07-21,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,true,Center,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,43.4,20.8,NaN,NaN,NaN,NaN,NaN,NaN,true,true,NaN,NaN,99.0,44.6,NaN,NaN,NaN,NaN,0.016974985599517822,NaN,NaN,NaN,3,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,
aqtkb4mgrz8c6iqfufj6qjbv9,Hillerød,2702502183,660,15,2,59,54,A. Justinussen,uiyol728wan4mxco2foplknp,1,74.4,42.2,2024-07-21T15:23:04.142,2024-07-21T15:24:23,NaN,"{""id"": 5112825943, ""qualifierId"": 321, ""value"": ""0.05723416432738304""}",5wg9cdczccjfgs2hctntatt04,Hillerød vs Hobro,2024-07-21,NaN,NaN,NaN,true,true,NaN,NaN,NaN,NaN,true,NaN,NaN,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,51.9,19,NaN,NaN,NaN,83.0,45.5,NaN,NaN,NaN,NaN,NaN,99.4,49.5,548,NaN,NaN,NaN,0.05723416432738304,NaN,NaN,NaN,1,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,,,,,,,,,,
aqtkb4mgrz8c6iqfufj6qjbv9,Hillerød,2702502803,682,15,2,62,25,A. Alicino,7l7f98nn8gohmdacsdb2labkk,1,69.4,51.9,2024-07-21T15:25:35.341,2024-07-23T17:29:44,NaN,"{""id"": 5112829901, ""qualifierId"": 458}",5wg9cdczccjfgs2hctntatt04,Hillerød vs Hobro,2024-07-21,NaN,NaN,NaN,true,true,true,NaN,NaN,NaN,NaN,NaN,NaN,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,50.5,19,NaN,NaN,NaN,71.5,51.8,NaN,NaN,NaN,NaN,true,99.5,49.8,571,NaN,NaN,NaN,0.00853849109262228,NaN,NaN,NaN,3,2,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,,,,,,,,,,
b2vft81kyjurzbmekvgrqwr64,Hobro,2702513241,762,15,2,87,40,F. Christensen,9b89pmcjk6re94bjp0ixeatjo,1,96.4,53.6,2024-07-21T15:50:49.921,2024-07-21T15:51:59,NaN,"{""id"": 5112890321, ""qualifierId"": 233, ""value"": ""874""}",5wg9cdczccjfgs2hctntatt04,Hillerød vs Hobro,2024-07-21,NaN,true,NaN,NaN,true,true,NaN,NaN,NaN,NaN,NaN,NaN,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,true,NaN,NaN,true,true,50.7,19,NaN,NaN,NaN,98.6,51.8,NaN,NaN,NaN,true,NaN,95.4,51.3,874,NaN,NaN,NaN,0.5435971021652222,NaN,NaN,NaN,2,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,,,,,,,,,,
b2vft81kyjurzbmekvgrqwr64,Hobro,2702513609,766,13,2,88,22,O. Dorph,ayhdul772mr22qoly04psb3f8,1,89.4,47.8,2024-07-21T15:51:31.781,2024-07-21T15:52:40,1.0,"{""id"": 5112892135, ""qualifierId"": 102, ""value"": ""40.2""}",5wg9cdczccjfgs2hctntatt04,Hillerød vs Hobro,2024-07-21,true,NaN,true,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,true,Center,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,40.2,6.9,NaN,NaN,NaN,91.9,45.7,true,true,NaN,NaN,NaN,98.1,49.3,NaN,NaN,NaN,NaN,0.031111175194382668,NaN,NaN,NaN,3,2,true,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,,,
aqtkb4mgrz8c6iqfufj6qjbv9,Hillerød,2702508379,800,15,2,77,43,M. Bruhn,8gqvlydur0v4cpmz1ozqkejh0,1,83.2,43.5,2024-07-21T15:40:53.360,2024-07-21T15:42:18,NaN,"{""id"": 5112863333, ""qualifierId"": 103, ""value"": ""19""}",5wg9cdczccjfgs2hctntatt04,Hillerød vs Hobro,2024-07-21,NaN,NaN,true,NaN,true,true,NaN,NaN,NaN,NaN,NaN,NaN,Center,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,NaN,true,NaN,NaN,NaN,NaN,51.4,19,NaN,NaN,NaN,84.7,44.2,NaN,NaN,NaN,NaN,NaN,98.9,48.6,686,NaN,NaN,NaN,0.049984101206064224,NaN,NaN,NaN,3,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,true,NaN,NaN,,,,,,,,,,
