team_name,id,eventId,typeId,timeMin,timeSec,outcome,x,y,playerName,sequenceId,possessionId,keyPass,assist,label,date,140.0,141.0,318.0,321.0,322.0,210.0,212.0,213.0,223.0,224.0,225.0,22.0,23.0,5.0,6.0,9.0,24.0,25.0,26.0,107.0
Hillerød,2707403129,614,1,65,24,1,44.8,22.1,M. Bay,213.0,130.0,NaN,NaN,OB vs Hillerød,2024-08-10,40.7,13.2,0.00001629,NaN,NaN,NaN,7.4,4.1,NaN,NaN,,NaN,,NaN,NaN,,NaN,NaN,,NaN
OB,2707405291,615,1,67,49,1,64.2,75.7,J. Bonde,220.0,133.0,NaN,NaN,OB vs Hillerød,2024-08-10,62.5,90.2,0.00022883,NaN,NaN,NaN,10.0,1.7,NaN,NaN,,NaN,,NaN,NaN,,NaN,NaN,,NaN
Hillerød,2707403251,615,1,65,30,1,67.7,5.3,S. Opoku,213.0,130.0,NaN,NaN,OB vs Hillerød,2024-08-10,83.2,23.6,0.004089,NaN,NaN,NaN,20.5,0.7,NaN,NaN,,NaN,,NaN,NaN,,NaN,NaN,,NaN
Hillerød,2707403259,616,1,65,34,1,79.4,18.9,A. Justinussen,213.0,130.0,1.0,NaN,OB vs Hillerød,2024-08-10,77.6,32.1,0.00523378,NaN,NaN,15,9.2,1.8,NaN,NaN,,NaN,,NaN,NaN,,NaN,NaN,,NaN
OB,2707405305,616,1,67,50,1,62.5,90.2,N. Mickelson,220.0,133.0,NaN,NaN,OB vs Hillerød,2024-08-10,54.0,83.0,0.00010986,NaN,NaN,NaN,10.2,3.6,NaN,NaN,,NaN,,NaN,NaN,,NaN,NaN,,NaN
OB,2707405871,629,5,68,37,0,100.8,58.5,L. Owusu,NaN,NaN,NaN,NaN,OB vs Hillerød,2024-08-10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,NaN,,NaN,NaN,,NaN
Hillerød,2707403301,617,15,65,35,1,78.0,31.6,M. Bay,213.0,130.0,NaN,NaN,OB vs Hillerød,2024-08-10,NaN,NaN,NaN,0.020723823457956314,0.0,NaN,NaN,NaN,NaN,NaN,,true,,NaN,NaN,,NaN,NaN,,NaN
OB,2707405329,617,1,67,51,1,54.0,83.0,J. Bonde,220.0,133.0,NaN,NaN,OB vs Hillerød,2024-08-10,62.9,71.5,0.00043662,NaN,NaN,NaN,12.2,5.6,NaN,NaN,,NaN,,NaN,NaN,,NaN,NaN,,NaN
Hillerød,2707403309,618,6,65,36,1,84.0,40.8,M. Bay,NaN,130.0,NaN,NaN,OB vs Hillerød,2024-08-10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,NaN,,NaN,NaN,,NaN
OB,2707405339,618,1,67,53,1,62.9,71.5,M. Ejdum,220.0,133.0,NaN,NaN,OB vs Hillerød,2024-08-10,65.8,86.3,0.00039417,NaN,NaN,NaN,10.5,1.3,NaN,NaN,,NaN,,NaN,NaN,,NaN,NaN,,NaN
Hillerød,2707403929,619,1,66,16,0,99.5,0.5,A. Justinussen,214.0,130.0,NaN,NaN,OB vs Hillerød,2024-08-10,82.3,70.2,NaN,NaN,NaN,NaN,50.7,1.9,NaN,true,,NaN,,NaN,true,,NaN,NaN,,NaN
OB,2707405353,619,1,67,54,1,65.8,86.3,N. Mickelson,220.0,133.0,NaN,NaN,OB vs Hillerød,2024-08-10,65.7,70.5,0.00076666,NaN,NaN,NaN,10.7,4.7,NaN,NaN,,NaN,,NaN,NaN,,NaN,NaN,,NaN
OB,2707405363,620,1,67,55,0,65.7,70.5,M. Ejdum,220.0,133.0,NaN,NaN,OB vs Hillerød,2024-08-10,81.2,81.7,NaN,NaN,NaN,NaN,18.0,0.4,NaN,NaN,,NaN,,NaN,NaN,,NaN,NaN,,NaN
Hillerød,2707404007,620,1,66,22,1,67.6,90.0,B. Kücükylidiz,215.0,130.0,NaN,NaN,OB vs Hillerød,2024-08-10,42.9,84.2,0.00004535,NaN,NaN,NaN,26.2,3.3,NaN,NaN,,NaN,,NaN,NaN,,NaN,NaN,,NaN
Hillerød,2707404035,621,1,66,23,1,42.8,84.4,L. Bøje-Larsen,215.0,130.0,NaN,NaN,OB vs Hillerød,2024-08-10,22.4,63.7,0.00000406,NaN,NaN,NaN,25.6,3.7,NaN,NaN,,NaN,,NaN,NaN,,NaN,NaN,,NaN
OB,2707405447,621,1,68,1,1,35.1,56.6,B. Paulsen,222.0,135.0,NaN,NaN,OB vs Hillerød,2024-08-10,49.2,53.3,0.00008301,NaN,NaN,NaN,15.0,6.1,NaN,NaN,,NaN,,NaN,NaN,,NaN,NaN,,NaN
OB,2707405495,622,1,68,3,1,46.7,49.3,A. Manneh,222.0,135.0,NaN,NaN,OB vs Hillerød,2024-08-10,50.3,21.6,0.00008593,NaN,NaN,NaN,19.2,4.9,NaN,NaN,,NaN,,NaN,NaN,,NaN,NaN,,NaN
Hillerød,2707404107,622,1,66,26,1,23.5,65.2,A. Kappenberger,215.0,130.0,NaN,NaN,OB vs Hillerød,2024-08-10,29.3,91.8,0.00000328,NaN,NaN,NaN,19.1,1.2,NaN,NaN,,NaN,,NaN,NaN,,NaN,NaN,,NaN
Hillerød,2707404185,623,1,66,32,1,30.1,90.3,L. Bøje-Larsen,215.0,130.0,NaN,NaN,OB vs Hillerød,2024-08-10,34.1,77.0,0.00000722,NaN,NaN,NaN,10.0,5.1,NaN,NaN,,NaN,,NaN,NaN,,NaN,NaN,,NaN
OB,2707405601,623,1,68,7,1,50.3,21.6,L. Owusu,222.0,135.0,NaN,NaN,OB vs Hillerød,2024-08-10,84.3,13.4,0.00186081,NaN,NaN,NaN,36.1,6.1,NaN,NaN,,NaN,,NaN,NaN,,NaN,NaN,,NaN
Hillerød,2707404297,624,1,66,36,1,35.2,67.9,B. Kücükylidiz,215.0,130.0,NaN,NaN,OB vs Hillerød,2024-08-10,29.1,58.8,0.00000623,NaN,NaN,NaN,8.9,3.9,NaN,NaN,,NaN,,NaN,NaN,,NaN,NaN,,NaN
OB,2707405651,624,1,68,16,1,84.1,16.5,L. Deedson,222.0,135.0,NaN,NaN,OB vs Hillerød,2024-08-10,72.4,18.9,0.00135947,NaN,NaN,NaN,12.4,3.0,NaN,NaN,,NaN,,NaN,NaN,,NaN,NaN,,NaN
OB,2707405669,625,1,68,19,1,71.9,17.6,L. Owusu,222.0,135.0,NaN,NaN,OB vs Hillerød,2024-08-10,64.2,26.4,0.00065661,NaN,NaN,NaN,10.1,2.5,NaN,NaN,,NaN,,NaN,NaN,,NaN,NaN,,NaN
Hillerød,2707404339,625,1,66,44,1,31.4,51.8,J. Witt,215.0,130.0,NaN,NaN,OB vs Hillerød,2024-08-10,56.1,71.7,0.00017371,NaN,NaN,NaN,29.3,0.5,NaN,NaN,,NaN,,NaN,NaN,,NaN,NaN,,NaN
OB,2707405831,626,1,68,22,1,64.2,26.4,A. Manneh,222.0,135.0,NaN,NaN,OB vs Hillerød,2024-08-10,86.6,25.3,0.00751441,NaN,NaN,NaN,23.5,6.3,NaN,NaN,,NaN,,NaN,NaN,,NaN,NaN,,NaN
Hillerød,2707404359,626,1,66,47,1,55.6,74.8,M. Bay,215.0,130.0,NaN,NaN,OB vs Hillerød,2024-08-10,56.1,94.5,0.00008701,NaN,NaN,NaN,13.4,1.5,NaN,NaN,,NaN,,NaN,NaN,,NaN,NaN,,NaN
OB,2707405847,627,1,68,34,1,86.6,25.3,L. Deedson,223.0,135.0,1.0,NaN,OB vs Hillerød,2024-08-10,80.3,32.7,0.00952776,NaN,NaN,13,8.3,2.5,NaN,NaN,,NaN,,NaN,NaN,,NaN,NaN,,NaN
Hillerød,2707404415,627,1,66,48,0,55.8,94.2,L. Bøje-Larsen,215.0,130.0,NaN,NaN,OB vs Hillerød,2024-08-10,68.8,90.3,NaN,NaN,NaN,NaN,13.9,6.1,NaN,NaN,,NaN,,NaN,NaN,,NaN,NaN,,NaN
OB,2707405861,628,13,68,36,1,79.3,34.4,L. Owusu,223.0,135.0,NaN,NaN,OB vs Hillerød,2024-08-10,NaN,NaN,NaN,0.03513604402542114,0.0,NaN,NaN,NaN,NaN,NaN,,true,,NaN,NaN,,NaN,NaN,,NaN
Hillerød,2707404433,628,1,66,51,1,66.6,91.2,A. Justinussen,216.0,130.0,NaN,NaN,OB vs Hillerød,2024-08-10,57.9,93.2,0.00011071,NaN,NaN,NaN,9.2,3.0,NaN,NaN,,NaN,,NaN,NaN,,NaN,NaN,,NaN
Hillerød,2707404485,629,1,66,52,1,57.9,93.2,L. Bøje-Larsen,216.0,130.0,NaN,NaN,OB vs Hillerød,2024-08-10,71.0,80.2,0.00078013,NaN,NaN,NaN,16.4,5.7,NaN,NaN,,NaN,,NaN,NaN,,NaN,NaN,,NaN
OB,2707406453,630,44,69,27,1,35.8,72.9,M. Fenger,NaN,NaN,NaN,NaN,OB vs Hillerød,2024-08-10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,NaN,,NaN,NaN,,NaN
Hillerød,2707404495,630,44,66,54,1,74.5,80.2,M. Bruhn,216.0,130.0,NaN,NaN,OB vs Hillerød,2024-08-10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,NaN,,NaN,NaN,,NaN
OB,2707406469,631,1,69,27,0,32.0,70.9,M. Fenger,NaN,NaN,NaN,NaN,OB vs Hillerød,2024-08-10,52.7,78.7,NaN,NaN,NaN,NaN,22.4,0.2,NaN,NaN,,NaN,,NaN,NaN,,NaN,NaN,,NaN
Hillerød,2707404545,631,1,66,54,0,70.9,80.2,M. Bruhn,216.0,130.0,NaN,NaN,OB vs Hillerød,2024-08-10,82.4,89.1,NaN,NaN,NaN,NaN,13.5,0.5,NaN,NaN,,NaN,,NaN,NaN,,NaN,NaN,,NaN
OB,2707406507,632,49,69,31,1,62.4,84.4,L. Kjerrumgaard,226.0,137.0,NaN,NaN,OB vs Hillerød,2024-08-10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,NaN,,NaN,NaN,,NaN
Hillerød,2707404605,632,49,67,1,1,36.2,88.1,J. Witt,218.0,132.0,NaN,NaN,OB vs Hillerød,2024-08-10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,NaN,,NaN,NaN,,NaN
