player_matchName,player_playerId,contestantId,team_name,duelLost,aerialLost,player_position,player_positionSide,player_subPosition,successfulOpenPlayPass,totalContest,duelWon,penAreaEntries,accurateBackZonePass,possWonDef3rd,wonContest,accurateFwdZonePass,openPlayPass,totalBackZonePass,minsPlayed,fwdPass,finalThirdEntries,ballRecovery,totalFwdZonePass,successfulFinalThirdPasses,totalFinalThirdPasses,attAssistOpenplay,aerialWon,totalAttAssist,possWonMid3rd,interception,totalCrossNocorner,interceptionWon,attOpenplay,touchesInOppBox,attemptsIbox,totalThroughBall,possWonAtt3rd,accurateCrossNocorner,bigChanceCreated,accurateThroughBall,totalLayoffs,accurateLayoffs,totalFastbreak,shotFastbreak,formationUsed,label,match_id,date,totalLongBalls,accurateCrossNocorner,totalCross,possLostAll,goals,attemptsConcededIbox,goalAssist
O. Buch,y4dl1rer075c9wz6zhx7skbt,6wwwud48qahpwrfxs20334qk5,Fredericia,4,1,Striker,Centre/Right,NaN,8,1,3,2,3,1,1,6,13,4,62,5,NaN,1,10,3,7,NaN,NaN,NaN,NaN,NaN,1,NaN,1,4,2,NaN,NaN,1,NaN,NaN,NaN,NaN,,,433,Fredericia vs Hvidovre,69ytnflzsrucnva2zz5hpqtqs,2024-08-25,2,1,1,7,NaN,4,NaN
D. Haarbo,2zt1yrfv8m2mhpo720n0uydck,6wwwud48qahpwrfxs20334qk5,Fredericia,NaN,NaN,Substitute,NaN,Midfielder,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,433,Fredericia vs Hvidovre,69ytnflzsrucnva2zz5hpqtqs,2024-08-25,NaN,NaN,NaN,NaN,NaN,NaN,NaN
J. Brinch,6yev7nszmpylpqncom2gdkul1,6wwwud48qahpwrfxs20334qk5,Fredericia,NaN,NaN,Substitute,NaN,Defender,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,433,Fredericia vs Hvidovre,69ytnflzsrucnva2zz5hpqtqs,2024-08-25,NaN,NaN,NaN,NaN,NaN,NaN,NaN
M. Eriksen,c8btmt9x3j3yhm8sa4tgch34k,6wwwud48qahpwrfxs20334qk5,Fredericia,NaN,NaN,Substitute,NaN,Goalkeeper,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,433,Fredericia vs Hvidovre,69ytnflzsrucnva2zz5hpqtqs,2024-08-25,NaN,NaN,NaN,NaN,NaN,NaN,NaN
P. Egelund,6lb4k3g75nzgi8bp1y1mzxkru,6wwwud48qahpwrfxs20334qk5,Fredericia,NaN,NaN,Substitute,NaN,Attacker,1,NaN,NaN,NaN,1,NaN,NaN,NaN,2,1,14,NaN,NaN,1,1,NaN,1,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,433,Fredericia vs Hvidovre,69ytnflzsrucnva2zz5hpqtqs,2024-08-25,NaN,NaN,NaN,1,NaN,1,NaN
J. Lindekilde,23sc7wc7my7wes6cuaxw1v0no,6wwwud48qahpwrfxs20334qk5,Fredericia,4,NaN,Substitute,NaN,Defender,11,1,NaN,2,1,NaN,NaN,10,13,1,28,8,2,NaN,13,7,7,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,433,Fredericia vs Hvidovre,69ytnflzsrucnva2zz5hpqtqs,2024-08-25,NaN,NaN,1,6,NaN,1,NaN
J. Kudsk,b1kyjkhaaiw32cb4bubbpm7tg,6wwwud48qahpwrfxs20334qk5,Fredericia,NaN,NaN,Substitute,NaN,Defender,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,433,Fredericia vs Hvidovre,69ytnflzsrucnva2zz5hpqtqs,2024-08-25,NaN,NaN,NaN,NaN,NaN,NaN,NaN
D. Thøgersen,bvc80w5ai425plu54nhgx5fxl,6wwwud48qahpwrfxs20334qk5,Fredericia,1,NaN,Substitute,NaN,Defender,6,1,2,NaN,1,2,1,5,14,6,14,10,2,2,8,4,6,NaN,1,NaN,NaN,NaN,NaN,NaN,1,2,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,433,Fredericia vs Hvidovre,69ytnflzsrucnva2zz5hpqtqs,2024-08-25,1,NaN,NaN,8,NaN,1,NaN
W. Madsen,7ztdirfvd9d0x2yw1v051xzbo,6wwwud48qahpwrfxs20334qk5,Fredericia,9,1,Substitute,NaN,Midfielder,44,1,5,6,25,2,NaN,25,57,27,78,15,6,5,38,9,15,1,3,1,3,NaN,1,NaN,NaN,1,NaN,NaN,NaN,NaN,1,NaN,1,1,,,433,Fredericia vs Hvidovre,69ytnflzsrucnva2zz5hpqtqs,2024-08-25,4,NaN,4,19,NaN,4,NaN
E. Dall,91xtn2wlot8g8ue89zn4iiyqy,6wwwud48qahpwrfxs20334qk5,Fredericia,2,NaN,Substitute,NaN,Attacker,6,2,3,NaN,1,NaN,1,5,6,1,28,1,1,2,5,2,2,NaN,1,NaN,2,NaN,NaN,NaN,1,2,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,433,Fredericia vs Hvidovre,69ytnflzsrucnva2zz5hpqtqs,2024-08-25,NaN,NaN,NaN,1,NaN,1,NaN
F. Đukić,d9hh01mit4geyadol3gmzco9,8gxd9ry2580pu1b1dd5ny9ymy,Hvidovre,NaN,NaN,Goalkeeper,Centre,NaN,7,NaN,NaN,NaN,12,NaN,NaN,6,21,18,90,27,8,12,20,2,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,4231,Fredericia vs Hvidovre,69ytnflzsrucnva2zz5hpqtqs,2024-08-25,28,NaN,NaN,20,NaN,10,NaN
N. Clausen,6dzg820946z4848whaa6ny2nd,8gxd9ry2580pu1b1dd5ny9ymy,Hvidovre,1,NaN,Defender,Left,NaN,26,NaN,5,1,14,3,NaN,14,31,16,90,12,5,4,17,11,12,NaN,1,1,NaN,1,1,1,NaN,1,1,NaN,1,1,1,NaN,NaN,NaN,,,4231,Fredericia vs Hvidovre,69ytnflzsrucnva2zz5hpqtqs,2024-08-25,5,1,1,9,NaN,10,1
D. Stenderup,a30gduuv9d1s4pkthgu2jhyol,8gxd9ry2580pu1b1dd5ny9ymy,Hvidovre,2,1,Defender,Left/Centre,NaN,39,2,4,1,31,2,2,12,43,33,90,18,6,4,15,6,8,NaN,NaN,NaN,2,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,4231,Fredericia vs Hvidovre,69ytnflzsrucnva2zz5hpqtqs,2024-08-25,12,NaN,NaN,5,NaN,10,NaN
M. Olsen,dshwz1df0rbe0fztksawvd0wl,8gxd9ry2580pu1b1dd5ny9ymy,Hvidovre,2,1,Defender,Centre/Right,NaN,33,NaN,1,NaN,22,3,NaN,11,37,22,90,15,8,4,16,4,8,NaN,1,NaN,1,3,NaN,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,4231,Fredericia vs Hvidovre,69ytnflzsrucnva2zz5hpqtqs,2024-08-25,8,NaN,NaN,6,NaN,10,NaN
A. Iljazovski,bfvdr7ckiersz26ya2kq9f1g4,8gxd9ry2580pu1b1dd5ny9ymy,Hvidovre,6,1,Defender,Right,NaN,34,2,6,4,17,6,1,17,47,21,90,23,10,9,27,10,17,NaN,1,NaN,3,6,1,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,4231,Fredericia vs Hvidovre,69ytnflzsrucnva2zz5hpqtqs,2024-08-25,6,NaN,1,21,NaN,10,NaN
M. Kaalund,6uwvbagahvoavs630k8uksxjp,8gxd9ry2580pu1b1dd5ny9ymy,Hvidovre,7,NaN,Defensive Midfielder,Left/Centre,NaN,32,3,4,3,15,1,1,19,36,16,80,15,6,3,24,10,11,NaN,1,NaN,2,NaN,2,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,4231,Fredericia vs Hvidovre,69ytnflzsrucnva2zz5hpqtqs,2024-08-25,2,NaN,2,9,NaN,7,NaN
M. Fredslund,45dqseup0cmujyl4nprr29y0a,8gxd9ry2580pu1b1dd5ny9ymy,Hvidovre,3,NaN,Defensive Midfielder,Centre/Right,NaN,13,1,2,1,4,NaN,NaN,10,16,5,33,6,5,1,12,9,10,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,4231,Fredericia vs Hvidovre,69ytnflzsrucnva2zz5hpqtqs,2024-08-25,4,NaN,NaN,5,NaN,NaN,NaN
J. Singh,2cup1vjw8n43kbzzxfflnmplg,8gxd9ry2580pu1b1dd5ny9ymy,Hvidovre,6,NaN,Attacking Midfielder,Left,NaN,14,6,4,3,3,NaN,2,11,17,5,68,5,2,2,13,9,10,1,NaN,1,2,2,1,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,4231,Fredericia vs Hvidovre,69ytnflzsrucnva2zz5hpqtqs,2024-08-25,2,NaN,1,13,NaN,5,NaN
C. Jakobsen,9r07ooissj5mz15g87x5rmbx1,8gxd9ry2580pu1b1dd5ny9ymy,Hvidovre,4,NaN,Attacking Midfielder,Centre,NaN,27,1,9,4,12,3,1,16,37,12,90,8,2,3,27,9,18,1,1,1,NaN,1,1,1,1,3,1,NaN,NaN,NaN,NaN,NaN,3,3,,,4231,Fredericia vs Hvidovre,69ytnflzsrucnva2zz5hpqtqs,2024-08-25,4,NaN,1,16,1,10,NaN
A. Smed,dncrhma6gwcn6pxiu7hfc6qz8,8gxd9ry2580pu1b1dd5ny9ymy,Hvidovre,2,1,Attacking Midfielder,Right,NaN,29,NaN,5,5,10,3,NaN,20,40,15,90,12,2,3,28,9,13,1,NaN,1,NaN,1,2,1,1,4,1,1,NaN,1,NaN,1,3,3,,,4231,Fredericia vs Hvidovre,69ytnflzsrucnva2zz5hpqtqs,2024-08-25,1,1,3,16,NaN,10,NaN
F. Høgh,9tt9eo9bsff7dp7aqjal1obo4,8gxd9ry2580pu1b1dd5ny9ymy,Hvidovre,8,2,Striker,Centre,NaN,12,4,8,NaN,5,NaN,2,8,14,5,90,4,2,5,10,4,6,2,2,2,4,NaN,NaN,NaN,NaN,6,NaN,NaN,1,NaN,1,NaN,2,2,,,4231,Fredericia vs Hvidovre,69ytnflzsrucnva2zz5hpqtqs,2024-08-25,NaN,NaN,NaN,10,NaN,10,NaN
M. Andreasen,21i8eq6dgpzydeyrame6xp05w,8gxd9ry2580pu1b1dd5ny9ymy,Hvidovre,5,4,Substitute,NaN,Attacker,6,NaN,1,NaN,2,NaN,NaN,4,10,2,22,3,1,2,8,2,4,NaN,1,NaN,1,NaN,NaN,NaN,1,1,1,NaN,1,NaN,NaN,NaN,NaN,NaN,,,4231,Fredericia vs Hvidovre,69ytnflzsrucnva2zz5hpqtqs,2024-08-25,NaN,NaN,NaN,6,NaN,5,NaN
M. Papuga,dwpns7gcg4s1c35df5td9ow7o,8gxd9ry2580pu1b1dd5ny9ymy,Hvidovre,1,NaN,Substitute,NaN,Midfielder,6,NaN,NaN,NaN,2,NaN,NaN,4,8,2,10,2,2,2,6,3,5,NaN,NaN,NaN,1,NaN,NaN,NaN,1,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,,,4231,Fredericia vs Hvidovre,69ytnflzsrucnva2zz5hpqtqs,2024-08-25,1,NaN,NaN,2,NaN,3,NaN
N. Jungvig,3pk6hii2s8tbv2zux8mvbapec,8gxd9ry2580pu1b1dd5ny9ymy,Hvidovre,NaN,NaN,Substitute,NaN,Defender,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,4231,Fredericia vs Hvidovre,69ytnflzsrucnva2zz5hpqtqs,2024-08-25,NaN,NaN,NaN,NaN,NaN,NaN,NaN
S. Makienok,5e5fuj7mbkpvf0bug32ixxc5x,8gxd9ry2580pu1b1dd5ny9ymy,Hvidovre,NaN,NaN,Substitute,NaN,Attacker,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,4231,Fredericia vs Hvidovre,69ytnflzsrucnva2zz5hpqtqs,2024-08-25,NaN,NaN,NaN,NaN,NaN,NaN,NaN
B. Meibom,37rzipex1y0nhv8o2dr7h2bys,8gxd9ry2580pu1b1dd5ny9ymy,Hvidovre,NaN,NaN,Substitute,NaN,Defender,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,4231,Fredericia vs Hvidovre,69ytnflzsrucnva2zz5hpqtqs,2024-08-25,NaN,NaN,NaN,NaN,NaN,NaN,NaN
A. Ravn,4qz1pnlx3d0m5wkhpocl0euj8,8gxd9ry2580pu1b1dd5ny9ymy,Hvidovre,NaN,NaN,Substitute,NaN,Goalkeeper,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,4231,Fredericia vs Hvidovre,69ytnflzsrucnva2zz5hpqtqs,2024-08-25,NaN,NaN,NaN,NaN,NaN,NaN,NaN
E. Rusborg,expisj0yt6l9v1kof4or2ak4q,8gxd9ry2580pu1b1dd5ny9ymy,Hvidovre,NaN,NaN,Substitute,NaN,Defender,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,4231,Fredericia vs Hvidovre,69ytnflzsrucnva2zz5hpqtqs,2024-08-25,NaN,NaN,NaN,NaN,NaN,NaN,NaN
M. Spelmann,615e0bjcd0tyge047sy43y5sl,8gxd9ry2580pu1b1dd5ny9ymy,Hvidovre,4,NaN,Substitute,NaN,Midfielder,20,NaN,4,NaN,8,1,NaN,14,21,8,57,7,4,5,15,9,9,NaN,NaN,NaN,4,NaN,NaN,NaN,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,4231,Fredericia vs Hvidovre,69ytnflzsrucnva2zz5hpqtqs,2024-08-25,NaN,NaN,NaN,2,NaN,10,NaN
V. Myhra,4clmd8g8jogdfvauhijd7n55h,dbl7ir1qugqz8nvp1vzn8im50,OB,NaN,NaN,Goalkeeper,Centre,NaN,15,NaN,1,NaN,16,NaN,NaN,1,17,16,90,9,3,7,5,1,3,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,433,OB vs Vendsyssel,6aq2cnsvqhsfyz7s6ekjczjmc,2024-08-30,6,NaN,NaN,4,NaN,7,NaN
N. Mickelson,1mml4inucvyomv1dcog3c1pt5,dbl7ir1qugqz8nvp1vzn8im50,OB,4,NaN,Defender,Left,NaN,17,5,8,15,6,1,4,16,21,8,89,8,3,4,28,3,5,2,NaN,2,3,1,9,1,NaN,1,NaN,NaN,NaN,4,NaN,NaN,NaN,NaN,,,433,OB vs Vendsyssel,6aq2cnsvqhsfyz7s6ekjczjmc,2024-08-30,NaN,4,14,21,NaN,5,NaN
J. Gomez,ev2s21ogvpjtata4fndi868ve,dbl7ir1qugqz8nvp1vzn8im50,OB,6,2,Defender,Left/Centre,NaN,60,2,4,1,34,2,1,27,66,37,90,15,8,3,31,10,11,NaN,3,NaN,1,NaN,1,NaN,NaN,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,433,OB vs Vendsyssel,6aq2cnsvqhsfyz7s6ekjczjmc,2024-08-30,11,NaN,1,8,NaN,7,NaN
B. Paulsen,dqtarwrqvkopmzbt2ovp2dln9,dbl7ir1qugqz8nvp1vzn8im50,OB,5,NaN,Defender,Centre/Right,NaN,63,2,5,1,44,1,NaN,25,73,49,90,31,8,3,30,7,12,1,3,1,1,NaN,NaN,NaN,NaN,2,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,,,433,OB vs Vendsyssel,6aq2cnsvqhsfyz7s6ekjczjmc,2024-08-30,6,NaN,NaN,13,NaN,7,NaN
L. Owusu,e42jh6bbwn4aybdnysonrvutx,dbl7ir1qugqz8nvp1vzn8im50,OB,6,NaN,Defender,Right,NaN,34,4,5,5,21,1,NaN,13,45,24,68,16,8,3,23,5,11,1,2,1,2,NaN,2,NaN,2,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,433,OB vs Vendsyssel,6aq2cnsvqhsfyz7s6ekjczjmc,2024-08-30,4,NaN,2,22,NaN,3,NaN
M. Ejdum,2z8u8kyv91shp0la8alkn6kus,dbl7ir1qugqz8nvp1vzn8im50,OB,5,1,Midfielder,Left/Centre,NaN,32,4,6,4,7,1,1,25,41,7,89,12,5,5,34,13,20,1,1,1,4,1,NaN,1,1,1,1,1,NaN,NaN,NaN,NaN,3,2,,,433,OB vs Vendsyssel,6aq2cnsvqhsfyz7s6ekjczjmc,2024-08-30,2,NaN,NaN,17,NaN,6,NaN
A. Manneh,97xbmht3t4t1p9iu6598oq7l5,dbl7ir1qugqz8nvp1vzn8im50,OB,4,1,Midfielder,Centre,NaN,59,2,3,11,33,3,1,28,70,33,69,20,13,5,44,9,19,1,1,1,2,1,2,1,NaN,NaN,NaN,4,NaN,NaN,1,1,NaN,NaN,,,433,OB vs Vendsyssel,6aq2cnsvqhsfyz7s6ekjczjmc,2024-08-30,12,NaN,4,19,NaN,3,NaN
J. Bonde,e9o7q10wnhex4e8eo47mobbvt,dbl7ir1qugqz8nvp1vzn8im50,OB,3,1,Midfielder,Centre/Right,NaN,40,1,7,1,18,4,1,25,48,21,90,10,3,6,31,10,11,NaN,NaN,NaN,1,1,1,1,NaN,1,NaN,NaN,1,NaN,NaN,NaN,1,1,,,433,OB vs Vendsyssel,6aq2cnsvqhsfyz7s6ekjczjmc,2024-08-30,2,NaN,1,11,NaN,7,NaN
M. Fenger,80s55a7uw8kypoikefwhtdm5m,dbl7ir1qugqz8nvp1vzn8im50,OB,11,9,Striker,Left/Centre,NaN,9,1,4,1,4,1,1,5,15,7,90,4,2,4,8,5,7,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,1,NaN,NaN,1,NaN,NaN,NaN,1,1,,,433,OB vs Vendsyssel,6aq2cnsvqhsfyz7s6ekjczjmc,2024-08-30,2,NaN,NaN,10,NaN,7,NaN
L. Kjerrumgaard,axyrfq1u8nwcj2ss5498u8qhg,dbl7ir1qugqz8nvp1vzn8im50,OB,7,2,Striker,Centre,NaN,7,4,4,NaN,3,NaN,1,4,13,4,90,5,3,2,9,3,8,2,1,2,1,1,NaN,1,5,13,6,1,1,NaN,1,1,1,1,,,433,OB vs Vendsyssel,6aq2cnsvqhsfyz7s6ekjczjmc,2024-08-30,1,NaN,NaN,14,2,7,NaN
L. Deedson,5wmik73cqursg7sv3w14ue5pm,dbl7ir1qugqz8nvp1vzn8im50,OB,4,NaN,Striker,Centre/Right,NaN,11,2,3,4,4,1,1,7,15,5,68,4,NaN,4,11,6,9,NaN,NaN,1,3,NaN,1,NaN,4,7,5,2,NaN,NaN,1,NaN,NaN,NaN,,,433,OB vs Vendsyssel,6aq2cnsvqhsfyz7s6ekjczjmc,2024-08-30,1,NaN,1,11,NaN,3,1
G. Grubbe,2uw6m0yavlvkkiob73hoywb56,dbl7ir1qugqz8nvp1vzn8im50,OB,1,NaN,Substitute,NaN,Defender,7,NaN,1,1,3,1,NaN,4,10,4,22,4,2,3,7,3,5,NaN,NaN,NaN,1,NaN,1,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,,,433,OB vs Vendsyssel,6aq2cnsvqhsfyz7s6ekjczjmc,2024-08-30,2,NaN,1,5,NaN,4,NaN
E. Hansborg-Sørensen,ewh6t7yo6clfewu89uznll9uc,dbl7ir1qugqz8nvp1vzn8im50,OB,NaN,NaN,Substitute,NaN,Attacker,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,433,OB vs Vendsyssel,6aq2cnsvqhsfyz7s6ekjczjmc,2024-08-30,NaN,NaN,NaN,NaN,NaN,NaN,NaN
