x,y,playerName,teamName,pass_receiver,period,gameClock,label,date,bypassed_opponents,bypassed_defenders,closest_opponent_distance
32.5,68.6,T. Stagaard,Esbjerg,J. Meyer,1,263.0,B 93 vs Esbjerg,2024-10-04,0,0,4.99
29.3,41.0,J. Meyer,Esbjerg,D. Gadegaard,1,265.0,B 93 vs Esbjerg,2024-10-04,0,0,10.07
19.4,48.5,D. Gadegaard,Esbjerg,Y. Bourhane,1,271.0,B 93 vs Esbjerg,2024-10-04,2,0,10.53
37.1,37.0,Y. Bourhane,Esbjerg,A. Lausen,1,273.0,B 93 vs Esbjerg,2024-10-04,3,0,2.67
64.4,60.3,J. Voldby,B 93,O. Jakobsen,1,279.0,B 93 vs Esbjerg,2024-10-04,1,1,1.83
26.4,51.2,J. Meyer,Esbjerg,T. Stagaard,1,280.0,B 93 vs Esbjerg,2024-10-04,-1,0,3.18
82.1,102.0,O. Addo,B 93,G. Hojbjerg,1,289.0,B 93 vs Esbjerg,2024-10-04,-1,0,8.38
70.4,88.0,G. Hojbjerg,B 93,M. Mouritz,1,290.0,B 93 vs Esbjerg,2024-10-04,2,0,5.87
63.3,71.1,M. Mouritz,B 93,G. Hojbjerg,1,292.0,B 93 vs Esbjerg,2024-10-04,-1,0,2.42
66.6,91.4,G. Hojbjerg,B 93,O. Addo,1,294.0,B 93 vs Esbjerg,2024-10-04,1,0,1.34
69.6,101.9,M. Mouritz,B 93,J. Okore,1,304.0,B 93 vs Esbjerg,2024-10-04,0,0,5.91
46.6,85.0,J. Okore,B 93,J. Egeris,1,309.0,B 93 vs Esbjerg,2024-10-04,0,0,15.64
46.7,50.7,J. Egeris,B 93,M. Mouritz,1,312.0,B 93 vs Esbjerg,2024-10-04,0,0,10.78
55.5,77.9,M. Mouritz,B 93,J. Okore,1,318.0,B 93 vs Esbjerg,2024-10-04,0,0,5.83
40.9,68.4,J. Okore,B 93,M. Mouritz,1,320.0,B 93 vs Esbjerg,2024-10-04,0,0,11.1
43.2,68.8,M. Mouritz,B 93,J. Egeris,1,322.0,B 93 vs Esbjerg,2024-10-04,-1,0,8.87
45.0,33.1,J. Egeris,B 93,L. Henriksen,1,325.0,B 93 vs Esbjerg,2024-10-04,0,0,8.61
55.7,15.2,L. Henriksen,B 93,O. Jakobsen,1,327.0,B 93 vs Esbjerg,2024-10-04,4,1,5.68
60.5,23.0,O. Jakobsen,B 93,N. Morberg,1,328.0,B 93 vs Esbjerg,2024-10-04,-1,0,4.15
38.3,70.7,N. Strunck,Esbjerg,L. From,1,331.0,B 93 vs Esbjerg,2024-10-04,2,1,2.58
50.2,62.0,L. From,Esbjerg,N. Strunck,1,333.0,B 93 vs Esbjerg,2024-10-04,-4,-2,2.54
60.8,82.1,N. Strunck,Esbjerg,L. Montano,1,335.0,B 93 vs Esbjerg,2024-10-04,0,0,5.55
79.7,101.6,L. Montano,Esbjerg,Y. Bourhane,1,344.0,B 93 vs Esbjerg,2024-10-04,0,0,10.26
67.0,86.0,Y. Bourhane,Esbjerg,T. Stagaard,1,345.0,B 93 vs Esbjerg,2024-10-04,0,0,7.1
49.4,92.4,T. Stagaard,Esbjerg,Y. Bourhane,1,347.0,B 93 vs Esbjerg,2024-10-04,1,0,9.14
25.5,27.1,O. Jakobsen,B 93,O. Addo,1,357.0,B 93 vs Esbjerg,2024-10-04,2,0,1.81
44.2,71.6,T. Stagaard,Esbjerg,L. Montano,1,362.0,B 93 vs Esbjerg,2024-10-04,0,0,3.61
60.6,86.4,L. Montano,Esbjerg,T. Stagaard,1,364.0,B 93 vs Esbjerg,2024-10-04,0,0,12.92
39.6,74.0,T. Stagaard,Esbjerg,D. Gadegaard,1,366.0,B 93 vs Esbjerg,2024-10-04,0,0,5.98
21.9,70.5,D. Gadegaard,Esbjerg,T. Stagaard,1,371.0,B 93 vs Esbjerg,2024-10-04,0,0,12.46
55.5,11.0,J. Voldby,B 93,O. Jakobsen,1,376.0,B 93 vs Esbjerg,2024-10-04,2,0,2.66
61.7,11.3,O. Jakobsen,B 93,N. Morberg,1,378.0,B 93 vs Esbjerg,2024-10-04,1,1,1.06
66.2,20.7,N. Morberg,B 93,M. Mouritz,1,388.0,B 93 vs Esbjerg,2024-10-04,-1,0,7.22
56.3,13.7,M. Mouritz,B 93,J. Egeris,1,391.0,B 93 vs Esbjerg,2024-10-04,0,0,7.56
44.1,25.3,J. Egeris,B 93,M. Mouritz,1,392.0,B 93 vs Esbjerg,2024-10-04,0,0,10.23
54.5,13.4,M. Mouritz,B 93,J. Egeris,1,393.0,B 93 vs Esbjerg,2024-10-04,0,0,7.56
49.2,29.5,J. Egeris,B 93,O. Jakobsen,1,397.0,B 93 vs Esbjerg,2024-10-04,1,0,3.07
63.2,11.3,O. Jakobsen,B 93,M. Mouritz,1,399.0,B 93 vs Esbjerg,2024-10-04,-1,0,4.21
53.5,18.5,M. Mouritz,B 93,A. Vaporakis,1,401.0,B 93 vs Esbjerg,2024-10-04,0,0,4.75
23.6,49.3,A. Vaporakis,B 93,J. Okore,1,406.0,B 93 vs Esbjerg,2024-10-04,1,0,11.4
23.0,76.7,J. Okore,B 93,G. Hojbjerg,1,409.0,B 93 vs Esbjerg,2024-10-04,2,0,3.58
29.0,88.7,G. Hojbjerg,B 93,N. Morberg,1,411.0,B 93 vs Esbjerg,2024-10-04,1,1,5.03
30.3,68.8,N. Morberg,B 93,A. Vaporakis,1,413.0,B 93 vs Esbjerg,2024-10-04,-3,-1,4.46
12.2,60.2,A. Vaporakis,B 93,J. Egeris,1,417.0,B 93 vs Esbjerg,2024-10-04,0,0,14.31
23.8,22.5,J. Egeris,B 93,A. Vaporakis,1,420.0,B 93 vs Esbjerg,2024-10-04,0,0,6.19
12.1,41.9,A. Vaporakis,B 93,J. Okore,1,423.0,B 93 vs Esbjerg,2024-10-04,0,0,18.98
20.5,69.7,J. Okore,B 93,M. Mouritz,1,426.0,B 93 vs Esbjerg,2024-10-04,0,0,20.79
29.3,67.5,M. Mouritz,B 93,G. Hojbjerg,1,428.0,B 93 vs Esbjerg,2024-10-04,0,0,12.16
36.1,90.9,G. Hojbjerg,B 93,M. Mouritz,1,430.0,B 93 vs Esbjerg,2024-10-04,0,0,4.23
25.6,43.0,J. Meyer,Esbjerg,N. Strunck,1,436.0,B 93 vs Esbjerg,2024-10-04,3,0,4.2
26.0,29.5,L. Henriksen,B 93,A. Vaporakis,1,443.0,B 93 vs Esbjerg,2024-10-04,0,0,1.15
5.5,42.4,A. Vaporakis,B 93,L. Henriksen,1,445.0,B 93 vs Esbjerg,2024-10-04,1,0,8.45
18.8,6.2,L. Henriksen,B 93,J. Voldby,1,450.0,B 93 vs Esbjerg,2024-10-04,6,2,2.29
52.0,36.4,O. Jakobsen,B 93,N. Thomsen,1,461.0,B 93 vs Esbjerg,2024-10-04,0,0,1.62
49.2,45.2,N. Thomsen,B 93,O. Jakobsen,1,461.0,B 93 vs Esbjerg,2024-10-04,-2,0,2.37
61.3,46.1,N. Thomsen,B 93,O. Addo,1,463.0,B 93 vs Esbjerg,2024-10-04,2,2,1.98
11.8,55.7,D. Gadegaard,Esbjerg,N. Strunck,1,471.0,B 93 vs Esbjerg,2024-10-04,0,0,6.86
36.7,76.4,N. Strunck,Esbjerg,L. Montano,1,475.0,B 93 vs Esbjerg,2024-10-04,0,0,7.3
46.7,89.4,L. Montano,Esbjerg,Y. Bourhane,1,478.0,B 93 vs Esbjerg,2024-10-04,-1,0,10.44
44.8,75.2,Y. Bourhane,Esbjerg,J. Mortensen,1,483.0,B 93 vs Esbjerg,2024-10-04,0,0,8.97
46.4,12.1,J. Mortensen,Esbjerg,J. Meyer,1,485.0,B 93 vs Esbjerg,2024-10-04,0,0,8.64
33.1,48.5,J. Meyer,Esbjerg,T. Stagaard,1,488.0,B 93 vs Esbjerg,2024-10-04,0,0,12.56
38.1,77.6,T. Stagaard,Esbjerg,D. Gadegaard,1,490.0,B 93 vs Esbjerg,2024-10-04,0,0,7.05
12.6,42.8,A. Vaporakis,B 93,N. Morberg,1,513.0,B 93 vs Esbjerg,2024-10-04,0,0,11.13
25.7,45.5,N. Morberg,B 93,J. Okore,1,517.0,B 93 vs Esbjerg,2024-10-04,0,0,13.92
25.7,67.5,J. Okore,B 93,G. Hojbjerg,1,518.0,B 93 vs Esbjerg,2024-10-04,0,0,14.0
33.7,88.3,G. Hojbjerg,B 93,N. Morberg,1,519.0,B 93 vs Esbjerg,2024-10-04,0,0,3.26
25.7,47.2,N. Morberg,B 93,J. Egeris,1,520.0,B 93 vs Esbjerg,2024-10-04,0,0,12.94
29.2,22.7,J. Egeris,B 93,A. Vaporakis,1,522.0,B 93 vs Esbjerg,2024-10-04,0,0,2.82
12.1,36.3,A. Vaporakis,B 93,J. Egeris,1,527.0,B 93 vs Esbjerg,2024-10-04,1,0,3.33
48.2,45.8,N. Thomsen,B 93,L. Henriksen,1,548.0,B 93 vs Esbjerg,2024-10-04,-5,-2,1.13
33.9,17.9,L. Henriksen,B 93,M. Mouritz,1,550.0,B 93 vs Esbjerg,2024-10-04,1,0,14.2
33.9,32.1,M. Mouritz,B 93,N. Morberg,1,552.0,B 93 vs Esbjerg,2024-10-04,1,0,10.2
41.4,41.3,N. Morberg,B 93,M. Mouritz,1,553.0,B 93 vs Esbjerg,2024-10-04,0,0,2.36
31.1,21.9,M. Mouritz,B 93,L. Henriksen,1,555.0,B 93 vs Esbjerg,2024-10-04,0,0,11.61
36.1,9.2,L. Henriksen,B 93,M. Mouritz,1,557.0,B 93 vs Esbjerg,2024-10-04,0,0,10.12
27.7,60.8,A. Skipper,Esbjerg,Y. Bourhane,1,564.0,B 93 vs Esbjerg,2024-10-04,1,0,2.68
35.0,70.8,Y. Bourhane,Esbjerg,D. Gadegaard,1,566.0,B 93 vs Esbjerg,2024-10-04,-2,0,2.08
8.7,53.3,D. Gadegaard,Esbjerg,Y. Bourhane,1,570.0,B 93 vs Esbjerg,2024-10-04,0,0,10.81
16.4,71.6,Y. Bourhane,Esbjerg,T. Stagaard,1,574.0,B 93 vs Esbjerg,2024-10-04,1,0,4.48
22.9,92.0,T. Stagaard,Esbjerg,T. Freriks,1,575.0,B 93 vs Esbjerg,2024-10-04,6,1,7.45
36.3,80.4,T. Freriks,Esbjerg,L. Montano,1,578.0,B 93 vs Esbjerg,2024-10-04,1,1,5.27
35.9,16.7,N. Morberg,B 93,M. Mouritz,1,602.0,B 93 vs Esbjerg,2024-10-04,1,0,8.18
36.5,11.4,J. Egeris,B 93,J. Voldby,1,603.0,B 93 vs Esbjerg,2024-10-04,5,2,6.37
41.2,21.2,M. Mouritz,B 93,J. Egeris,1,603.0,B 93 vs Esbjerg,2024-10-04,-3,-1,3.12
38.6,101.6,L. Montano,Esbjerg,L. From,1,619.0,B 93 vs Esbjerg,2024-10-04,3,0,6.12
55.0,76.2,L. From,Esbjerg,L. Montano,1,622.0,B 93 vs Esbjerg,2024-10-04,-2,0,2.3
57.6,93.9,L. Montano,Esbjerg,J. Mortensen,1,625.0,B 93 vs Esbjerg,2024-10-04,3,0,4.94
58.2,25.4,J. Mortensen,Esbjerg,A. Skipper,1,627.0,B 93 vs Esbjerg,2024-10-04,-5,0,7.34
39.3,35.9,A. Skipper,Esbjerg,J. Meyer,1,630.0,B 93 vs Esbjerg,2024-10-04,0,0,11.53
35.5,58.2,J. Meyer,Esbjerg,D. Gadegaard,1,632.0,B 93 vs Esbjerg,2024-10-04,0,0,8.67
21.4,49.3,D. Gadegaard,Esbjerg,L. From,1,637.0,B 93 vs Esbjerg,2024-10-04,8,2,7.5
23.6,62.4,J. Okore,B 93,A. Vaporakis,1,643.0,B 93 vs Esbjerg,2024-10-04,0,0,6.66
12.2,52.5,A. Vaporakis,B 93,J. Egeris,1,648.0,B 93 vs Esbjerg,2024-10-04,0,0,15.35
19.7,36.7,J. Egeris,B 93,J. Okore,1,654.0,B 93 vs Esbjerg,2024-10-04,0,0,13.79
23.9,66.9,J. Okore,B 93,J. Egeris,1,661.0,B 93 vs Esbjerg,2024-10-04,0,0,14.11
26.8,43.0,J. Egeris,B 93,M. Mouritz,1,663.0,B 93 vs Esbjerg,2024-10-04,0,0,11.31
28.5,77.9,Y. Bourhane,Esbjerg,L. Montano,1,685.0,B 93 vs Esbjerg,2024-10-04,1,0,6.43
32.4,62.0,L. Montano,Esbjerg,T. Stagaard,1,686.0,B 93 vs Esbjerg,2024-10-04,-3,0,3.7
21.9,80.6,T. Stagaard,Esbjerg,T. Freriks,1,689.0,B 93 vs Esbjerg,2024-10-04,7,1,5.59
39.9,72.9,T. Freriks,Esbjerg,Y. Bourhane,1,693.0,B 93 vs Esbjerg,2024-10-04,-6,-1,3.21
32.7,78.8,Y. Bourhane,Esbjerg,A. Lausen,1,694.0,B 93 vs Esbjerg,2024-10-04,5,0,3.86
41.8,59.3,A. Lausen,Esbjerg,J. Mortensen,1,697.0,B 93 vs Esbjerg,2024-10-04,-1,0,4.86
31.0,43.6,M. Mouritz,B 93,O. Addo,1,706.0,B 93 vs Esbjerg,2024-10-04,2,1,6.78
53.7,68.5,O. Addo,B 93,N. Morberg,1,715.0,B 93 vs Esbjerg,2024-10-04,-1,0,4.1
40.4,77.0,N. Morberg,B 93,G. Hojbjerg,1,717.0,B 93 vs Esbjerg,2024-10-04,0,0,9.61
55.5,89.0,G. Hojbjerg,B 93,N. Morberg,1,719.0,B 93 vs Esbjerg,2024-10-04,-2,0,5.01
26.8,49.7,J. Meyer,Esbjerg,Y. Bourhane,1,741.0,B 93 vs Esbjerg,2024-10-04,0,0,8.77
30.1,39.2,Y. Bourhane,Esbjerg,L. From,1,742.0,B 93 vs Esbjerg,2024-10-04,6,0,6.32
44.5,50.1,L. From,Esbjerg,J. Mortensen,1,745.0,B 93 vs Esbjerg,2024-10-04,4,2,1.93
31.6,55.5,Y. Bourhane,Esbjerg,N. Strunck,1,799.0,B 93 vs Esbjerg,2024-10-04,2,0,8.41
50.7,50.7,N. Strunck,Esbjerg,Y. Bourhane,1,800.0,B 93 vs Esbjerg,2024-10-04,-2,0,7.14
38.3,54.5,Y. Bourhane,Esbjerg,T. Stagaard,1,804.0,B 93 vs Esbjerg,2024-10-04,-1,0,2.77
21.6,21.3,J. Egeris,B 93,A. Vaporakis,1,815.0,B 93 vs Esbjerg,2024-10-04,-1,-1,3.55
11.8,44.9,A. Vaporakis,B 93,J. Okore,1,819.0,B 93 vs Esbjerg,2024-10-04,0,0,20.68
22.7,54.3,T. Stagaard,Esbjerg,Y. Bourhane,1,825.0,B 93 vs Esbjerg,2024-10-04,1,0,2.27
60.3,26.4,N. Thomsen,B 93,N. Morberg,1,1975.0,B 93 vs Esbjerg,2024-10-04,0,0,-1.0
57.0,68.4,G. Hojbjerg,B 93,J. Okore,1,833.0,B 93 vs Esbjerg,2024-10-04,-2,0,2.99
30.2,65.7,J. Okore,B 93,A. Vaporakis,1,836.0,B 93 vs Esbjerg,2024-10-04,0,0,2.41
15.3,43.0,A. Vaporakis,B 93,J. Egeris,1,838.0,B 93 vs Esbjerg,2024-10-04,0,0,15.29
23.9,22.7,J. Egeris,B 93,J. Okore,1,841.0,B 93 vs Esbjerg,2024-10-04,1,0,12.24
25.0,64.5,J. Okore,B 93,N. Morberg,1,847.0,B 93 vs Esbjerg,2024-10-04,1,0,15.07
27.7,55.8,N. Morberg,B 93,G. Hojbjerg,1,849.0,B 93 vs Esbjerg,2024-10-04,0,0,6.76
35.2,90.5,G. Hojbjerg,B 93,N. Morberg,1,852.0,B 93 vs Esbjerg,2024-10-04,-1,0,5.88
32.8,76.1,N. Morberg,B 93,J. Okore,1,853.0,B 93 vs Esbjerg,2024-10-04,0,0,5.31
26.8,62.6,J. Okore,B 93,J. Egeris,1,856.0,B 93 vs Esbjerg,2024-10-04,0,0,8.18
26.5,24.0,J. Egeris,B 93,A. Vaporakis,1,860.0,B 93 vs Esbjerg,2024-10-04,0,0,7.09
8.7,48.4,A. Vaporakis,B 93,J. Egeris,1,864.0,B 93 vs Esbjerg,2024-10-04,0,0,5.92
11.0,17.0,J. Egeris,B 93,O. Jakobsen,1,867.0,B 93 vs Esbjerg,2024-10-04,5,1,8.71
56.5,23.9,O. Jakobsen,B 93,J. Voldby,1,874.0,B 93 vs Esbjerg,2024-10-04,4,2,4.48
89.6,19.1,J. Voldby,B 93,M. Mouritz,1,881.0,B 93 vs Esbjerg,2024-10-04,-1,0,0.83
80.0,9.2,M. Mouritz,B 93,O. Jakobsen,1,882.0,B 93 vs Esbjerg,2024-10-04,0,0,4.68
5.1,61.5,J. Meyer,Esbjerg,D. Gadegaard,1,909.0,B 93 vs Esbjerg,2024-10-04,0,0,12.07
21.5,47.3,A. Vaporakis,B 93,J. Egeris,1,921.0,B 93 vs Esbjerg,2024-10-04,0,0,18.24
