type,overall.away,overall.home,overall.middle,interval_type,interval,away,home,middle,label,match_id,date,home_team,away_team
territorial,50.7,49.3,NaN,5,86-90,34.7,65.3,NaN,B 93 vs Kolding,5u3egzqc8xhnmwpmvwdc2gvmc,2024-07-19,B 93,Kolding
territorial,50.7,49.3,NaN,15,0-15,61.3,38.7,NaN,B 93 vs Kolding,5u3egzqc8xhnmwpmvwdc2gvmc,2024-07-19,B 93,Kolding
territorial,50.7,49.3,NaN,15,16-30,65.9,34.1,NaN,B 93 vs Kolding,5u3egzqc8xhnmwpmvwdc2gvmc,2024-07-19,B 93,Kolding
territorial,50.7,49.3,NaN,15,31-45,59.6,40.4,NaN,B 93 vs Kolding,5u3egzqc8xhnmwpmvwdc2gvmc,2024-07-19,B 93,Kolding
territorial,50.7,49.3,NaN,15,46-60,38.6,61.4,NaN,B 93 vs Kolding,5u3egzqc8xhnmwpmvwdc2gvmc,2024-07-19,B 93,Kolding
territorial,50.7,49.3,NaN,15,61-75,43.6,56.4,NaN,B 93 vs Kolding,5u3egzqc8xhnmwpmvwdc2gvmc,2024-07-19,B 93,Kolding
territorial,50.7,49.3,NaN,15,76-90,39.1,60.9,NaN,B 93 vs Kolding,5u3egzqc8xhnmwpmvwdc2gvmc,2024-07-19,B 93,Kolding
territorial,50.7,49.3,NaN,45,0-45,62.1,37.9,NaN,B 93 vs Kolding,5u3egzqc8xhnmwpmvwdc2gvmc,2024-07-19,B 93,Kolding
territorial,50.7,49.3,NaN,45,46-90,40.2,59.8,NaN,B 93 vs Kolding,5u3egzqc8xhnmwpmvwdc2gvmc,2024-07-19,B 93,Kolding
territorialThird,23.9,27.7,48.4,5,0-5,31.8,20.5,47.7,B 93 vs Kolding,5u3egzqc8xhnmwpmvwdc2gvmc,2024-07-19,B 93,Kolding
territorialThird,23.9,27.7,48.4,5,6-10,36.8,17.5,45.7,B 93 vs Kolding,5u3egzqc8xhnmwpmvwdc2gvmc,2024-07-19,B 93,Kolding
territorialThird,23.9,27.7,48.4,5,11-15,5.6,50.0,44.4,B 93 vs Kolding,5u3egzqc8xhnmwpmvwdc2gvmc,2024-07-19,B 93,Kolding
territorialThird,23.9,27.7,48.4,5,16-20,21.6,35.3,43.1,B 93 vs Kolding,5u3egzqc8xhnmwpmvwdc2gvmc,2024-07-19,B 93,Kolding
territorialThird,23.9,27.7,48.4,5,21-25,15.4,46.2,38.4,B 93 vs Kolding,5u3egzqc8xhnmwpmvwdc2gvmc,2024-07-19,B 93,Kolding
territorialThird,23.9,27.7,48.4,5,26-30,21.9,50.0,28.1,B 93 vs Kolding,5u3egzqc8xhnmwpmvwdc2gvmc,2024-07-19,B 93,Kolding
territorialThird,23.9,27.7,48.4,5,31-35,35.7,26.8,37.5,B 93 vs Kolding,5u3egzqc8xhnmwpmvwdc2gvmc,2024-07-19,B 93,Kolding
territorialThird,23.9,27.7,48.4,5,36-40,23.2,39.3,37.5,B 93 vs Kolding,5u3egzqc8xhnmwpmvwdc2gvmc,2024-07-19,B 93,Kolding
territorialThird,23.9,27.7,48.4,5,41-45,20.7,34.5,44.8,B 93 vs Kolding,5u3egzqc8xhnmwpmvwdc2gvmc,2024-07-19,B 93,Kolding
territorialThird,23.9,27.7,48.4,5,46-50,14.1,15.6,70.3,B 93 vs Kolding,5u3egzqc8xhnmwpmvwdc2gvmc,2024-07-19,B 93,Kolding
territorialThird,23.9,27.7,48.4,5,51-55,25.9,7.4,66.7,B 93 vs Kolding,5u3egzqc8xhnmwpmvwdc2gvmc,2024-07-19,B 93,Kolding
territorialThird,23.9,27.7,48.4,5,56-60,27.5,25.0,47.5,B 93 vs Kolding,5u3egzqc8xhnmwpmvwdc2gvmc,2024-07-19,B 93,Kolding
territorialThird,23.9,27.7,48.4,5,61-65,9.5,38.1,52.4,B 93 vs Kolding,5u3egzqc8xhnmwpmvwdc2gvmc,2024-07-19,B 93,Kolding
territorialThird,23.9,27.7,48.4,5,66-70,28.1,26.3,45.6,B 93 vs Kolding,5u3egzqc8xhnmwpmvwdc2gvmc,2024-07-19,B 93,Kolding
territorialThird,23.9,27.7,48.4,5,71-75,31.7,9.8,58.5,B 93 vs Kolding,5u3egzqc8xhnmwpmvwdc2gvmc,2024-07-19,B 93,Kolding
territorialThird,23.9,27.7,48.4,5,76-80,14.0,28.0,58.0,B 93 vs Kolding,5u3egzqc8xhnmwpmvwdc2gvmc,2024-07-19,B 93,Kolding
territorialThird,23.9,27.7,48.4,5,81-85,29.3,9.8,60.9,B 93 vs Kolding,5u3egzqc8xhnmwpmvwdc2gvmc,2024-07-19,B 93,Kolding
territorialThird,23.9,27.7,48.4,5,86-90,33.7,22.8,43.5,B 93 vs Kolding,5u3egzqc8xhnmwpmvwdc2gvmc,2024-07-19,B 93,Kolding
territorialThird,23.9,27.7,48.4,15,0-15,22.5,31.8,45.7,B 93 vs Kolding,5u3egzqc8xhnmwpmvwdc2gvmc,2024-07-19,B 93,Kolding
territorialThird,23.9,27.7,48.4,15,16-30,19.3,43.0,37.7,B 93 vs Kolding,5u3egzqc8xhnmwpmvwdc2gvmc,2024-07-19,B 93,Kolding
territorialThird,23.9,27.7,48.4,15,31-45,27.7,33.3,39.0,B 93 vs Kolding,5u3egzqc8xhnmwpmvwdc2gvmc,2024-07-19,B 93,Kolding
territorialThird,23.9,27.7,48.4,15,46-60,21.5,15.2,63.3,B 93 vs Kolding,5u3egzqc8xhnmwpmvwdc2gvmc,2024-07-19,B 93,Kolding
territorialThird,23.9,27.7,48.4,15,61-75,23.6,25.0,51.4,B 93 vs Kolding,5u3egzqc8xhnmwpmvwdc2gvmc,2024-07-19,B 93,Kolding
territorialThird,23.9,27.7,48.4,15,76-90,27.6,21.4,51.0,B 93 vs Kolding,5u3egzqc8xhnmwpmvwdc2gvmc,2024-07-19,B 93,Kolding
territorialThird,23.9,27.7,48.4,45,0-45,23.2,35.6,41.2,B 93 vs Kolding,5u3egzqc8xhnmwpmvwdc2gvmc,2024-07-19,B 93,Kolding
territorialThird,23.9,27.7,48.4,45,46-90,24.5,20.4,55.1,B 93 vs Kolding,5u3egzqc8xhnmwpmvwdc2gvmc,2024-07-19,B 93,Kolding
ballPossession,37.7,62.3,NaN,5,0-5,12.8,87.2,NaN,Hvidovre vs HB Køge,5un12m65p2ujmjb0seb0fxxck,2024-07-19,Hvidovre,HB Køge
