team_name,label,Transition xG difference,Transition xG,Transition xG against,Transition xG share
Hvidovre,HB Køge vs Hvidovre 2024-11-10,0.52,0.88,-0.36,0.59
Hvidovre,Hillerød vs Hvidovre 2024-11-01,-0.43,0.25,-0.67,0.21
Hvidovre,Hobro vs Hvidovre 2024-08-17,-0.26,0.09,-0.36,0.29
Hvidovre,Horsens vs Hvidovre 2024-10-20,-1.99,0.4,-2.39,0.41
Hvidovre,Hvidovre vs B 93 2024-08-09,1.63,1.8,-0.17,0.58
Hvidovre,Hvidovre vs Esbjerg 2024-09-22,0.96,1.34,-0.37,0.63
Hvidovre,Hvidovre vs HB Køge 2024-07-19,0.58,0.65,-0.07,0.26
Hvidovre,Hvidovre vs Hillerød 2024-08-20,-0.07,0.43,-0.5,0.28
Hvidovre,Hvidovre vs Horsens 2024-08-30,0.59,1.05,-0.46,0.34
Hvidovre,Hvidovre vs Kolding 2024-10-07,-0.1,0.28,-0.38,0.41
Hvidovre,Hvidovre vs Roskilde 2024-11-22,0.12,0.49,-0.37,0.27
Hvidovre,Hvidovre vs Vendsyssel 2024-10-26,0.8,1.7,-0.9,0.62
Hvidovre,Kolding vs Hvidovre 2024-07-26,-0.25,0.0,-0.25,0.0
Hvidovre,OB vs Hvidovre 2024-08-03,-0.44,0.35,-0.78,0.45
Hvidovre,Roskilde vs Hvidovre 2024-09-13,-0.64,0.16,-0.81,0.28
Hvidovre,Vendsyssel vs Hvidovre 2024-09-28,0.2,0.23,-0.03,0.13
Kolding,B 93 vs Kolding 2024-07-19,0.32,0.71,-0.39,0.61
Kolding,Fredericia vs Kolding 2024-11-24,0.03,0.33,-0.3,0.4
Kolding,HB Køge vs Kolding 2024-10-25,1.02,1.04,-0.02,0.7
Kolding,Hillerød vs Kolding 2024-08-30,-0.13,0.15,-0.28,0.12
Kolding,Hobro vs Kolding 2024-09-20,0.07,0.34,-0.27,0.51
Kolding,Horsens vs Kolding 2024-08-16,1.46,1.5,-0.03,0.73
Kolding,Hvidovre vs Kolding 2024-10-07,0.1,0.38,-0.28,0.39
Kolding,Kolding vs Esbjerg 2024-08-21,0.63,0.77,-0.14,0.44
Kolding,Kolding vs Fredericia 2024-08-02,1.13,1.18,-0.05,0.59
Kolding,Kolding vs HB Køge 2024-09-14,0.49,0.52,-0.03,0.47
Kolding,Kolding vs Hillerød 2024-10-18,1.44,1.44,0.0,0.93
Kolding,Kolding vs Hvidovre 2024-07-26,0.25,0.25,0.0,0.33
Kolding,Kolding vs OB 2024-09-27,0.1,0.25,-0.14,0.21
Kolding,Kolding vs Roskilde 2024-08-24,0.58,0.68,-0.1,0.57
Kolding,Kolding vs Vendsyssel 2024-11-08,-0.02,0.14,-0.16,0.41
Kolding,Roskilde vs Kolding 2024-11-02,0.11,0.27,-0.16,0.27
Kolding,Vendsyssel vs Kolding 2024-08-10,0.38,0.59,-0.21,0.42
OB,B 93 vs OB 2024-08-16,-0.32,0.61,-0.92,0.22
OB,Esbjerg vs OB 2024-07-20,0.03,0.2,-0.17,0.18
OB,Fredericia vs OB 2024-11-03,0.16,0.56,-0.4,0.42
OB,HB Køge vs OB 2024-07-26,0.77,0.84,-0.07,0.22
