playerName,playerId,contestantId,team_name,typeId,321,322,9,24,25,26,label,match_id,date
O. Buch,y4dl1rer075c9wz6zhx7skbt,6wwwud48qahpwrfxs20334qk5,Fredericia,13,0.016521736979484558,0.0,NaN,,NaN,NaN,Fredericia vs Hobro,6d0zvwpinn8gkmd7ge9zvay38,2024-09-16
M. Bruhn,8gqvlydur0v4cpmz1ozqkejh0,b2vft81kyjurzbmekvgrqwr64,Hobro,15,0.17249956727027893,0.14205211400985718,NaN,,NaN,NaN,Fredericia vs Hobro,6d0zvwpinn8gkmd7ge9zvay38,2024-09-16
J. Cornelius,8gdfn7j6xac9p4jh94hk40jdg,b2vft81kyjurzbmekvgrqwr64,Hobro,15,0.15090198814868927,0.8873677849769592,NaN,,true,NaN,Fredericia vs Hobro,6d0zvwpinn8gkmd7ge9zvay38,2024-09-16
L. Klitten,ea2x4o6ufsqoz2zz7tqcnvo16,b2vft81kyjurzbmekvgrqwr64,Hobro,13,0.2888476550579071,0.0,NaN,,NaN,NaN,Fredericia vs Hobro,6d0zvwpinn8gkmd7ge9zvay38,2024-09-16
J. Cornelius,8gdfn7j6xac9p4jh94hk40jdg,b2vft81kyjurzbmekvgrqwr64,Hobro,16,0.5138521790504456,0.33636170625686646,NaN,,NaN,NaN,Fredericia vs Hobro,6d0zvwpinn8gkmd7ge9zvay38,2024-09-16
A. Muçolli,289rctmvd5ppy9zqn98jbe4et,6wwwud48qahpwrfxs20334qk5,Fredericia,15,0.04264701530337334,0.0,NaN,,true,NaN,Fredericia vs Hobro,6d0zvwpinn8gkmd7ge9zvay38,2024-09-16
J. Lindekilde,23sc7wc7my7wes6cuaxw1v0no,6wwwud48qahpwrfxs20334qk5,Fredericia,15,0.038745276629924774,0.40368297696113586,NaN,,NaN,NaN,Fredericia vs Hobro,6d0zvwpinn8gkmd7ge9zvay38,2024-09-16
M. Opondo,4m3slt6iikaxklqd12i719rl5,6wwwud48qahpwrfxs20334qk5,Fredericia,15,0.04518340528011322,0.019583191722631454,NaN,,NaN,NaN,Fredericia vs Hobro,6d0zvwpinn8gkmd7ge9zvay38,2024-09-16
L. Klitten,ea2x4o6ufsqoz2zz7tqcnvo16,b2vft81kyjurzbmekvgrqwr64,Hobro,15,0.018214745447039604,0.0,NaN,,NaN,NaN,Fredericia vs Hobro,6d0zvwpinn8gkmd7ge9zvay38,2024-09-16
M. Jacobsen,6bv0j0ezhh9u5u5hqz64p790q,b2vft81kyjurzbmekvgrqwr64,Hobro,15,0.032362036406993866,0.07031401246786118,NaN,,NaN,true,Fredericia vs Hobro,6d0zvwpinn8gkmd7ge9zvay38,2024-09-16
Z. Hyltoft,b0yv1pcxifawqx6r1cfqq3otm,b2vft81kyjurzbmekvgrqwr64,Hobro,13,0.17487983405590057,0.0,NaN,,true,NaN,Fredericia vs Hobro,6d0zvwpinn8gkmd7ge9zvay38,2024-09-16
A. Muçolli,289rctmvd5ppy9zqn98jbe4et,6wwwud48qahpwrfxs20334qk5,Fredericia,16,0.7884,0.9701659679412842,true,,NaN,NaN,Fredericia vs Hobro,6d0zvwpinn8gkmd7ge9zvay38,2024-09-16
F. Dietz,ebd3uvtt54wkdsahc2127j02c,b2vft81kyjurzbmekvgrqwr64,Hobro,13,0.0052231005392968655,0.0,NaN,,NaN,NaN,Fredericia vs Hobro,6d0zvwpinn8gkmd7ge9zvay38,2024-09-16
M. Etim,1fjkjzsei9slx2t4zhsqdkve1,aqtkb4mgrz8c6iqfufj6qjbv9,Hillerød,13,0.2749446630477905,0.0,,true,NaN,,Hillerød vs HB Køge,64asahp9xtmrj6tt53ghkam1g,2024-08-16
A. Justinussen,uiyol728wan4mxco2foplknp,aqtkb4mgrz8c6iqfufj6qjbv9,Hillerød,15,0.017454706132411957,0.0,,NaN,NaN,,Hillerød vs HB Køge,64asahp9xtmrj6tt53ghkam1g,2024-08-16
A. Justinussen,uiyol728wan4mxco2foplknp,aqtkb4mgrz8c6iqfufj6qjbv9,Hillerød,16,0.1094474196434021,0.16357596218585968,,NaN,NaN,,Hillerød vs HB Køge,64asahp9xtmrj6tt53ghkam1g,2024-08-16
T. Arndal,1n4eldqa7h9jvcx1693zqu06i,aqtkb4mgrz8c6iqfufj6qjbv9,Hillerød,13,0.07512090355157852,0.0,,NaN,NaN,,Hillerød vs HB Køge,64asahp9xtmrj6tt53ghkam1g,2024-08-16
A. Justinussen,uiyol728wan4mxco2foplknp,aqtkb4mgrz8c6iqfufj6qjbv9,Hillerød,15,0.13328449428081512,0.34719663858413696,,NaN,NaN,,Hillerød vs HB Køge,64asahp9xtmrj6tt53ghkam1g,2024-08-16
M. Etim,1fjkjzsei9slx2t4zhsqdkve1,aqtkb4mgrz8c6iqfufj6qjbv9,Hillerød,16,0.5476242899894714,0.967906653881073,,NaN,NaN,,Hillerød vs HB Køge,64asahp9xtmrj6tt53ghkam1g,2024-08-16
M. Bay,bop31qof3lon7u6rvmb68ktzp,aqtkb4mgrz8c6iqfufj6qjbv9,Hillerød,15,0.10642518103122711,0.0,,NaN,NaN,,Hillerød vs HB Køge,64asahp9xtmrj6tt53ghkam1g,2024-08-16
