team_name,id,eventId,typeId,timeMin,timeSec,outcome,x,y,playerName,sequenceId,possessionId,keyPass,assist,label,date,140.0,141.0,318.0,321.0,322.0,210.0,212.0,213.0,223.0,224.0,225.0,22.0,23.0,5.0,6.0,9.0,19.0,24.0,25.0,26.0,107.0,44.0,292.0,293.0,set_piece_index
B 93,2701879715,936,1,90,7,1,69.0,78.7,T. Blidegn,299.0,197.0,NaN,,B 93 vs Kolding,2024-07-19,68.1,44.0,0.00229547,NaN,NaN,NaN,23.6,4.7,NaN,NaN,NaN,NaN,,NaN,NaN,,,NaN,NaN,,NaN,NaN,NaN,NaN,4
B 93,2701843653,96,1,7,35,1,99.5,99.5,M. Mouritz,36.0,28.0,NaN,,B 93 vs Kolding,2024-07-19,86.4,88.3,0.00110716,NaN,NaN,NaN,15.7,3.6,NaN,NaN,NaN,NaN,,NaN,true,,,NaN,NaN,,NaN,NaN,NaN,NaN,1
B 93,2701881023,983,1,93,38,0,99.5,99.5,N. Mouritsen,307.0,201.0,NaN,,B 93 vs Kolding,2024-07-19,91.3,60.9,NaN,NaN,NaN,NaN,27.6,4.4,true,NaN,NaN,NaN,,NaN,true,,,NaN,NaN,,NaN,NaN,NaN,NaN,1
B 93,2701881029,984,13,93,41,1,72.7,39.1,T. Blidegn,308.0,201.0,NaN,,B 93 vs Kolding,2024-07-19,NaN,NaN,NaN,0.021215634420514107,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,,NaN,true,,NaN,NaN,NaN,NaN,2
B 93,2703617311,130,1,17,4,1,99.5,99.5,M. Mouritz,63.0,34.0,1.0,NaN,Roskilde vs B 93,2024-07-27,96.2,51.5,0.24768887,NaN,NaN,15,32.8,4.6,true,NaN,NaN,NaN,NaN,NaN,true,,,,NaN,,NaN,NaN,NaN,NaN,1
B 93,2703617313,131,15,17,7,1,94.0,52.8,J. Egeris,63.0,34.0,NaN,NaN,Roskilde vs B 93,2024-07-27,NaN,NaN,NaN,0.14724113047122955,0.32648393511772156,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,true,,NaN,NaN,NaN,NaN,2
B 93,2703617325,132,2,17,16,1,94.0,64.0,J. Egeris,64.0,34.0,NaN,NaN,Roskilde vs B 93,2024-07-27,95.6,54.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,NaN,,NaN,NaN,NaN,NaN,3
Roskilde,2703616281,133,1,10,4,1,99.5,0.5,S. Baskaya,44.0,23.0,NaN,NaN,Roskilde vs B 93,2024-07-27,95.9,25.8,0.00273306,NaN,NaN,NaN,17.6,1.8,NaN,NaN,NaN,NaN,NaN,NaN,true,,,,NaN,,NaN,NaN,NaN,NaN,1
Roskilde,2703616283,134,1,10,6,1,95.9,25.8,R. Arabaci,44.0,23.0,NaN,NaN,Roskilde vs B 93,2024-07-27,91.7,10.6,0.00215168,NaN,NaN,NaN,11.2,4.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,NaN,,NaN,NaN,NaN,NaN,2
Roskilde,2703616293,135,1,10,7,1,91.7,10.6,S. Baskaya,44.0,23.0,NaN,NaN,Roskilde vs B 93,2024-07-27,79.8,14.0,0.00162607,NaN,NaN,NaN,12.7,3.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,NaN,,NaN,NaN,NaN,NaN,3
Roskilde,2703616297,136,1,10,11,1,79.8,14.0,K. Nyegaard,44.0,23.0,1.0,NaN,Roskilde vs B 93,2024-07-27,95.3,66.6,0.01991075,NaN,NaN,13,39.3,1.1,NaN,true,NaN,NaN,NaN,NaN,NaN,,,,NaN,,NaN,NaN,NaN,NaN,4
Roskilde,2703616301,137,13,10,13,1,95.6,66.1,A. Maarup,44.0,23.0,NaN,NaN,Roskilde vs B 93,2024-07-27,NaN,NaN,NaN,0.009667572565376759,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,true,,NaN,NaN,NaN,NaN,5
Roskilde,2703618363,265,1,25,11,0,99.5,99.5,R. Arabaci,89.0,55.0,NaN,NaN,Roskilde vs B 93,2024-07-27,95.3,44.5,NaN,NaN,NaN,NaN,37.7,4.6,true,NaN,NaN,NaN,NaN,NaN,true,,,,NaN,,NaN,NaN,NaN,NaN,1
Roskilde,2703618427,270,7,23,55,1,28.3,43.8,K. Nyegaard,88.0,55.0,NaN,NaN,Roskilde vs B 93,2024-07-27,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,NaN,,NaN,NaN,NaN,NaN,2
Roskilde,2703627735,648,1,60,43,1,99.5,99.5,S. Baskaya,219.0,149.0,NaN,NaN,Roskilde vs B 93,2024-07-27,95.3,79.6,0.00160673,NaN,NaN,NaN,14.2,4.4,NaN,NaN,NaN,NaN,NaN,NaN,true,,,,NaN,,NaN,NaN,NaN,NaN,1
Roskilde,2703627741,649,1,60,46,0,88.0,82.4,R. Arabaci,219.0,149.0,NaN,NaN,Roskilde vs B 93,2024-07-27,93.1,45.2,NaN,NaN,NaN,NaN,25.9,4.9,true,NaN,NaN,NaN,NaN,NaN,NaN,,,,NaN,,NaN,NaN,NaN,NaN,2
Roskilde,2703628065,659,18,60,30,1,65.1,75.7,M. Juhl,NaN,149.0,NaN,NaN,Roskilde vs B 93,2024-07-27,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,NaN,,NaN,Defender,NaN,NaN,3
Roskilde,2703629933,761,1,74,9,0,99.5,0.5,R. Arabaci,264.0,183.0,NaN,NaN,Roskilde vs B 93,2024-07-27,90.9,36.7,NaN,NaN,NaN,NaN,26.2,1.9,NaN,true,NaN,NaN,NaN,NaN,true,,,,NaN,,NaN,NaN,NaN,NaN,1
Roskilde,2703629949,766,6,74,19,1,98.5,38.0,R. Arabaci,NaN,183.0,NaN,NaN,Roskilde vs B 93,2024-07-27,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,NaN,,NaN,NaN,NaN,NaN,2
Roskilde,2703629971,767,49,73,40,1,68.1,58.7,A. Taranis,263.0,183.0,NaN,NaN,Roskilde vs B 93,2024-07-27,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,NaN,,NaN,NaN,NaN,NaN,3
Roskilde,2703630255,772,1,75,58,0,99.5,0.7,R. Arabaci,265.0,183.0,NaN,NaN,Roskilde vs B 93,2024-07-27,91.7,46.6,NaN,NaN,NaN,NaN,32.3,1.8,NaN,true,NaN,NaN,NaN,NaN,true,,,,NaN,,NaN,NaN,NaN,NaN,1
Roskilde,2703630293,773,1,76,7,0,68.5,8.0,A. Taranis,266.0,183.0,NaN,NaN,Roskilde vs B 93,2024-07-27,72.0,29.5,NaN,NaN,NaN,NaN,15.1,1.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,NaN,,NaN,NaN,NaN,NaN,2
