description,match_id,game_id,team_name,timeMin,timeSec,contestantId,frames_ball40,frames_success,success_pct,def_line_from_own_goal_mean,ball_from_own_goal_mean,percent_succes_mean
ACH - ARF : 2025-7-19,btk54zcps9pizk65pevt2pzis,41cdf91a-d2ec-47c8-9ab9-0fa312e61ae1,ACH,1,54,a9vw7ikerpr4cuweeeka5aneg,25,0,0.0,21.696536773681643,42.09413677368164,90.0
ACH - ARF : 2025-7-19,btk54zcps9pizk65pevt2pzis,41cdf91a-d2ec-47c8-9ab9-0fa312e61ae1,ACH,1,55,a9vw7ikerpr4cuweeeka5aneg,25,9,36.0,24.494936773681637,44.18853677368165,93.6
ACH - ARF : 2025-7-19,btk54zcps9pizk65pevt2pzis,41cdf91a-d2ec-47c8-9ab9-0fa312e61ae1,ACH,1,56,a9vw7ikerpr4cuweeeka5aneg,25,25,100.0,28.200136773681642,46.22453677368164,100.0
ACH - ARF : 2025-7-19,btk54zcps9pizk65pevt2pzis,41cdf91a-d2ec-47c8-9ab9-0fa312e61ae1,ACH,1,57,a9vw7ikerpr4cuweeeka5aneg,25,25,100.0,31.44493677368164,47.16053677368164,100.0
ACH - ARF : 2025-7-19,btk54zcps9pizk65pevt2pzis,41cdf91a-d2ec-47c8-9ab9-0fa312e61ae1,ACH,1,58,a9vw7ikerpr4cuweeeka5aneg,25,25,100.0,32.34933677368164,48.846536773681635,100.0
ACH - ARF : 2025-7-19,btk54zcps9pizk65pevt2pzis,41cdf91a-d2ec-47c8-9ab9-0fa312e61ae1,ACH,1,59,a9vw7ikerpr4cuweeeka5aneg,25,25,100.0,33.32413677368164,49.477336773681635,100.0
ACH - ARF : 2025-7-19,btk54zcps9pizk65pevt2pzis,41cdf91a-d2ec-47c8-9ab9-0fa312e61ae1,ACH,2,0,a9vw7ikerpr4cuweeeka5aneg,25,25,100.0,33.98093677368164,47.378936773681644,100.0
ACH - ARF : 2025-7-19,btk54zcps9pizk65pevt2pzis,41cdf91a-d2ec-47c8-9ab9-0fa312e61ae1,ACH,2,1,a9vw7ikerpr4cuweeeka5aneg,25,25,100.0,33.48253677368164,44.610136773681646,100.0
ACH - ARF : 2025-7-19,btk54zcps9pizk65pevt2pzis,41cdf91a-d2ec-47c8-9ab9-0fa312e61ae1,ACH,2,2,a9vw7ikerpr4cuweeeka5aneg,5,5,100.0,33.19253677368164,41.44253677368164,100.0
ACH - ARF : 2025-7-19,btk54zcps9pizk65pevt2pzis,41cdf91a-d2ec-47c8-9ab9-0fa312e61ae1,ACH,3,35,a9vw7ikerpr4cuweeeka5aneg,2,0,0.0,18.97253677368164,40.13253677368164,30.0
ACH - ARF : 2025-7-19,btk54zcps9pizk65pevt2pzis,41cdf91a-d2ec-47c8-9ab9-0fa312e61ae1,ACH,3,36,a9vw7ikerpr4cuweeeka5aneg,5,0,0.0,19.04253677368164,40.43853677368164,30.0
ACH - ARF : 2025-7-19,btk54zcps9pizk65pevt2pzis,41cdf91a-d2ec-47c8-9ab9-0fa312e61ae1,ACH,3,59,a9vw7ikerpr4cuweeeka5aneg,1,0,0.0,16.78253677368164,40.12253677368164,40.0
ACH - ARF : 2025-7-19,btk54zcps9pizk65pevt2pzis,41cdf91a-d2ec-47c8-9ab9-0fa312e61ae1,ACH,4,8,a9vw7ikerpr4cuweeeka5aneg,11,0,0.0,24.257082228227095,40.71071859186346,80.0
ACH - ARF : 2025-7-19,btk54zcps9pizk65pevt2pzis,41cdf91a-d2ec-47c8-9ab9-0fa312e61ae1,ACH,4,9,a9vw7ikerpr4cuweeeka5aneg,25,17,68.0,25.19333677368164,43.82853677368164,96.0
ACH - ARF : 2025-7-19,btk54zcps9pizk65pevt2pzis,41cdf91a-d2ec-47c8-9ab9-0fa312e61ae1,ACH,4,10,a9vw7ikerpr4cuweeeka5aneg,25,25,100.0,26.56973677368164,44.98973677368164,100.0
ACH - ARF : 2025-7-19,btk54zcps9pizk65pevt2pzis,41cdf91a-d2ec-47c8-9ab9-0fa312e61ae1,ACH,4,11,a9vw7ikerpr4cuweeeka5aneg,25,25,100.0,27.136136773681642,42.34453677368164,100.0
ACH - ARF : 2025-7-19,btk54zcps9pizk65pevt2pzis,41cdf91a-d2ec-47c8-9ab9-0fa312e61ae1,ACH,4,12,a9vw7ikerpr4cuweeeka5aneg,25,25,100.0,27.040136773681642,41.750936773681644,100.0
ACH - ARF : 2025-7-19,btk54zcps9pizk65pevt2pzis,41cdf91a-d2ec-47c8-9ab9-0fa312e61ae1,ACH,4,13,a9vw7ikerpr4cuweeeka5aneg,25,25,100.0,27.39493677368164,45.82853677368164,100.0
ACH - ARF : 2025-7-19,btk54zcps9pizk65pevt2pzis,41cdf91a-d2ec-47c8-9ab9-0fa312e61ae1,ACH,4,14,a9vw7ikerpr4cuweeeka5aneg,25,25,100.0,29.28773677368164,49.71733677368164,100.0
ACH - ARF : 2025-7-19,btk54zcps9pizk65pevt2pzis,41cdf91a-d2ec-47c8-9ab9-0fa312e61ae1,ACH,4,15,a9vw7ikerpr4cuweeeka5aneg,25,25,100.0,31.140536773681642,47.74093677368164,100.0
ACH - ARF : 2025-7-19,btk54zcps9pizk65pevt2pzis,41cdf91a-d2ec-47c8-9ab9-0fa312e61ae1,ACH,4,16,a9vw7ikerpr4cuweeeka5aneg,25,25,100.0,31.76413677368164,44.596536773681635,100.0
ACH - ARF : 2025-7-19,btk54zcps9pizk65pevt2pzis,41cdf91a-d2ec-47c8-9ab9-0fa312e61ae1,ACH,4,17,a9vw7ikerpr4cuweeeka5aneg,25,25,100.0,30.736536773681642,40.86933677368164,100.0
ACH - ARF : 2025-7-19,btk54zcps9pizk65pevt2pzis,41cdf91a-d2ec-47c8-9ab9-0fa312e61ae1,ACH,4,18,a9vw7ikerpr4cuweeeka5aneg,25,25,100.0,29.966936773681642,45.33573677368164,100.0
ACH - ARF : 2025-7-19,btk54zcps9pizk65pevt2pzis,41cdf91a-d2ec-47c8-9ab9-0fa312e61ae1,ACH,4,19,a9vw7ikerpr4cuweeeka5aneg,25,25,100.0,30.304136773681638,52.232936773681644,100.0
ACH - ARF : 2025-7-19,btk54zcps9pizk65pevt2pzis,41cdf91a-d2ec-47c8-9ab9-0fa312e61ae1,ACH,4,20,a9vw7ikerpr4cuweeeka5aneg,25,25,100.0,32.20573677368164,51.30613677368164,100.0
ACH - ARF : 2025-7-19,btk54zcps9pizk65pevt2pzis,41cdf91a-d2ec-47c8-9ab9-0fa312e61ae1,ACH,4,21,a9vw7ikerpr4cuweeeka5aneg,25,25,100.0,33.485736773681644,49.45013677368164,100.0
ACH - ARF : 2025-7-19,btk54zcps9pizk65pevt2pzis,41cdf91a-d2ec-47c8-9ab9-0fa312e61ae1,ACH,4,22,a9vw7ikerpr4cuweeeka5aneg,25,25,100.0,33.62413677368164,51.535736773681634,100.0
ACH - ARF : 2025-7-19,btk54zcps9pizk65pevt2pzis,41cdf91a-d2ec-47c8-9ab9-0fa312e61ae1,ACH,4,23,a9vw7ikerpr4cuweeeka5aneg,2,2,100.0,33.80753677368165,53.98753677368164,100.0
ACH - ARF : 2025-7-19,btk54zcps9pizk65pevt2pzis,41cdf91a-d2ec-47c8-9ab9-0fa312e61ae1,ACH,4,34,a9vw7ikerpr4cuweeeka5aneg,20,20,100.0,36.48903677368164,62.649536773681646,100.0
