sequence_id,receiver_id,receiver_name,receiver_Uuid,receiver_position,game_id,match_id,team_name,period,poss_player_id,poss_player_Uuid,poss_player_name,poss_player_position,deep_run_opportunity,deep_run,pass_received,Low base,High base,Width,Pocket,num_teammates_in_box,poss_in_assist_zone,option_between_lines,time_on_ball,frame_idx_first,frame_idx_last,gameclock_first,gameclock_last,timemin_first,timemin_last,timesec_first,timesec_last,local_date,description
11,115869,P. Olsen,8jotzm26md7pzdy2gn474chqt,RCM,41cdf91a-d2ec-47c8-9ab9-0fa312e61ae1,btk54zcps9pizk65pevt2pzis,ACH,1,428793,9cg2dx19fx5be3zewtmx97e95,I. Milicevic,LWB,False,False,False,False,True,False,False,0,False,True,False,6097,6101,243.88,244.04,4,4,3,4,2025-07-19,Horsens vs Aarhus Fremad
12,115869,P. Olsen,8jotzm26md7pzdy2gn474chqt,RCM,41cdf91a-d2ec-47c8-9ab9-0fa312e61ae1,btk54zcps9pizk65pevt2pzis,ACH,1,665174,51ymbnikkta369rn3exb1g7bo,A. Moro,LCM,False,False,False,False,False,False,False,0,False,False,False,6121,6123,244.84,244.92,4,4,4,4,2025-07-19,Horsens vs Aarhus Fremad
13,115869,P. Olsen,8jotzm26md7pzdy2gn474chqt,RCM,41cdf91a-d2ec-47c8-9ab9-0fa312e61ae1,btk54zcps9pizk65pevt2pzis,ACH,1,68250,8uhv14rin2znrr0wqgvcc2f2t,M. Delac,GK,False,False,False,False,False,False,False,0,False,False,True,7514,7515,300.56,300.6,5,5,0,0,2025-07-19,Horsens vs Aarhus Fremad
14,115869,P. Olsen,8jotzm26md7pzdy2gn474chqt,RCM,41cdf91a-d2ec-47c8-9ab9-0fa312e61ae1,btk54zcps9pizk65pevt2pzis,ACH,1,621941,4i0jiisff5k1efcgf27skpqfo,F. Roslyng,LCB,False,False,False,False,False,False,False,0,False,False,True,7701,7705,308.04,308.2,5,5,8,8,2025-07-19,Horsens vs Aarhus Fremad
15,115869,P. Olsen,8jotzm26md7pzdy2gn474chqt,RCM,41cdf91a-d2ec-47c8-9ab9-0fa312e61ae1,btk54zcps9pizk65pevt2pzis,ACH,1,428793,9cg2dx19fx5be3zewtmx97e95,I. Milicevic,LWB,True,False,False,False,False,False,False,0,False,False,True,7753,7805,310.12,312.2,5,5,10,12,2025-07-19,Horsens vs Aarhus Fremad
16,115869,P. Olsen,8jotzm26md7pzdy2gn474chqt,RCM,41cdf91a-d2ec-47c8-9ab9-0fa312e61ae1,btk54zcps9pizk65pevt2pzis,ACH,1,608743,6qko3f8w2ap9ynbuq2g55i5n8,S. Doua,RWB,True,False,True,False,False,False,False,0,False,False,True,8212,8246,328.48,329.84,5,5,28,29,2025-07-19,Horsens vs Aarhus Fremad
17,115869,P. Olsen,8jotzm26md7pzdy2gn474chqt,RCM,41cdf91a-d2ec-47c8-9ab9-0fa312e61ae1,btk54zcps9pizk65pevt2pzis,ACH,1,621941,4i0jiisff5k1efcgf27skpqfo,F. Roslyng,LCB,False,False,True,True,False,False,False,0,False,True,False,8562,8604,342.48,344.16,5,5,42,44,2025-07-19,Horsens vs Aarhus Fremad
18,115869,P. Olsen,8jotzm26md7pzdy2gn474chqt,RCM,41cdf91a-d2ec-47c8-9ab9-0fa312e61ae1,btk54zcps9pizk65pevt2pzis,ACH,1,428573,ca1b5707pdpx0ucug40ggnahh,F. Brandhof,RW,False,False,False,False,False,False,False,0,False,False,True,8845,8849,353.8,353.96,5,5,53,53,2025-07-19,Horsens vs Aarhus Fremad
19,115869,P. Olsen,8jotzm26md7pzdy2gn474chqt,RCM,41cdf91a-d2ec-47c8-9ab9-0fa312e61ae1,btk54zcps9pizk65pevt2pzis,ACH,1,450034,4lxxyqy78jkglhv2w6crzcnsa,O. Kolskogen,CB,False,False,False,False,False,False,False,0,False,True,True,9218,9223,368.72,368.92,6,6,8,8,2025-07-19,Horsens vs Aarhus Fremad
20,115869,P. Olsen,8jotzm26md7pzdy2gn474chqt,RCM,41cdf91a-d2ec-47c8-9ab9-0fa312e61ae1,btk54zcps9pizk65pevt2pzis,ACH,1,621941,4i0jiisff5k1efcgf27skpqfo,F. Roslyng,LCB,False,False,True,False,True,False,False,0,False,False,True,9258,9398,370.32,375.92,6,6,10,15,2025-07-19,Horsens vs Aarhus Fremad
21,115869,P. Olsen,8jotzm26md7pzdy2gn474chqt,RCM,41cdf91a-d2ec-47c8-9ab9-0fa312e61ae1,btk54zcps9pizk65pevt2pzis,ACH,1,115869,8jotzm26md7pzdy2gn474chqt,P. Olsen,RCM,False,False,True,False,False,False,False,0,False,False,True,9414,9458,376.56,378.32,6,6,16,18,2025-07-19,Horsens vs Aarhus Fremad
22,115869,P. Olsen,8jotzm26md7pzdy2gn474chqt,RCM,41cdf91a-d2ec-47c8-9ab9-0fa312e61ae1,btk54zcps9pizk65pevt2pzis,ACH,1,665174,51ymbnikkta369rn3exb1g7bo,A. Moro,LCM,False,False,True,True,False,False,False,0,False,False,False,9478,9479,379.12,379.16,6,6,19,19,2025-07-19,Horsens vs Aarhus Fremad
23,115869,P. Olsen,8jotzm26md7pzdy2gn474chqt,RCM,41cdf91a-d2ec-47c8-9ab9-0fa312e61ae1,btk54zcps9pizk65pevt2pzis,ACH,1,115869,8jotzm26md7pzdy2gn474chqt,P. Olsen,RCM,False,False,True,True,False,False,False,0,False,False,False,9547,9557,381.88,382.28,6,6,21,22,2025-07-19,Horsens vs Aarhus Fremad
24,115869,P. Olsen,8jotzm26md7pzdy2gn474chqt,RCM,41cdf91a-d2ec-47c8-9ab9-0fa312e61ae1,btk54zcps9pizk65pevt2pzis,ACH,1,68250,8uhv14rin2znrr0wqgvcc2f2t,M. Delac,GK,False,False,True,False,False,False,False,0,False,False,True,9590,9593,383.6,383.72,6,6,23,23,2025-07-19,Horsens vs Aarhus Fremad
25,115869,P. Olsen,8jotzm26md7pzdy2gn474chqt,RCM,41cdf91a-d2ec-47c8-9ab9-0fa312e61ae1,btk54zcps9pizk65pevt2pzis,ACH,1,450034,4lxxyqy78jkglhv2w6crzcnsa,O. Kolskogen,CB,False,False,True,True,False,False,False,0,False,False,False,9622,9625,384.88,385.0,6,6,24,25,2025-07-19,Horsens vs Aarhus Fremad
26,115869,P. Olsen,8jotzm26md7pzdy2gn474chqt,RCM,41cdf91a-d2ec-47c8-9ab9-0fa312e61ae1,btk54zcps9pizk65pevt2pzis,ACH,1,115869,8jotzm26md7pzdy2gn474chqt,P. Olsen,RCM,False,False,False,False,False,False,False,0,False,False,True,9656,9682,386.24,387.28,6,6,26,27,2025-07-19,Horsens vs Aarhus Fremad
27,115869,P. Olsen,8jotzm26md7pzdy2gn474chqt,RCM,41cdf91a-d2ec-47c8-9ab9-0fa312e61ae1,btk54zcps9pizk65pevt2pzis,ACH,1,621941,4i0jiisff5k1efcgf27skpqfo,F. Roslyng,LCB,False,False,False,False,False,False,False,0,False,False,True,9750,9812,390.0,392.48,6,6,30,32,2025-07-19,Horsens vs Aarhus Fremad
28,115869,P. Olsen,8jotzm26md7pzdy2gn474chqt,RCM,41cdf91a-d2ec-47c8-9ab9-0fa312e61ae1,btk54zcps9pizk65pevt2pzis,ACH,1,469334,3ylgelxr6ssp42hidfnchqp2i,K. Kirkegaard,LW,True,False,False,False,True,False,False,0,False,False,True,9839,9933,393.56,397.32,6,6,33,37,2025-07-19,Horsens vs Aarhus Fremad
29,115869,P. Olsen,8jotzm26md7pzdy2gn474chqt,RCM,41cdf91a-d2ec-47c8-9ab9-0fa312e61ae1,btk54zcps9pizk65pevt2pzis,ACH,1,665174,51ymbnikkta369rn3exb1g7bo,A. Moro,LCM,True,False,True,False,False,False,False,0,False,False,True,9964,9987,398.56,399.48,6,6,38,39,2025-07-19,Horsens vs Aarhus Fremad
30,115869,P. Olsen,8jotzm26md7pzdy2gn474chqt,RCM,41cdf91a-d2ec-47c8-9ab9-0fa312e61ae1,btk54zcps9pizk65pevt2pzis,ACH,1,428573,ca1b5707pdpx0ucug40ggnahh,F. Brandhof,RW,False,False,True,True,False,False,False,0,False,False,False,10016,10026,400.64,401.04,6,6,40,41,2025-07-19,Horsens vs Aarhus Fremad
31,115869,P. Olsen,8jotzm26md7pzdy2gn474chqt,RCM,41cdf91a-d2ec-47c8-9ab9-0fa312e61ae1,btk54zcps9pizk65pevt2pzis,ACH,1,115869,8jotzm26md7pzdy2gn474chqt,P. Olsen,RCM,True,False,True,True,False,False,False,0,False,False,True,10048,10368,401.92,414.72,6,6,41,54,2025-07-19,Horsens vs Aarhus Fremad
32,115869,P. Olsen,8jotzm26md7pzdy2gn474chqt,RCM,41cdf91a-d2ec-47c8-9ab9-0fa312e61ae1,btk54zcps9pizk65pevt2pzis,ACH,1,608743,6qko3f8w2ap9ynbuq2g55i5n8,S. Doua,RWB,False,False,False,False,True,False,False,0,False,False,False,10388,10390,415.52,415.6,6,6,55,55,2025-07-19,Horsens vs Aarhus Fremad
33,115869,P. Olsen,8jotzm26md7pzdy2gn474chqt,RCM,41cdf91a-d2ec-47c8-9ab9-0fa312e61ae1,btk54zcps9pizk65pevt2pzis,ACH,1,428573,ca1b5707pdpx0ucug40ggnahh,F. Brandhof,RW,False,False,True,False,True,False,False,0,False,False,False,10414,10427,416.56,417.08,6,6,56,57,2025-07-19,Horsens vs Aarhus Fremad
34,115869,P. Olsen,8jotzm26md7pzdy2gn474chqt,RCM,41cdf91a-d2ec-47c8-9ab9-0fa312e61ae1,btk54zcps9pizk65pevt2pzis,ACH,1,608743,6qko3f8w2ap9ynbuq2g55i5n8,S. Doua,RWB,False,False,True,False,True,False,False,0,False,False,False,10448,10463,417.92,418.52,6,6,57,58,2025-07-19,Horsens vs Aarhus Fremad
35,115869,P. Olsen,8jotzm26md7pzdy2gn474chqt,RCM,41cdf91a-d2ec-47c8-9ab9-0fa312e61ae1,btk54zcps9pizk65pevt2pzis,ACH,1,115869,8jotzm26md7pzdy2gn474chqt,P. Olsen,RCM,False,False,False,True,False,False,False,0,False,False,False,10482,10484,419.28,419.36,6,6,59,59,2025-07-19,Horsens vs Aarhus Fremad
36,115869,P. Olsen,8jotzm26md7pzdy2gn474chqt,RCM,41cdf91a-d2ec-47c8-9ab9-0fa312e61ae1,btk54zcps9pizk65pevt2pzis,ACH,1,428573,ca1b5707pdpx0ucug40ggnahh,F. Brandhof,RW,False,False,False,False,False,True,False,3,False,False,False,10672,10694,426.88,427.76,7,7,6,7,2025-07-19,Horsens vs Aarhus Fremad
37,115869,P. Olsen,8jotzm26md7pzdy2gn474chqt,RCM,41cdf91a-d2ec-47c8-9ab9-0fa312e61ae1,btk54zcps9pizk65pevt2pzis,ACH,1,428793,9cg2dx19fx5be3zewtmx97e95,I. Milicevic,LWB,False,False,False,False,True,False,False,4,True,False,False,10751,10753,430.04,430.12,7,7,10,10,2025-07-19,Horsens vs Aarhus Fremad
38,115869,P. Olsen,8jotzm26md7pzdy2gn474chqt,RCM,41cdf91a-d2ec-47c8-9ab9-0fa312e61ae1,btk54zcps9pizk65pevt2pzis,ACH,1,115869,8jotzm26md7pzdy2gn474chqt,P. Olsen,RCM,True,False,True,False,False,False,False,1,False,False,True,10874,10928,434.96,437.12,7,7,14,17,2025-07-19,Horsens vs Aarhus Fremad
39,115869,P. Olsen,8jotzm26md7pzdy2gn474chqt,RCM,41cdf91a-d2ec-47c8-9ab9-0fa312e61ae1,btk54zcps9pizk65pevt2pzis,ACH,1,428573,ca1b5707pdpx0ucug40ggnahh,F. Brandhof,RW,True,True,False,False,True,False,False,3,False,False,True,10959,11017,438.36,440.68,7,7,18,20,2025-07-19,Horsens vs Aarhus Fremad
40,115869,P. Olsen,8jotzm26md7pzdy2gn474chqt,RCM,41cdf91a-d2ec-47c8-9ab9-0fa312e61ae1,btk54zcps9pizk65pevt2pzis,ACH,1,469334,3ylgelxr6ssp42hidfnchqp2i,K. Kirkegaard,LW,False,False,True,False,True,False,True,4,True,True,False,11056,11112,442.24,444.48,7,7,22,24,2025-07-19,Horsens vs Aarhus Fremad
41,115869,P. Olsen,8jotzm26md7pzdy2gn474chqt,RCM,41cdf91a-d2ec-47c8-9ab9-0fa312e61ae1,btk54zcps9pizk65pevt2pzis,ACH,1,115869,8jotzm26md7pzdy2gn474chqt,P. Olsen,RCM,False,False,True,False,True,True,False,4,True,False,False,11138,11186,445.52,447.44,7,7,25,27,2025-07-19,Horsens vs Aarhus Fremad
42,115869,P. Olsen,8jotzm26md7pzdy2gn474chqt,RCM,41cdf91a-d2ec-47c8-9ab9-0fa312e61ae1,btk54zcps9pizk65pevt2pzis,ACH,1,428573,ca1b5707pdpx0ucug40ggnahh,F. Brandhof,RW,False,False,False,False,False,False,False,4,False,False,True,11205,11267,448.2,450.68,7,7,28,30,2025-07-19,Horsens vs Aarhus Fremad
43,115869,P. Olsen,8jotzm26md7pzdy2gn474chqt,RCM,41cdf91a-d2ec-47c8-9ab9-0fa312e61ae1,btk54zcps9pizk65pevt2pzis,ACH,1,608743,6qko3f8w2ap9ynbuq2g55i5n8,S. Doua,RWB,False,False,False,False,False,False,True,4,True,False,False,11289,11290,451.56,451.6,7,7,31,31,2025-07-19,Horsens vs Aarhus Fremad
44,115869,P. Olsen,8jotzm26md7pzdy2gn474chqt,RCM,41cdf91a-d2ec-47c8-9ab9-0fa312e61ae1,btk54zcps9pizk65pevt2pzis,ACH,1,665174,51ymbnikkta369rn3exb1g7bo,A. Moro,LCM,False,False,True,True,False,False,False,2,False,False,True,12461,12484,498.44,499.36,8,8,18,19,2025-07-19,Horsens vs Aarhus Fremad
45,115869,P. Olsen,8jotzm26md7pzdy2gn474chqt,RCM,41cdf91a-d2ec-47c8-9ab9-0fa312e61ae1,btk54zcps9pizk65pevt2pzis,ACH,1,115869,8jotzm26md7pzdy2gn474chqt,P. Olsen,RCM,True,False,False,True,False,False,False,1,False,False,True,12505,12528,500.2,501.12,8,8,20,21,2025-07-19,Horsens vs Aarhus Fremad
46,115869,P. Olsen,8jotzm26md7pzdy2gn474chqt,RCM,41cdf91a-d2ec-47c8-9ab9-0fa312e61ae1,btk54zcps9pizk65pevt2pzis,ACH,1,428793,9cg2dx19fx5be3zewtmx97e95,I. Milicevic,LWB,False,False,False,False,False,False,False,2,False,False,True,12642,12707,505.68,508.28,8,8,25,28,2025-07-19,Horsens vs Aarhus Fremad
47,115869,P. Olsen,8jotzm26md7pzdy2gn474chqt,RCM,41cdf91a-d2ec-47c8-9ab9-0fa312e61ae1,btk54zcps9pizk65pevt2pzis,ACH,1,621941,4i0jiisff5k1efcgf27skpqfo,F. Roslyng,LCB,False,False,False,False,True,False,False,0,False,False,False,13002,13006,520.08,520.24,8,8,40,40,2025-07-19,Horsens vs Aarhus Fremad
48,115869,P. Olsen,8jotzm26md7pzdy2gn474chqt,RCM,41cdf91a-d2ec-47c8-9ab9-0fa312e61ae1,btk54zcps9pizk65pevt2pzis,ACH,1,115869,8jotzm26md7pzdy2gn474chqt,P. Olsen,RCM,False,False,True,False,False,False,False,0,False,False,True,13171,13174,526.84,526.96,8,8,46,46,2025-07-19,Horsens vs Aarhus Fremad
49,115869,P. Olsen,8jotzm26md7pzdy2gn474chqt,RCM,41cdf91a-d2ec-47c8-9ab9-0fa312e61ae1,btk54zcps9pizk65pevt2pzis,ACH,1,665174,51ymbnikkta369rn3exb1g7bo,A. Moro,LCM,False,False,False,False,False,False,False,0,False,False,True,13233,13257,529.32,530.28,8,8,49,50,2025-07-19,Horsens vs Aarhus Fremad
50,115869,P. Olsen,8jotzm26md7pzdy2gn474chqt,RCM,41cdf91a-d2ec-47c8-9ab9-0fa312e61ae1,btk54zcps9pizk65pevt2pzis,ACH,1,450034,4lxxyqy78jkglhv2w6crzcnsa,O. Kolskogen,CB,False,False,False,False,False,False,False,0,False,False,True,13281,13345,531.24,533.8,8,8,51,53,2025-07-19,Horsens vs Aarhus Fremad
51,115869,P. Olsen,8jotzm26md7pzdy2gn474chqt,RCM,41cdf91a-d2ec-47c8-9ab9-0fa312e61ae1,btk54zcps9pizk65pevt2pzis,ACH,1,428573,ca1b5707pdpx0ucug40ggnahh,F. Brandhof,RW,True,False,False,True,False,False,False,0,False,False,True,13379,13386,535.16,535.44,8,8,55,55,2025-07-19,Horsens vs Aarhus Fremad
52,115869,P. Olsen,8jotzm26md7pzdy2gn474chqt,RCM,41cdf91a-d2ec-47c8-9ab9-0fa312e61ae1,btk54zcps9pizk65pevt2pzis,ACH,1,249137,5lu7bn7uec3zjqpoi1x81gbu1,S. Hausner,RCB,True,False,False,False,True,False,False,0,False,False,True,13420,13530,536.8,541.2,8,9,56,1,2025-07-19,Horsens vs Aarhus Fremad
53,115869,P. Olsen,8jotzm26md7pzdy2gn474chqt,RCM,41cdf91a-d2ec-47c8-9ab9-0fa312e61ae1,btk54zcps9pizk65pevt2pzis,ACH,1,224123,3epwf56ozg73hueacwmckk0r9,S. Pingel,CF,False,False,False,False,False,False,True,0,False,False,False,13551,13552,542.04,542.08,9,9,2,2,2025-07-19,Horsens vs Aarhus Fremad
54,115869,P. Olsen,8jotzm26md7pzdy2gn474chqt,RCM,41cdf91a-d2ec-47c8-9ab9-0fa312e61ae1,btk54zcps9pizk65pevt2pzis,ACH,1,115869,8jotzm26md7pzdy2gn474chqt,P. Olsen,RCM,False,False,True,True,False,False,False,1,False,False,True,13723,13780,548.92,551.2,9,9,8,11,2025-07-19,Horsens vs Aarhus Fremad
55,115869,P. Olsen,8jotzm26md7pzdy2gn474chqt,RCM,41cdf91a-d2ec-47c8-9ab9-0fa312e61ae1,btk54zcps9pizk65pevt2pzis,ACH,1,469334,3ylgelxr6ssp42hidfnchqp2i,K. Kirkegaard,LW,False,False,True,False,True,False,False,0,False,False,False,13799,13799,551.96,551.96,9,9,11,11,2025-07-19,Horsens vs Aarhus Fremad
56,115869,P. Olsen,8jotzm26md7pzdy2gn474chqt,RCM,41cdf91a-d2ec-47c8-9ab9-0fa312e61ae1,btk54zcps9pizk65pevt2pzis,ACH,1,115869,8jotzm26md7pzdy2gn474chqt,P. Olsen,RCM,False,False,True,True,False,False,False,0,False,False,False,13828,13891,553.12,555.64,9,9,13,15,2025-07-19,Horsens vs Aarhus Fremad
57,115869,P. Olsen,8jotzm26md7pzdy2gn474chqt,RCM,41cdf91a-d2ec-47c8-9ab9-0fa312e61ae1,btk54zcps9pizk65pevt2pzis,ACH,1,68250,8uhv14rin2znrr0wqgvcc2f2t,M. Delac,GK,False,False,False,False,False,False,False,0,False,True,True,14502,14528,580.08,581.12,9,9,40,41,2025-07-19,Horsens vs Aarhus Fremad
58,115869,P. Olsen,8jotzm26md7pzdy2gn474chqt,RCM,41cdf91a-d2ec-47c8-9ab9-0fa312e61ae1,btk54zcps9pizk65pevt2pzis,ACH,1,450034,4lxxyqy78jkglhv2w6crzcnsa,O. Kolskogen,CB,False,False,False,False,False,False,False,0,False,False,True,14560,14587,582.4,583.48,9,9,42,43,2025-07-19,Horsens vs Aarhus Fremad
59,115869,P. Olsen,8jotzm26md7pzdy2gn474chqt,RCM,41cdf91a-d2ec-47c8-9ab9-0fa312e61ae1,btk54zcps9pizk65pevt2pzis,ACH,1,665174,51ymbnikkta369rn3exb1g7bo,A. Moro,LCM,False,False,False,False,False,False,False,0,False,True,True,14609,14686,584.36,587.44,9,9,44,47,2025-07-19,Horsens vs Aarhus Fremad
60,115869,P. Olsen,8jotzm26md7pzdy2gn474chqt,RCM,41cdf91a-d2ec-47c8-9ab9-0fa312e61ae1,btk54zcps9pizk65pevt2pzis,ACH,1,249137,5lu7bn7uec3zjqpoi1x81gbu1,S. Hausner,RCB,False,False,False,True,False,False,False,0,False,False,True,14720,14763,588.8,590.52,9,9,48,50,2025-07-19,Horsens vs Aarhus Fremad
61,115869,P. Olsen,8jotzm26md7pzdy2gn474chqt,RCM,41cdf91a-d2ec-47c8-9ab9-0fa312e61ae1,btk54zcps9pizk65pevt2pzis,ACH,1,608743,6qko3f8w2ap9ynbuq2g55i5n8,S. Doua,RWB,False,False,False,False,False,False,False,0,False,False,False,14785,14786,591.4,591.44,9,9,51,51,2025-07-19,Horsens vs Aarhus Fremad
62,115869,P. Olsen,8jotzm26md7pzdy2gn474chqt,RCM,41cdf91a-d2ec-47c8-9ab9-0fa312e61ae1,btk54zcps9pizk65pevt2pzis,ACH,1,428793,9cg2dx19fx5be3zewtmx97e95,I. Milicevic,LWB,True,False,False,False,True,False,True,0,False,False,True,14949,14971,597.96,598.84,9,9,57,58,2025-07-19,Horsens vs Aarhus Fremad
63,115869,P. Olsen,8jotzm26md7pzdy2gn474chqt,RCM,41cdf91a-d2ec-47c8-9ab9-0fa312e61ae1,btk54zcps9pizk65pevt2pzis,ACH,1,621941,4i0jiisff5k1efcgf27skpqfo,F. Roslyng,LCB,False,False,True,True,False,False,False,0,False,False,False,16065,16089,642.6,643.56,10,10,42,43,2025-07-19,Horsens vs Aarhus Fremad
64,115869,P. Olsen,8jotzm26md7pzdy2gn474chqt,RCM,41cdf91a-d2ec-47c8-9ab9-0fa312e61ae1,btk54zcps9pizk65pevt2pzis,ACH,1,428573,ca1b5707pdpx0ucug40ggnahh,F. Brandhof,RW,True,False,False,False,False,False,False,0,False,False,True,16214,16293,648.56,651.72,10,10,48,51,2025-07-19,Horsens vs Aarhus Fremad
65,115869,P. Olsen,8jotzm26md7pzdy2gn474chqt,RCM,41cdf91a-d2ec-47c8-9ab9-0fa312e61ae1,btk54zcps9pizk65pevt2pzis,ACH,1,224123,3epwf56ozg73hueacwmckk0r9,S. Pingel,CF,False,False,False,False,False,True,False,0,False,False,False,16364,16367,654.56,654.68,10,10,54,54,2025-07-19,Horsens vs Aarhus Fremad
66,115869,P. Olsen,8jotzm26md7pzdy2gn474chqt,RCM,41cdf91a-d2ec-47c8-9ab9-0fa312e61ae1,btk54zcps9pizk65pevt2pzis,ACH,1,608743,6qko3f8w2ap9ynbuq2g55i5n8,S. Doua,RWB,True,False,False,False,False,False,False,0,False,False,True,16397,16464,655.88,658.56,10,10,55,58,2025-07-19,Horsens vs Aarhus Fremad
67,115869,P. Olsen,8jotzm26md7pzdy2gn474chqt,RCM,41cdf91a-d2ec-47c8-9ab9-0fa312e61ae1,btk54zcps9pizk65pevt2pzis,ACH,1,665174,51ymbnikkta369rn3exb1g7bo,A. Moro,LCM,True,False,False,False,False,False,False,0,False,False,True,16500,16596,660.0,663.84,11,11,0,3,2025-07-19,Horsens vs Aarhus Fremad
68,115869,P. Olsen,8jotzm26md7pzdy2gn474chqt,RCM,41cdf91a-d2ec-47c8-9ab9-0fa312e61ae1,btk54zcps9pizk65pevt2pzis,ACH,1,428573,ca1b5707pdpx0ucug40ggnahh,F. Brandhof,RW,True,False,True,True,False,False,False,0,False,False,True,16610,16656,664.4,666.24,11,11,4,6,2025-07-19,Horsens vs Aarhus Fremad
69,115869,P. Olsen,8jotzm26md7pzdy2gn474chqt,RCM,41cdf91a-d2ec-47c8-9ab9-0fa312e61ae1,btk54zcps9pizk65pevt2pzis,ACH,1,115869,8jotzm26md7pzdy2gn474chqt,P. Olsen,RCM,False,False,False,False,False,False,False,0,False,False,True,16690,16703,667.6,668.12,11,11,7,8,2025-07-19,Horsens vs Aarhus Fremad
