player_matchName,player_playerId,contestantId,team_name,duelLost,aerialLost,player_position,player_positionSide,player_subPosition,successfulOpenPlayPass,totalContest,duelWon,penAreaEntries,accurateBackZonePass,possWonDef3rd,wonContest,accurateFwdZonePass,openPlayPass,totalBackZonePass,minsPlayed,fwdPass,finalThirdEntries,ballRecovery,totalFwdZonePass,successfulFinalThirdPasses,totalFinalThirdPasses,attAssistOpenplay,aerialWon,totalAttAssist,possWonMid3rd,interception,totalCrossNocorner,interceptionWon,attOpenplay,touchesInOppBox,attemptsIbox,totalThroughBall,possWonAtt3rd,accurateCrossNocorner,bigChanceCreated,accurateThroughBall,totalLayoffs,accurateLayoffs,totalFastbreak,shotFastbreak,formationUsed,label,match_id,date,totalLongBalls,accurateCrossNocorner,totalCross,possLostAll,goals,attemptsConcededIbox,goalAssist
M. Jensen,619s1phj5bkgkug3aszc1y9cl,8cfkisxf1fkxdqtt6tx1tup48,HB Køge,1,NaN,Substitute,NaN,Midfielder,12,1,1,1,6,1,NaN,6,16,6,28,3,2,4,11,1,4,1,NaN,1,3,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,343,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,2025-07-18,3,NaN,1,8,NaN,4,NaN
V. Sørensen,egxik3guom123v43rthy89c7o,8cfkisxf1fkxdqtt6tx1tup48,HB Køge,NaN,NaN,Substitute,NaN,Midfielder,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,343,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,2025-07-18,NaN,NaN,NaN,NaN,NaN,NaN,NaN
M. Salah,5jv4a1295xd5oonpj9w9fy61g,8cfkisxf1fkxdqtt6tx1tup48,HB Køge,NaN,NaN,Substitute,NaN,Attacker,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,343,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,2025-07-18,NaN,NaN,NaN,NaN,NaN,NaN,NaN
N. Sømmergaard,bwxxfcjd31gykfbpomwr1od90,8cfkisxf1fkxdqtt6tx1tup48,HB Køge,NaN,NaN,Substitute,NaN,Goalkeeper,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,343,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,2025-07-18,NaN,NaN,NaN,NaN,NaN,NaN,NaN
J. Dakir,9yxhg70gpwi3e9s84c8qwg0yx,b2vft81kyjurzbmekvgrqwr64,Hobro,1,NaN,Goalkeeper,Centre,NaN,14,NaN,NaN,NaN,19,2,NaN,1,23,20,90,20,6,10,11,NaN,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,352,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,2025-07-18,13,NaN,NaN,11,NaN,6,NaN
F. Dietz,ebd3uvtt54wkdsahc2127j02c,b2vft81kyjurzbmekvgrqwr64,Hobro,5,NaN,Defender,Left/Centre,NaN,86,NaN,8,6,55,5,NaN,32,97,59,90,36,10,7,40,8,14,1,5,1,2,2,1,2,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,352,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,2025-07-18,11,NaN,1,14,NaN,6,NaN
M. Jacobsen,6bv0j0ezhh9u5u5hqz64p790q,b2vft81kyjurzbmekvgrqwr64,Hobro,2,NaN,Defender,Centre,NaN,91,NaN,3,1,73,3,NaN,19,98,75,90,18,4,5,24,NaN,4,NaN,1,NaN,2,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,352,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,2025-07-18,8,NaN,NaN,8,NaN,6,NaN
E. Søgaard,cflwegqpzch8y30pb3dhigqnd,b2vft81kyjurzbmekvgrqwr64,Hobro,2,1,Defender,Centre/Right,NaN,92,NaN,3,2,55,2,NaN,40,102,59,90,49,10,3,46,13,16,NaN,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,352,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,2025-07-18,10,NaN,NaN,11,NaN,6,NaN
L. Klitten,ea2x4o6ufsqoz2zz7tqcnvo16,b2vft81kyjurzbmekvgrqwr64,Hobro,NaN,NaN,Midfielder,Left,NaN,38,1,2,8,20,1,1,22,49,22,80,12,7,2,34,10,16,1,NaN,1,1,1,3,1,1,1,1,1,NaN,1,NaN,1,NaN,NaN,NaN,NaN,352,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,2025-07-18,4,1,5,14,NaN,3,NaN
V. Rasmussen,dwuxps3jv2852642q000wep6,b2vft81kyjurzbmekvgrqwr64,Hobro,2,NaN,Midfielder,Left/Centre,NaN,14,2,7,1,9,NaN,2,5,16,10,67,5,1,NaN,7,4,5,NaN,1,NaN,NaN,NaN,1,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,1,1,NaN,NaN,352,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,2025-07-18,1,NaN,1,7,NaN,3,NaN
T. Hansen,e0rgqk3gxzs005m9ok9hvp1ck,b2vft81kyjurzbmekvgrqwr64,Hobro,3,2,Midfielder,Centre,NaN,50,NaN,8,1,26,1,NaN,25,58,30,88,16,9,4,29,10,11,1,6,1,3,1,NaN,1,NaN,1,NaN,NaN,NaN,NaN,1,NaN,2,2,NaN,NaN,352,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,2025-07-18,3,NaN,NaN,10,NaN,5,NaN
O. Klitten,e19g5bz7s9wqcvj8mttztxi0a,b2vft81kyjurzbmekvgrqwr64,Hobro,3,NaN,Midfielder,Centre/Right,NaN,33,3,5,1,15,1,NaN,18,43,16,90,14,7,5,27,7,14,1,3,1,4,NaN,NaN,NaN,3,5,3,NaN,NaN,NaN,1,NaN,2,2,NaN,NaN,352,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,2025-07-18,3,NaN,NaN,14,NaN,6,NaN
M. Nielsen,8q8yol44e42o9hwttlopznvh0,b2vft81kyjurzbmekvgrqwr64,Hobro,3,1,Midfielder,Right,NaN,22,2,2,2,14,2,NaN,9,31,19,90,9,2,8,15,2,4,2,1,2,5,NaN,3,NaN,NaN,2,NaN,NaN,1,1,NaN,NaN,NaN,NaN,NaN,NaN,352,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,2025-07-18,1,1,3,14,NaN,6,NaN
M. Bruhn,8gqvlydur0v4cpmz1ozqkejh0,b2vft81kyjurzbmekvgrqwr64,Hobro,6,4,Striker,Left/Centre,NaN,12,NaN,4,NaN,6,NaN,NaN,9,16,7,80,2,3,NaN,12,6,9,NaN,4,NaN,NaN,NaN,NaN,NaN,1,4,1,NaN,NaN,NaN,NaN,NaN,2,2,NaN,NaN,352,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,2025-07-18,NaN,NaN,NaN,10,NaN,3,NaN
S. Andreasen,4qyfoq5fjiochtj89w426lm21,b2vft81kyjurzbmekvgrqwr64,Hobro,3,1,Striker,Centre/Right,NaN,9,2,3,2,2,NaN,1,7,13,3,66,4,4,2,10,3,6,NaN,NaN,NaN,2,NaN,NaN,NaN,2,1,1,NaN,NaN,NaN,NaN,NaN,1,1,NaN,NaN,352,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,2025-07-18,NaN,NaN,NaN,7,NaN,3,NaN
M. Boye,5jyv1dctfxa6335l1mlifwavo,b2vft81kyjurzbmekvgrqwr64,Hobro,2,2,Substitute,NaN,Attacker,2,NaN,2,1,NaN,NaN,NaN,2,2,NaN,23,1,NaN,NaN,2,1,1,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,4,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,352,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,2025-07-18,NaN,NaN,NaN,2,NaN,3,NaN
Z. Hyltoft,b0yv1pcxifawqx6r1cfqq3otm,b2vft81kyjurzbmekvgrqwr64,Hobro,NaN,NaN,Substitute,NaN,Midfielder,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,352,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,2025-07-18,NaN,NaN,NaN,NaN,NaN,NaN,NaN
M. Kannegaard,3sog1gsk11bwwrf7l7wm2j7dg,b2vft81kyjurzbmekvgrqwr64,Hobro,NaN,NaN,Substitute,NaN,Defender,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,352,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,2025-07-18,NaN,NaN,NaN,NaN,NaN,NaN,NaN
M. Pedersen,9xub4z9b3bog8wqhn5yfihecp,b2vft81kyjurzbmekvgrqwr64,Hobro,1,NaN,Substitute,NaN,Midfielder,13,1,3,5,4,NaN,1,12,13,4,24,2,3,NaN,14,5,5,NaN,NaN,2,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,1,1,NaN,NaN,NaN,NaN,NaN,352,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,2025-07-18,1,1,5,3,NaN,3,NaN
A. Nathan,beu3ypladd5dexnm9x946kjkk,b2vft81kyjurzbmekvgrqwr64,Hobro,1,NaN,Substitute,NaN,Midfielder,2,1,NaN,NaN,NaN,NaN,NaN,2,2,NaN,2,1,1,NaN,2,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,352,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,2025-07-18,NaN,NaN,NaN,1,NaN,1,NaN
O. Meedom,4dmz3u7j1eoz4ofr1o8tbxedw,b2vft81kyjurzbmekvgrqwr64,Hobro,3,1,Substitute,NaN,Attacker,6,1,1,NaN,3,NaN,NaN,3,9,4,10,2,1,NaN,5,2,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,352,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,2025-07-18,1,NaN,NaN,4,NaN,3,NaN
A. Bryld,izewe5fthjad6hv14xgpm3v8,b2vft81kyjurzbmekvgrqwr64,Hobro,NaN,NaN,Substitute,NaN,Midfielder,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,352,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,2025-07-18,NaN,NaN,NaN,NaN,NaN,NaN,NaN
V. Schmølker,2f0p63eeg2yc4jsyotle88q38,b2vft81kyjurzbmekvgrqwr64,Hobro,4,2,Substitute,NaN,Midfielder,3,2,1,1,2,NaN,1,2,3,2,10,NaN,NaN,1,2,NaN,NaN,1,NaN,1,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,352,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,2025-07-18,1,1,1,1,NaN,3,NaN
A. Søndergaard,dxv40hh07gxq4hn0i6dwb2l4a,b2vft81kyjurzbmekvgrqwr64,Hobro,NaN,NaN,Substitute,NaN,Goalkeeper,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,352,HB Køge vs Hobro,brnzj43frth2y4gjyeex6n5lg,2025-07-18,NaN,NaN,NaN,NaN,NaN,NaN,NaN
A. Ravn,4qz1pnlx3d0m5wkhpocl0euj8,8gxd9ry2580pu1b1dd5ny9ymy,Hvidovre,NaN,NaN,Goalkeeper,Centre,NaN,20,NaN,2,NaN,21,2,NaN,4,25,26,90,19,2,13,5,2,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,,442,Hvidovre vs B 93,bsnoje72zc76mcdjiutfqzthw,2025-07-18,14,NaN,NaN,6,NaN,6,NaN
N. Clausen,6dzg820946z4848whaa6ny2nd,8gxd9ry2580pu1b1dd5ny9ymy,Hvidovre,1,NaN,Defender,Left,NaN,18,NaN,6,12,13,2,NaN,9,31,15,90,21,16,7,24,6,16,NaN,3,NaN,4,1,3,1,NaN,NaN,NaN,NaN,1,1,NaN,,NaN,NaN,,,442,Hvidovre vs B 93,bsnoje72zc76mcdjiutfqzthw,2025-07-18,10,1,6,23,NaN,6,NaN
D. Stenderup,a30gduuv9d1s4pkthgu2jhyol,8gxd9ry2580pu1b1dd5ny9ymy,Hvidovre,1,NaN,Defender,Left/Centre,NaN,47,NaN,1,3,43,2,NaN,11,61,47,90,33,10,3,22,3,10,NaN,NaN,NaN,1,3,1,3,NaN,NaN,NaN,1,NaN,1,NaN,,NaN,NaN,,,442,Hvidovre vs B 93,bsnoje72zc76mcdjiutfqzthw,2025-07-18,16,1,1,18,NaN,6,NaN
N. Jungvig,3pk6hii2s8tbv2zux8mvbapec,8gxd9ry2580pu1b1dd5ny9ymy,Hvidovre,1,NaN,Defender,Centre/Right,NaN,40,NaN,8,1,26,5,NaN,14,47,28,90,24,7,6,19,4,7,NaN,3,1,1,1,NaN,1,NaN,1,NaN,NaN,NaN,NaN,1,,NaN,NaN,,,442,Hvidovre vs B 93,bsnoje72zc76mcdjiutfqzthw,2025-07-18,11,NaN,NaN,8,NaN,6,1
A. Iljazovski,bfvdr7ckiersz26ya2kq9f1g4,8gxd9ry2580pu1b1dd5ny9ymy,Hvidovre,5,1,Defender,Right,NaN,22,3,7,4,10,2,2,15,31,11,90,11,5,5,25,6,8,3,2,3,2,1,4,1,NaN,1,NaN,NaN,1,2,2,,NaN,NaN,,,442,Hvidovre vs B 93,bsnoje72zc76mcdjiutfqzthw,2025-07-18,4,2,4,15,NaN,6,NaN
J. Singh,2cup1vjw8n43kbzzxfflnmplg,8gxd9ry2580pu1b1dd5ny9ymy,Hvidovre,NaN,NaN,Midfielder,Left,NaN,10,2,5,4,5,NaN,2,7,11,5,70,3,NaN,3,9,2,3,1,NaN,1,1,NaN,3,NaN,NaN,1,NaN,NaN,2,2,NaN,,2,2,,,442,Hvidovre vs B 93,bsnoje72zc76mcdjiutfqzthw,2025-07-18,1,2,3,5,NaN,5,NaN
A. Okosun,a7eramyy1bd8msxmg84ctc8ut,8gxd9ry2580pu1b1dd5ny9ymy,Hvidovre,2,NaN,Midfielder,Left/Centre,NaN,27,NaN,2,NaN,18,1,NaN,10,32,19,59,5,4,4,14,5,8,1,1,1,2,NaN,NaN,NaN,NaN,3,1,NaN,1,NaN,NaN,,3,3,,,442,Hvidovre vs B 93,bsnoje72zc76mcdjiutfqzthw,2025-07-18,2,NaN,NaN,6,1,2,NaN
F. Krogstad,dm6xpphbyyooqriwaambi7njd,8gxd9ry2580pu1b1dd5ny9ymy,Hvidovre,3,1,Midfielder,Centre/Right,NaN,43,NaN,4,1,21,4,NaN,22,50,22,90,14,5,6,29,9,11,NaN,1,NaN,2,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,,442,Hvidovre vs B 93,bsnoje72zc76mcdjiutfqzthw,2025-07-18,4,NaN,1,9,NaN,6,NaN
J. Adjei-Broni,1cumsropo1r0msfzxxteml1w,8gxd9ry2580pu1b1dd5ny9ymy,Hvidovre,6,NaN,Midfielder,Right,NaN,8,4,6,NaN,2,2,1,6,13,3,59,4,2,3,11,3,7,NaN,1,NaN,1,NaN,1,NaN,NaN,4,NaN,NaN,NaN,NaN,NaN,,1,NaN,,,442,Hvidovre vs B 93,bsnoje72zc76mcdjiutfqzthw,2025-07-18,NaN,NaN,1,13,NaN,2,NaN
F. Høgh,9tt9eo9bsff7dp7aqjal1obo4,8gxd9ry2580pu1b1dd5ny9ymy,Hvidovre,4,2,Striker,Left/Centre,NaN,8,1,4,2,2,NaN,NaN,8,13,2,70,3,1,NaN,13,5,7,NaN,3,NaN,NaN,NaN,NaN,NaN,3,4,3,NaN,NaN,NaN,NaN,,3,2,,,442,Hvidovre vs B 93,bsnoje72zc76mcdjiutfqzthw,2025-07-18,NaN,NaN,NaN,8,NaN,5,NaN
A. Smed,dncrhma6gwcn6pxiu7hfc6qz8,8gxd9ry2580pu1b1dd5ny9ymy,Hvidovre,2,1,Striker,Centre/Right,NaN,11,NaN,1,3,3,1,NaN,8,17,6,90,7,2,3,13,6,8,2,NaN,2,2,1,1,1,NaN,2,NaN,NaN,NaN,NaN,NaN,,2,1,,,442,Hvidovre vs B 93,bsnoje72zc76mcdjiutfqzthw,2025-07-18,2,NaN,2,11,NaN,6,NaN
E. Aby,907vtkod58b7986k7u1619gr8,8gxd9ry2580pu1b1dd5ny9ymy,Hvidovre,1,1,Substitute,NaN,Attacker,4,NaN,1,NaN,1,NaN,NaN,3,5,1,31,1,NaN,NaN,4,2,2,1,1,1,NaN,NaN,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,1,,NaN,NaN,,,442,Hvidovre vs B 93,bsnoje72zc76mcdjiutfqzthw,2025-07-18,NaN,NaN,NaN,1,NaN,4,NaN
