team,team_side,ID,player_name,number,position,Distance_per90,Walking_per90,Jogging_per90,Running_per90,High Speed Running_per90,Sprinting_per90,No. of High Intensity Runs_per90,Sprint Distance TIP_per90,No. of High Intensity Runs TIP_per90,Distance OTIP_per90,HSR Distance OTIP_per90,Sprint Distance OTIP_per90,No. of High Intensity Runs OTIP_per90,Distance BOP_per90,HSR Distance BOP_per90,Sprint Distance BOP_per90,No. of High Intensity Runs BOP_per90,games
ARF,away,654926,Luka Callo,33,LCB,9567.992930522047,2860.6910994241325,4389.576122744656,1446.1200273709649,648.7760400086156,222.82964097367756,84.3898970591622,28.730533832029924,20.54803567098488,4080.2567821200746,436.0290045191556,178.47563689478739,57.91778482804586,1697.2696986619992,61.15919440226175,15.618988175147084,5.924076560131457,4
ARF,away,654926,Luka Callo,33,RCB,10236.614470464874,2665.138762670395,4794.967843411396,1766.9192590003497,675.7832925550507,333.8147500873821,131.17790982174066,153.6952114645229,59.454736106256554,3559.0643131772113,316.64837469416284,153.3554701153443,63.229639986018874,1688.646627053478,27.651170919259002,26.75463124781545,8.493533729465224,4
ARF,away,700991,Olafur Dan Hjaltason,20,LCB,9384.887006051582,3031.050427166168,4587.748165818643,1229.3756786330014,391.73256799177267,144.99116254750092,54.598076086277594,26.729782852062446,12.315331084331712,3218.911926811145,260.9646898807252,107.2294653262901,39.32270499369858,1995.7279790132177,19.19204407842636,11.02448332603233,2.9600400082473137,3
ARF,home,229228,Erik Nissen,5,CB,9346.392722833143,3101.388390049777,4376.159132793192,1180.9734043054432,477.7528716459446,210.11581630397868,82.25697296478525,23.6687988117349,19.169437884096258,3755.2407946007224,309.03364888658535,170.689661824971,58.23908570004888,1830.2147178644175,35.672296672217506,15.764881664229625,4.848449380640107,4
ARF,home,229228,Erik Nissen,5,SUB,10872.164147993746,2580.0828556539864,5145.927045336112,1977.5424700364772,826.3069306930691,342.30484627410107,147.7331943720688,120.84575299635226,45.02344971339239,4503.161021365294,569.6029181865555,213.5659197498697,101.30276185513289,1978.991662324127,13.070870244919227,7.893173527879103,1.4069828035435121,4
ARF,home,243724,Kasper Lunding,11,RW,10139.469772095874,3051.5535418209925,4246.718517807988,1401.9964761053318,963.9320643811443,475.2723116978431,130.0511171825158,257.71880197533216,64.67449955278218,3867.672478025915,485.89127365864266,208.09152875046289,58.86349461870356,2123.915815027056,61.16276518654743,9.461980972048087,6.513123011030079,3
ARF,home,421775,Magnus Kaastrup,7,LW,9610.45067696168,3165.0812547754504,4290.214501973752,1255.7233982806101,632.9074725041626,266.52716498172924,98.92248757294522,173.4826215384412,59.50495792607643,3681.6995025209876,208.6042069781597,83.95906493148449,34.44870796835236,1779.212293140392,39.96698076598518,9.086265297306936,4.968821678516412,6
ARF,home,454664,Simon Baekgaard,8,LCM,11225.01220332916,2490.20620398423,5330.950628698802,2136.3620591842723,884.2055894588754,383.2850947834084,142.66652561081386,148.88740253529858,60.75362730332505,4658.1822582380355,468.57197324931514,212.91913731557125,75.0325279708153,1831.87489038022,42.442763836343666,21.474895239078542,6.880370336673518,5
ARF,home,509203,Martin Agnarsson,3,LWB,10909.30769186449,2853.024380151079,4676.137776925718,1876.0267049074391,955.8239241079314,548.293788407647,145.08695895010968,273.18409234700437,73.65741531504118,4088.4836118720486,418.5720565297002,249.44949144471863,64.42319816165715,2203.0847664129215,57.90078522998839,25.661397968503522,7.006345473411333,8
ARF,home,552221,Kasper Nygaard Andersen,9,CF,11437.932368268766,2678.109536855812,5455.406029710219,1933.009746410655,908.2607783830264,463.1416325044152,148.38244852519688,269.651008823617,75.66871396313233,4544.361113125341,403.03093631006215,162.34427227202443,62.88707023605286,2080.9877975764357,66.41108768930592,31.144861589207533,9.826664326011675,7
ARF,home,552221,Kasper Nygaard Andersen,9,LCM,11309.8679245283,2674.8679245283015,5651.6509433962265,2045.7547169811319,746.1320754716979,191.46226415094338,70.75471698113206,115.83018867924528,41.50943396226415,3953.66037735849,302.9716981132075,69.17924528301886,28.30188679245283,2863.1981132075466,7.764150943396226,6.452830188679245,0.9433962264150942,7
ARF,home,552838,Marcus de Claville Berthelsen,21,RWB,11443.806736013677,2759.1726748621877,5464.2991919763635,1949.065051034048,834.3529104978747,436.91998141369413,134.4759497588134,175.90661117836507,54.373953954235766,4267.809674735282,409.23444490801995,209.28336243547497,64.7150540784791,2209.9432201203285,82.0222572459095,51.73000779985409,15.386941726098543,3
ARF,home,565383,Kasper Kiilerich,1,GK,4085.1031689237498,2550.0864023194326,1261.9985948663284,204.1306941450983,59.72807335117826,9.163346269017564,8.933383682019237,3.776983625120917,3.1368128392770656,1383.0316320108195,27.118254347443003,4.3450038917115785,4.2217294990705385,1035.096780478578,13.035907816005249,1.0413587521850682,1.574841343671633,7
ARF,home,574004,Jashar Beluli,70,CF,10847.010116731519,2948.988326848249,4996.169649805447,1856.5634241245139,729.1050583657587,316.1696498054475,109.26070038910505,194.24591439688712,64.43579766536965,3577.1813229571985,282.31284046692605,106.52918287937743,40.62256809338521,2215.4848249027236,76.4964980544747,15.39455252918288,4.202334630350195,1
ARF,home,596934,Elias Caspersen Egerton,28,RCM,10318.157801831625,2869.006054100534,4611.671399393294,1791.0647309525266,752.7905445353983,293.62507284987163,114.43910029389872,115.5970343799604,51.958007796062965,4062.4686609499227,368.62928268687756,163.76560924871455,56.577910892480396,1862.7005939630326,39.27211811610064,14.259099176796123,5.903181605355348,4
ARF,home,599133,Andreas Pisani Laugesen,4,CB,10221.181457371415,2923.1047705091314,4637.841752733626,1719.7665511726016,662.0246143714326,278.4487482389579,102.64606757411082,73.60324364399528,31.033505179351426,4237.0754812579735,438.77916954915486,190.58109488566123,65.90925682318684,1945.1972875763859,36.93467985567664,14.262104381432543,5.7033055715725505,4
ARF,home,599932,Mathias Nordestgaard Kubel,17,CF,10032.917030567685,3467.393807066296,4334.6951171099645,1287.5645097260817,660.3799126637555,282.88368400158794,88.9638745533942,199.45057562524812,62.16752679634776,3514.79118697896,235.9043271139341,72.61810242159586,24.65263993648273,2426.2163556967053,1.6720921000396984,10.815005954743945,2.1437078205637157,8
ARF,home,599932,Mathias Nordestgaard Kubel,17,LW,9910.6657717778,3034.7254939666363,4179.742960074035,1451.8399881616267,742.032971672035,502.3243579034662,136.54977525118986,308.09599598576995,70.14686793904139,3584.4929585717036,309.64811036729003,170.18108804865153,59.67756958800058,1798.945336161723,28.83470295899236,24.04727386904476,6.725337724147877,8
ARF,home,599932,Mathias Nordestgaard Kubel,17,RW,9916.4065811104,3072.584815210831,4220.744335793691,1509.3291422928073,708.6658954168385,405.07968427185955,122.5809956374973,245.28663430188288,67.76537553399291,4101.888908369701,291.59528232018044,130.22009296038817,46.91729350579709,1781.880374817802,41.54596527655989,29.569113261039302,7.898326597707313,8
ARF,home,599934,Magnus Kirchheiner,27,LCM,10885.989333572095,2412.291704419268,5713.26807964396,1884.711659982307,662.0228131146456,213.7063053576416,97.98350012603123,83.53571258258938,37.15332892791694,4315.408330519122,382.65095574502953,115.08227942342894,52.40758601024015,1772.1330325452568,39.08685061064326,15.08737906596738,8.42258518787414,5
ARF,home,599934,Magnus Kirchheiner,27,RCM,10873.310299652338,2511.527168706971,5654.4868104266325,1898.5039950770288,614.8431089234258,193.95172495857955,82.15256097681713,72.97839072082705,33.26529153928933,4374.43420244774,344.5859658245792,109.68638809610418,46.230487793473706,2055.435578873908,17.458384738295496,11.29009079573632,2.6567816440540954,5
ARF,home,599937,Marcus Lovenbalk Kirchheiner,10,RCB,10108.956413118774,2606.2310903371767,5203.783927257385,1507.0312102198138,541.2748029667074,250.63621504927437,87.50689651260059,82.86629187690843,28.834096926360285,3961.639624684977,301.41636581672407,146.7623049222532,54.35599048371978,1916.7423244768454,28.1244688618921,21.009033154019075,4.316809102520516,8
ARF,home,599937,Marcus Lovenbalk Kirchheiner,10,RWB,9368.658346333852,2742.851794071763,4719.996879875194,1291.3385335413416,404.2839313572543,210.18720748829955,70.20280811232449,77.74726989079562,27.145085803432135,3987.678627145086,208.10920436817472,125.9531981279251,41.18564742589704,1567.1045241809672,26.134165366614663,6.486739469578782,1.8720748829953198,8
ARF,home,599959,Frederik Grube Andersen,6,LCB,10656.580937972767,2968.057488653555,5313.531013615733,1749.0771558245083,540.1633888048411,85.7518910741301,61.72465960665657,13.615733736762479,21.78517397881997,4462.937972768533,318.553706505295,72.13615733736762,38.12405446293494,2284.665658093797,39.14069591527988,0.0,1.8154311649016641,6
ARF,home,599959,Frederik Grube Andersen,6,RCB,10161.49171518137,2906.641289744738,4978.446932377966,1449.451410658307,489.9055082848186,337.0465741155396,108.82221227048814,65.39005821764442,33.855799373040746,3919.6793551276305,225.7093596059113,256.63905060456784,64.08419167039857,1996.7666815942678,67.02239140170174,15.01746529332736,10.882221227048813,6
ARF,home,599959,Frederik Grube Andersen,6,RWB,10143.093031987808,3001.022016901542,4763.839028492549,1596.8305764434458,591.5077494770849,189.893082902536,79.05392493604077,67.90463254119904,27.091840896244516,4028.9106435477943,404.8659691463655,119.08723350067199,50.695228996727096,1924.6111747541484,17.61092143239013,2.906371890597316,1.266855043069156,6
ARF,home,654926,Luka Callo,33,LCB,9625.881755574694,2751.0337457034097,4500.681674463772,1480.8569530272725,621.4045003793377,271.9082120453006,92.9484579805034,70.96945019050685,27.47812190945841,3886.4862755599106,402.1142628000512,191.92766114037846,61.723128444533614,1785.620794498163,25.720299292875065,9.007770670014722,3.7472076265113796,4
ARF,home,659745,Oluwasegun Oluwatobi Olalere,29,LCB,10073.219032474775,3016.2809276907637,4930.900856333249,1456.5979540159597,516.307052637472,153.1199846260513,68.24289116363997,28.856598093974878,19.525237822497644,3847.260650873559,325.26054105963976,115.52356800496099,43.98725727894028,1954.3906027276917,37.877856776810745,8.739818527115425,4.730396062202049,2
B93,away,76507,Nicolaj Thomsen,27,LDM,11537.440817836281,2663.1306491396417,5509.568582434122,2272.1434441429083,842.8633374737301,249.72443697472394,88.57073897251445,55.986190501419706,32.7574061101267,4008.5397340727177,489.4309044314019,193.7382464733043,53.73979863151058,2388.766812267348,24.465804443764192,0.0,2.073534230877156,2
B93,away,132017,Nicklas Mouritsen,3,LB,10873.699993838007,2893.8018896684375,4890.018643095238,1860.586958128315,864.8390338411849,364.4567810020122,109.26831772390896,193.48341528327126,48.78354641797236,4180.082620813151,400.0399144599507,149.02581672391432,51.19481029459478,2314.3180880420477,83.0306909293042,21.947492219959788,9.289961011341825,9
B93,away,162038,Mikkel Wohlgemuth,6,LDM,10471.007989396128,2929.1498560592586,4893.702060649761,1854.8754778464772,583.3900516553855,209.8894845659406,83.68703065701374,59.26692537781037,29.69341577385914,4334.264491198506,320.63168166112706,141.54167079776906,48.87273427782915,1933.095017722994,41.244412847694235,9.080888390361153,5.12088060532545,7
B93,away,162038,Mikkel Wohlgemuth,6,RDM,10943.673131170664,2639.878349788434,4750.981311706629,2180.916431593794,988.8035966149506,383.0934414668547,157.08744710860367,128.08815232722145,65.69111424541607,4336.594146685473,597.046544428773,249.26445698166432,86.6361071932299,2087.4922425952045,40.937940761636106,5.7503526093088855,4.760225669957687,7
B93,away,227436,Emil Normark Christensen,5,RCB,9360.985058861801,2948.449161489479,4654.909821254037,1273.5455740291895,399.9919744807719,84.08470514070764,48.28708909800677,2.394573745563207,4.741717049111119,4055.8838452173645,323.9131375298593,78.15944341889231,41.51846023595842,1805.3219457113048,23.87884529055599,3.5266701191092698,2.0269118129372274,3
B93,away,247384,Frederik Ibsen,31,GK,4984.194848886985,3270.973469514121,1498.0679773480927,176.18853948803425,35.494637856271964,3.473332415271665,3.705805668544727,2.3772434812055536,1.5298727017940366,1799.671888825594,16.852585593789154,0.6299287130716363,1.5557560237423271,1270.742608569886,7.2411303313371755,0.46305248618784534,0.6201769430083636,3
B93,away,424535,Vito Hammershoy-Mistrati,30,LDM,10710.815864022663,2516.7365439093483,5088.0154519701255,2179.789338140613,782.2142673190832,144.04635591037857,77.87792943600309,43.138810198300284,26.42286891578676,5294.934329126963,499.73989183620915,96.47128508884883,48.67370589750193,2014.4517125933555,19.483389132114343,4.436260623229462,2.781354622714396,5
B93,away,424535,Vito Hammershoy-Mistrati,30,RDM,11022.58426230093,2782.0985596798023,4936.342551305761,2288.8207678435397,802.1010895907572,213.22558777420068,97.15432944842803,78.96659527514107,41.83984086176702,4423.007379702271,410.0095868056948,125.50317057922075,51.4165389383065,1807.0202282531225,47.46223737348031,8.758911518191082,3.8979496483544858,5
B93,away,424535,Vito Hammershoy-Mistrati,30,SUB,11210.441249157491,2478.0188721635586,5149.860256122219,2397.9105818917096,951.6544596719838,232.98494720287573,123.7474724780948,64.44574252976858,44.888789036171644,5028.988092563468,545.3987867894855,151.7847674679847,70.36620984048528,2126.0422376993934,56.596270501011006,16.754437205122446,8.492473601437878,5
B93,away,424543,Aris Vaporakis,1,GK,5441.753559531932,3443.04762443423,1715.08916217395,227.56790478013656,50.47539306777435,5.568840054649698,6.088761535837818,4.107783748267383,1.861299147619201,1845.9462687345147,26.954987322213203,1.4626452894331623,3.602547091557991,1285.4638287455973,7.873543096290356,0.0,0.6249152966606267,6
