team,players,minutes,Distance,Running,High Speed Running,Sprinting,No. of High Intensity Runs,No. of High Intensity Runs OTIP,No. of High Intensity Runs TIP,No. of High Intensity Runs BOP,game_id,match_description,season,competition
FCK,16,1089.9,125968.17,22194.05,8313.33,2324.34,925,619,269,37,ed92ad2c-5aee-4362-b58f-16bb5f88c4e6,FCN - FCK : 2024-8-25,2024,Superliga
FCN,16,1089.9,125557.8,20202.29,7434.150000000001,2476.74,895,403,457,35,ed92ad2c-5aee-4362-b58f-16bb5f88c4e6,FCN - FCK : 2024-8-25,2024,Superliga
BIF,15,1075.2166666666667,110955.31999999999,15656.69,6013.389999999999,1881.35,705,399,290,16,9e650273-fa2d-48f1-86cc-48e7c0ffebf4,BIF - RFC : 2024-8-25,2024,Superliga
RFC,16,1075.1833333333334,114015.09,16060.41,5545.63,1528.55,634,313,306,15,9e650273-fa2d-48f1-86cc-48e7c0ffebf4,BIF - RFC : 2024-8-25,2024,Superliga
LBK,14,1102.7333333333333,114282.75,15708.15,5261.2,2098.7200000000003,602,272,324,6,6580f408-cea0-4557-8e3d-29870a7d65d5,VFF - LBK : 2024-8-26,2024,Superliga
VFF,15,1102.7166666666667,116047.0,16355.45,6429.84,2335.62,725,454,254,17,6580f408-cea0-4557-8e3d-29870a7d65d5,VFF - LBK : 2024-8-26,2024,Superliga
LBK,16,1065.2833333333333,112119.6,15830.78,5546.03,1590.55,658,397,247,14,55b28fa4-df27-44fa-8de8-ef60ac8048e7,LBK - VB : 2024-8-30,2024,Superliga
VB,16,1065.2833333333333,109614.27,16358.7,5238.06,1496.73,628,299,312,17,55b28fa4-df27-44fa-8de8-ef60ac8048e7,LBK - VB : 2024-8-30,2024,Superliga
AGF,15,1096.4833333333333,116687.44,17640.18,6132.89,1841.37,706,391,276,39,8e1a3b79-83d4-41e4-8170-9f8ee933dc19,AGF - FCN : 2024-8-31,2024,Superliga
FCN,16,1096.4833333333333,113450.95999999999,17956.15,6198.67,2018.62,765,411,322,32,8e1a3b79-83d4-41e4-8170-9f8ee933dc19,AGF - FCN : 2024-8-31,2024,Superliga
BIF,16,1147.6,107538.13,14109.31,5049.46,1368.31,582,301,255,26,2d4e1727-d6fe-4679-8cd8-b32a1da27350,FCK - BIF : 2024-9-1,2024,Superliga
FCK,14,1085.4333333333334,107323.57,13765.4,4875.41,1654.23,588,337,211,40,2d4e1727-d6fe-4679-8cd8-b32a1da27350,FCK - BIF : 2024-9-1,2024,Superliga
SJE,16,1096.1166666666666,119601.36,18813.16,7355.7699999999995,2756.83,894,483,361,50,5679b0d5-b16c-45b0-9d4a-9eb6dc861f79,SJE - VFF : 2024-9-1,2024,Superliga
VFF,16,1096.15,117527.9,17023.74,6717.34,2086.1,764,431,305,28,5679b0d5-b16c-45b0-9d4a-9eb6dc861f79,SJE - VFF : 2024-9-1,2024,Superliga
FCM,16,1046.0666666666666,120861.35,18495.82,7386.51,2709.53,943,551,367,25,87c464a6-c478-45d0-825f-39a9cc979a26,SIF - FCM : 2024-9-1,2024,Superliga
SIF,15,1046.0833333333333,120690.44,17805.28,6521.52,1998.5,807,388,398,21,87c464a6-c478-45d0-825f-39a9cc979a26,SIF - FCM : 2024-9-1,2024,Superliga
AAB,15,1105.9833333333333,116426.06999999999,16923.5,7102.25,2671.72,828,448,357,23,2ae7f5a4-037e-4568-829d-009632de344f,RFC - AAB : 2024-9-1,2024,Superliga
