team,ID,player_name,number,position,ssiId_player,optaUuid_player,Minutes_seconds,Distance,Walking,Jogging,Running,High Speed Running,Sprinting,No. of High Intensity Runs,Sprint Distance TIP,No. of High Intensity Runs TIP,Distance OTIP,HSR Distance OTIP,Sprint Distance OTIP,No. of High Intensity Runs OTIP,Distance BOP,HSR Distance BOP,Sprint Distance BOP,No. of High Intensity Runs BOP,Distance_per90,Walking_per90,Jogging_per90,Running_per90,High Speed Running_per90,Sprinting_per90,No. of High Intensity Runs_per90,Sprint Distance TIP_per90,No. of High Intensity Runs TIP_per90,Distance OTIP_per90,HSR Distance OTIP_per90,Sprint Distance OTIP_per90,No. of High Intensity Runs OTIP_per90,Distance BOP_per90,HSR Distance BOP_per90,Sprint Distance BOP_per90,No. of High Intensity Runs BOP_per90,game_id,match_description,season,competition
HVI,439089,Andreas Smed,22,SUB,5111bafd-5e91-4933-8181-da697d872728,dncrhma6gwcn6pxiu7hfc6qz8,1937,3996.32,1057.02,1902.97,755.72,230.52,50.09,27,27.8,13,1456.19,78.81,22.29,12,1171.2,22.61,0.0,2,11141.005678884874,2946.777490965411,5305.1306143520915,2106.8084667010844,642.6473928755809,139.6417139907073,75.27103768714508,77.50129065565308,36.241610738255034,4059.590087764585,219.70779556014458,62.14042333505421,33.45379452762003,3265.090345895715,63.032524522457415,0.0,5.575632421270005,5c8211ba-0c14-4b2b-aff0-0ec0f45bb4a5,FCM - HVI : 2023-7-21,2023,Superliga
HVI,485361,Nicolai Geertsen,28,ST,bd700535-e9e6-4e2f-b4f9-db43c429c396,4n0krk7oy66clzb1rhztp07v9,5817,9905.29,3466.07,4582.53,1302.03,398.25,156.41,50,54.92,22,4003.34,222.8,101.49,27,3083.06,3.38,0.0,1,9195.215059308923,3217.599793708097,4254.024755028365,1208.6921093347087,369.7008767405879,145.19752449716347,46.41567818463125,50.982980917998965,20.422898401237752,3716.3548220732337,206.82826199071687,94.21454357916451,25.064466219700876,2862.0464156781845,3.1376998452810727,0.0,0.9283135636926251,5c8211ba-0c14-4b2b-aff0-0ec0f45bb4a5,FCM - HVI : 2023-7-21,2023,Superliga
HVI,514437,Lirim Qamili,7,RW,fd7ff32d-b971-49ca-ac7b-256bdcc38220,3ejggtt1du1cui3wc1f8oqx62,4552,7800.35,2732.13,3116.75,1095.01,538.16,318.29,86,232.4,50,3216.71,329.49,83.53,35,2323.24,9.11,2.35,1,9253.490773286469,3241.103251318102,3697.3747803163446,1299.0013181019333,638.414762741652,377.58479789103694,102.02108963093147,275.69420035149386,59.31458699472759,3815.9565026362047,390.87126537785593,99.09094903339194,41.52021089630932,2756.0404217926184,10.807117750439367,2.787785588752197,1.1862917398945518,5c8211ba-0c14-4b2b-aff0-0ec0f45bb4a5,FCM - HVI : 2023-7-21,2023,Superliga
HVI,544949,Matti Olsen,5,RCB,e7b6e1f7-7c01-4e90-83bb-c21a30a8d3af,dshwz1df0rbe0fztksawvd0wl,5817,10347.07,3009.65,5281.4,1303.22,590.32,162.48,67,2.94,8,4453.74,454.1,143.87,56,2798.0,35.0,15.67,3,9605.325425477049,2793.898916967509,4902.79525528623,1209.7968024755028,548.0020629190304,150.8323878287777,62.19700876740588,2.7292418772563174,7.426508509541001,4134.467251160391,421.547189272821,133.55647240845798,51.985559566787,2597.421351211965,32.49097472924188,14.546673543063433,2.784940691077875,5c8211ba-0c14-4b2b-aff0-0ec0f45bb4a5,FCM - HVI : 2023-7-21,2023,Superliga
HVI,544951,Marcus Lindberg,11,LW,f8f1aced-368a-4228-9391-d05e6cc9d391,451liwl34giar3r8y7b295w16,3880,7969.97,2381.28,3325.6,1295.64,716.0,251.45,76,44.0,29,3189.82,414.53,207.45,47,2340.97,9.19,0.0,0,11092.226288659793,3314.1525773195876,4628.41237113402,1803.2103092783505,996.4948453608247,349.95618556701027,105.77319587628864,61.23711340206185,40.360824742268036,4439.440206185567,576.9231958762886,288.71907216494844,65.41237113402062,3258.0510309278343,12.79020618556701,0.0,0.0,5c8211ba-0c14-4b2b-aff0-0ec0f45bb4a5,FCM - HVI : 2023-7-21,2023,Superliga
HVI,544954,Ahmed Iljazovski,15,RB,dc7941c6-3ba4-4c5d-bcdb-c4dcc291d186,bfvdr7ckiersz26ya2kq9f1g4,5817,10533.18,3246.51,5007.68,1528.15,567.59,183.25,64,8.23,14,4626.32,458.45,175.02,49,2996.35,5.15,0.0,1,9778.093862815884,3013.7792676637446,4648.6972666322845,1418.602372356885,526.9014956162971,170.11346054667354,59.412068076328005,7.640020629190305,12.99638989169675,4294.675605982465,425.5853532748839,162.47343991748323,45.48736462093863,2781.552346570397,4.780814853017019,0.0,0.9283135636926251,5c8211ba-0c14-4b2b-aff0-0ec0f45bb4a5,FCM - HVI : 2023-7-21,2023,Superliga
HVI,544960,Marc Nielsen,26,LB,edd7eae8-fd17-4e30-8c6a-77ab387ef488,bcdp9e3dezuaybm8ndrsanbx0,5817,10638.2,3255.13,5015.17,1506.39,643.52,218.0,80,72.22,25,4386.76,440.22,145.78,53,3071.45,10.41,0.0,2,9875.585353274884,3021.781330582775,4655.650335224343,1398.4022692109334,597.3883445074781,202.37235688499223,74.26508509541,67.04280556988138,23.207839092315623,4072.28880866426,408.6621970087674,135.32955131511088,49.200618875709125,2851.268695203713,9.663744198040227,0.0,1.8566271273852502,5c8211ba-0c14-4b2b-aff0-0ec0f45bb4a5,FCM - HVI : 2023-7-21,2023,Superliga
HVI,544962,Magnus Fredslund,30,SUB,47e2d1f1-8443-41d5-aa9d-f2f473ab865a,45dqseup0cmujyl4nprr29y0a,1577,3365.27,895.33,1601.8,638.98,194.78,34.39,19,0.0,4,1236.34,140.26,31.26,14,1047.95,24.71,3.13,1,11523.435637285986,3065.809765377299,5484.920735573874,2188.0101458465438,666.9701965757768,117.75903614457832,65.06024096385542,0.0,13.696892834495879,4233.504121750158,480.28154724159793,107.0412175015853,47.93912492073557,3588.414711477489,84.61255548509828,10.717818642993024,3.4242232086239697,5c8211ba-0c14-4b2b-aff0-0ec0f45bb4a5,FCM - HVI : 2023-7-21,2023,Superliga
HVI,544965,Filip Djukic,1,GK,570ea515-3774-45bb-b07a-618d6a17b106,d9hh01mit4geyadol3gmzco9,5817,5957.38,3704.09,2109.26,105.39,35.83,2.81,5,0.0,1,2160.76,26.78,2.81,4,1962.3,0.0,0.0,0,5530.31665807117,3438.5569881382153,1958.0546673543065,97.83496647756576,33.26147498710676,2.6085611139762763,4.641567818463125,0.0,0.9283135636926251,2005.8628158844765,24.860237235688498,2.6085611139762763,3.7132542547705003,1821.629706034038,0.0,0.0,0.0,5c8211ba-0c14-4b2b-aff0-0ec0f45bb4a5,FCM - HVI : 2023-7-21,2023,Superliga
HVI,564997,Mathias Andreasen,27,SUB,b0d21b36-d614-40f2-80b0-dd4dbc73ad09,21i8eq6dgpzydeyrame6xp05w,1265,2625.31,771.72,1045.19,490.21,256.66,61.52,31,24.39,15,975.24,117.56,24.04,12,561.7,8.96,13.08,4,11206.856916996048,3294.2988142292493,4461.680632411068,2092.59604743083,1095.62371541502,262.61501976284586,132.3320158102767,104.11541501976286,64.03162055335969,4163.079841897234,501.83715415019765,102.62134387351779,51.22529644268775,2397.770750988143,38.248221343873524,55.835573122529645,17.07509881422925,5c8211ba-0c14-4b2b-aff0-0ec0f45bb4a5,FCM - HVI : 2023-7-21,2023,Superliga
