competition,season,team,ID,player_name,number,position,Distance_per90,Walking_per90,Jogging_per90,Running_per90,High Speed Running_per90,Sprinting_per90,No. of High Intensity Runs_per90,Sprint Distance TIP_per90,No. of High Intensity Runs TIP_per90,Distance OTIP_per90,HSR Distance OTIP_per90,Sprint Distance OTIP_per90,No. of High Intensity Runs OTIP_per90,Distance BOP_per90,HSR Distance BOP_per90,Sprint Distance BOP_per90,No. of High Intensity Runs BOP_per90,games
Superliga,2025,FCM,477672,Aral Simsir,58,RM,10181.77306815776,3812.051684467689,4126.41468001543,1478.683230208975,565.5160500676391,199.10028243002847,74.97136436597506,94.42708359403694,33.632780454112854,4304.859412826685,285.2720882401213,94.16255730124576,38.568532526679704,2393.9028699955434,7.371044640596734,10.504363924887597,2.7700513851824993,11
Superliga,2025,FCM,477672,Aral Simsir,58,RW,10264.752475247526,3573.3564356435645,4478.316831683169,1498.960396039604,497.01980198019805,217.11386138613858,63.86138613861387,93.17821782178218,29.7029702970297,4981.945544554455,292.529702970297,123.93564356435644,32.67326732673268,1572.6534653465346,6.787128712871287,0.0,1.485148514851485,11
Superliga,2025,FCM,478686,Gue-Sung Cho,10,LF,9405.400067865627,2981.837122497455,4115.580590430946,1358.5296912114013,699.4071937563624,250.04546996946047,87.95385137427893,221.19477434679337,65.04920257889378,2827.50559891415,217.3009840515779,22.721411605022055,21.072276891754328,2812.9107567017304,24.205632846963013,6.120122158126908,1.832371903630811,3
Superliga,2025,FCM,478686,Gue-Sung Cho,10,RW,10392.833770319874,3011.172522286314,4815.797587834295,1612.5338227582592,710.3628736234924,242.96696381751448,92.50131095962244,194.7813319349764,60.40901940220241,2987.433665443105,282.3460933403251,24.19192448872575,28.31672784478238,2540.84111169376,22.1814368117462,23.993707393812276,3.7755637126376507,3
Superliga,2025,FCM,478686,Gue-Sung Cho,10,ST,10865.966839008737,2874.756284542699,5093.165626671421,1906.1740060616864,762.4022107327509,229.45908361561774,98.19932251738278,144.13157425566055,57.76430736316634,4040.0741665180954,335.8898199322517,80.20574077375646,36.58406133000535,2053.7040470672137,37.08468532715279,5.121768586200749,3.8509538242110897,3
Superliga,2025,FCM,486907,Daniel Filipe Bandeira e Silva,80,LCM,10215.273673988166,2961.784532697175,4622.128976964503,1878.9148641048646,624.2218646682611,128.21884917659918,61.909249317672476,6.599796161032785,12.359343889588224,3979.499042450013,502.54699392318776,121.23379736752834,49.549905428084244,2331.0013472201535,4.989977917445219,0.3852556480380499,0.0,4
Superliga,2025,FCM,486907,Daniel Filipe Bandeira e Silva,80,RCM,10586.953202664103,2988.8638223127655,4906.141783675246,1885.803373467977,654.4469145578302,151.70424595758067,61.17997315416604,15.937257921166882,13.549556897440869,4497.891486505762,504.1399147077864,135.76698803641378,47.17286668885532,2137.077334472026,17.86297377959351,0.0,0.4575495678698526,4
Superliga,2025,FCM,492474,Han-Beom Lee,3,CB,9675.365818137663,3008.338852889784,4626.26206662573,1415.4283597440249,502.3543836692867,122.98590193364109,56.52119977126392,13.843918274836692,11.625321245418291,3454.2189998928925,347.82503385487325,103.49744345411276,42.281034241640455,2267.706236943324,39.862581399824585,5.646427986547983,2.61484428420517,13
Superliga,2025,FCM,492474,Han-Beom Lee,3,RCB,9102.18095528414,3113.3678282082183,4245.55543507937,1212.0818524480658,420.5168580023641,110.65812653328501,48.61370674585318,14.070116506415559,8.522598417459076,3407.268834889066,335.010134991963,90.47047967120808,37.89559318080634,2441.642937638157,21.114993193890196,6.11970570879866,2.1955151475877623,13
Superliga,2025,FCM,494784,Oliver Sorensen,24,LCM,12279.636209964412,2649.2191281138785,5214.455760676156,2838.0495551601425,1201.4483985765123,376.4571174377224,134.5885231316726,92.45513790035587,53.10275800711744,5869.199021352313,653.0432384341636,284.00197953736654,79.01023131672598,2220.45346975089,28.930249110320283,0.0,2.4755338078291813,2
